,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,1.0,0.9999254008061101,1.0,0.9999956119661683,0.9998902933774501,0.9998859048622082,0.9999605070023279,0.9999824477491432,0.9999297940772528,0.9999341774707035
sample02.functional,0.9999254008061101,1.0,0.9999254008061101,0.9999297888399361,0.9999648925712681,0.999960504056014,0.9999648938037564,0.9999429530569482,0.9998551948835526,0.9999912233353958
sample03.functional,1.0,0.9999254008061101,1.0,0.9999956119661683,0.9998902933774501,0.9998859048622082,0.9999605070023279,0.9999824477491432,0.9999297940772528,0.9999341774707035
sample04.functional,0.9999956119661683,0.9999297888399361,0.9999956119661683,1.0,0.9998946814112691,0.9998902928960262,0.9999648950361582,0.9999868357829748,0.9999254060434268,0.9999385655045308
sample05.functional,0.9998902933774501,0.9999648925712681,0.9998902933774501,0.9998946814112691,1.0,0.9999956114847445,0.999929786375046,0.9999078456282624,0.9998200874550492,0.9999561159066673
sample06.pathological,0.9998859048622082,0.999960504056014,0.9998859048622082,0.9998902928960262,0.9999956114847445,1.0,0.9999253978597963,0.9999034571130166,0.9998156989398301,0.999951727391414
sample07.pathological,0.9999605070023279,0.9999648938037564,0.9999605070023279,0.9999648950361582,0.999929786375046,0.9999253978597963,1.0,0.9999780592531808,0.9998903010796568,0.9999736704683585
sample08.pathological,0.9999824477491432,0.9999429530569482,0.9999824477491432,0.9999868357829748,0.9999078456282624,0.9999034571130166,0.9999780592531808,1.0,0.9999122418264231,0.9999517297215463
sample09.pathological,0.9999297940772528,0.9998551948835526,0.9999297940772528,0.9999254060434268,0.9998200874550492,0.9998156989398301,0.9998903010796568,0.9999122418264231,1.0,0.9998639715481135
sample10.pathological,0.9999341774707035,0.9999912233353958,0.9999341774707035,0.9999385655045308,0.9999561159066673,0.999951727391414,0.9999736704683585,0.9999517297215463,0.9998639715481135,1.0
