,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.0,0.0017155522188523342,0.0016519980862763628,0.0016427125153887223,0.0017732185598263728,0.0016839943996511675,0.0015668674139497352,0.00160151030247202,0.0015817105525918196,0.0016032016926366133
sample02.functional,0.0017155522188523342,0.0,0.001740356549881139,0.0016880909000908106,0.0016585121399658176,0.001563065856752588,0.0015576563629822182,0.0015925474437294973,0.0016449673340614979,0.0015426742014309491
sample03.functional,0.0016519980862763628,0.001740356549881139,0.0,0.0016380534292825821,0.0017600678478179033,0.0016907227710171169,0.0015948977415599641,0.0016395307262523362,0.0016019160839251256,0.001638278060589582
sample04.functional,0.0016427125153887223,0.0016880909000908106,0.0016380534292825821,0.0,0.0017414635868557848,0.0016634126406425143,0.0015660064909421845,0.0015882434694413083,0.0015771546895505528,0.001604606023748456
sample05.functional,0.0017732185598263728,0.0016585121399658176,0.0017600678478179033,0.0017414635868557848,0.0,0.0015449777710441204,0.0015989361001904623,0.001658102956204388,0.0016641153048323476,0.0016036055415490358
sample06.pathological,0.0016839943996511675,0.001563065856752588,0.0016907227710171169,0.0016634126406425143,0.0015449777710441204,0.0,0.0013565232262918725,0.0014669124909071352,0.0014106416500133667,0.0013689207615269483
sample07.pathological,0.0015668674139497352,0.0015576563629822182,0.0015948977415599641,0.0015660064909421845,0.0015989361001904623,0.0013565232262918725,0.0,0.0013314634035438422,0.0013531005378654148,0.0013131907628861628
sample08.pathological,0.00160151030247202,0.0015925474437294973,0.0016395307262523362,0.0015882434694413083,0.001658102956204388,0.0014669124909071352,0.0013314634035438422,0.0,0.001346531071271806,0.001315056466766773
sample09.pathological,0.0015817105525918196,0.0016449673340614979,0.0016019160839251256,0.0015771546895505528,0.0016641153048323476,0.0014106416500133667,0.0013531005378654148,0.001346531071271806,0.0,0.0014554283376337906
sample10.pathological,0.0016032016926366133,0.0015426742014309491,0.001638278060589582,0.001604606023748456,0.0016036055415490358,0.0013689207615269483,0.0013131907628861628,0.001315056466766773,0.0014554283376337906,0.0
