,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.0,0.0016410754478679568,0.0016519980862763628,0.0016383316706117812,0.0016636944555761257,0.0015700784001707602,0.0015274347392542076,0.0015839858541323304,0.0015116107538724055,0.0015374803641864387
sample02.functional,0.0016410754478679568,0.0,0.0016658816294179424,0.0016179933412163727,0.0016234617068000556,0.0015236300899752475,0.0015226036195601367,0.001535588101284735,0.0015003794802394,0.0015339109994491062
sample03.functional,0.0016519980862763628,0.0016658816294179424,0.0,0.001633672564061328,0.0016505423006891728,0.0015768075392987857,0.0015554661739097808,0.0016220069452683727,0.0015318177038533554,0.001572559041106647
sample04.functional,0.0016383316706117812,0.0016179933412163727,0.001633672564061328,0.0,0.0016363173327571534,0.0015538760079054637,0.001530955271229817,0.0015750999873741511,0.0015026728232887532,0.0015432663380681166
sample05.functional,0.0016636944555761257,0.0016234617068000556,0.0016505423006891728,0.0016363173327571534,0.0,0.0015405960167177435,0.0015288298199200856,0.0015660929067746743,0.0014844698346274665,0.0015597898981818403
sample06.pathological,0.0015700784001707602,0.0015236300899752475,0.0015768075392987857,0.0015538760079054637,0.0015405960167177435,0.0,0.0012820167272797889,0.0013705019161354137,0.0012265666473769699,0.0013207119071498852
sample07.pathological,0.0015274347392542076,0.0015226036195601367,0.0015554661739097808,0.001530955271229817,0.0015288298199200856,0.0012820167272797889,0.0,0.001309551389260144,0.0012435380323018164,0.0012868951145903473
sample08.pathological,0.0015839858541323304,0.001535588101284735,0.0016220069452683727,0.0015750999873741511,0.0015660929067746743,0.0013705019161354137,0.001309551389260144,0.0,0.0012588833750006856,0.0012668473393869784
sample09.pathological,0.0015116107538724055,0.0015003794802394,0.0015318177038533554,0.0015026728232887532,0.0014844698346274665,0.0012265666473769699,0.0012435380323018164,0.0012588833750006856,0.0,0.0013195793860882876
sample10.pathological,0.0015374803641864387,0.0015339109994491062,0.001572559041106647,0.0015432663380681166,0.0015597898981818403,0.0013207119071498852,0.0012868951145903473,0.0012668473393869784,0.0013195793860882876,0.0
