,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,1.000000000001042,0.9947194341199732,0.9947192422451515,0.994689042324855,0.9946471993421407,0.994958290410204,0.9950783698636769,0.9951182934710793,0.995129365096977,0.9950450251913738
sample02.functional,0.9947194341199732,1.0000000000014182,0.9947653234968017,0.9947689250814542,0.9947451597734193,0.9950739992565184,0.9950824636586044,0.9951651619634123,0.9951742759604838,0.9950490710181799
sample03.functional,0.9947192422451515,0.9947653234968017,1.0000000000010685,0.9948087852462124,0.9947072718662937,0.9950154190972816,0.9950703905608952,0.9951413692135503,0.9951602807173496,0.995036836980715
sample04.functional,0.994689042324855,0.9947689250814542,0.9948087852462124,1.0000000000013953,0.9947173105420205,0.9949978340940954,0.9950546061006007,0.9951525611645471,0.9951438770465225,0.9950186723274774
sample05.functional,0.9946471993421407,0.9947451597734193,0.9947072718662937,0.9947173105420205,1.0000000000020028,0.9950677145147335,0.9950809543295769,0.9951897723837487,0.9952410282061999,0.9949968420334223
sample06.pathological,0.994958290410204,0.9950739992565184,0.9950154190972816,0.9949978340940954,0.9950677145147335,0.9999999999987818,0.9959411144330842,0.9958214363287093,0.9961341923526531,0.99585952231643
sample07.pathological,0.9950783698636769,0.9950824636586044,0.9950703905608952,0.9950546061006007,0.9950809543295769,0.9959411144330842,0.9999999999981213,0.9960560186199994,0.9961037826875867,0.9959207849330218
sample08.pathological,0.9951182934710793,0.9951651619634123,0.9951413692135503,0.9951525611645471,0.9951897723837487,0.9958214363287093,0.9960560186199994,0.9999999999986042,0.9962493528363481,0.9962082583138118
sample09.pathological,0.995129365096977,0.9951742759604838,0.9951602807173496,0.9951438770465225,0.9952410282061999,0.9961341923526531,0.9961037826875867,0.9962493528363481,1.0000000000012987,0.9958851783247855
sample10.pathological,0.9950450251913738,0.9950490710181799,0.995036836980715,0.9950186723274774,0.9949968420334223,0.99585952231643,0.9959207849330218,0.9962082583138118,0.9958851783247855,1.0000000000017653
