,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.0,0.005329639852355362,0.005228699511316905,0.00552944883220394,0.00562806613802721,0.005481117642719196,0.0053519678089562475,0.005383692469366584,0.005372230432861344,0.005344431149905507
sample02.functional,0.005329639852355362,0.0,0.005121613438267062,0.005426283614012812,0.00552538835815128,0.005330528000875134,0.005307187874886599,0.005280831325564973,0.0052711499662417925,0.005300983563875206
sample03.functional,0.005228699511316905,0.005121613438267062,0.0,0.005303526304282697,0.005430304107513814,0.005278275033993627,0.0052068338294321125,0.005184834167460317,0.0051712261281984485,0.005201304861446519
sample04.functional,0.00552944883220394,0.005426283614012812,0.005303526304282697,0.0,0.005730067219521655,0.005579838159169577,0.0055076128784372225,0.005467047055339355,0.005470983387428502,0.0055012091766322825
sample05.functional,0.00562806613802721,0.00552538835815128,0.005430304107513814,0.005730067219521655,0.0,0.005581373033725985,0.005548522773089248,0.005490512895326954,0.005441844868629645,0.005605357615025647
sample06.pathological,0.005481117642719196,0.005330528000875134,0.005278275033993627,0.005579838159169577,0.005581373033725985,0.0,0.004868837794197389,0.005124009058867602,0.0047210545716558465,0.004988948006129217
sample07.pathological,0.0053519678089562475,0.005307187874886599,0.0052068338294321125,0.0055076128784372225,0.005548522773089248,0.004868837794197389,0.0,0.004821074075816277,0.004758862091019392,0.004872263103919355
sample08.pathological,0.005383692469366584,0.005280831325564973,0.005184834167460317,0.005467047055339355,0.005490512895326954,0.005124009058867602,0.004821074075816277,0.0,0.004649980980601851,0.004643452252664161
sample09.pathological,0.005372230432861344,0.0052711499662417925,0.0051712261281984485,0.005470983387428502,0.005441844868629645,0.0047210545716558465,0.004758862091019392,0.004649980980601851,0.0,0.005032484271169688
sample10.pathological,0.005344431149905507,0.005300983563875206,0.005201304861446519,0.0055012091766322825,0.005605357615025647,0.004988948006129217,0.004872263103919355,0.004643452252664161,0.005032484271169688,0.0
