,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.0,0.07300438241883403,0.07230974700078065,0.07436026379864409,0.07502043813539887,0.07403457059184713,0.0731571446200318,0.07337364969365082,0.07329550076820093,0.07310561640466146
sample02.functional,0.07300438241883403,0.0,0.0715654486345685,0.07366331253760458,0.07433295607031433,0.07301046500930626,0.07285044869379048,0.07266932864396762,0.07260268566824365,0.07280785372386145
sample03.functional,0.07230974700078065,0.0715654486345685,0.0,0.07282531362296146,0.07369059714450558,0.0726517379970612,0.07215839403307223,0.07200579259657043,0.0719112378435975,0.0721200725280176
sample04.functional,0.07436026379864409,0.07366331253760458,0.07282531362296146,0.0,0.07569720747505587,0.07469831429938414,0.07421329313834027,0.07393948238484872,0.07396609620243928,0.07417013669012808
sample05.functional,0.07502043813539887,0.07433295607031433,0.07369059714450558,0.07569720747505587,0.0,0.0747085874162133,0.07448840697108006,0.07409799521800137,0.07376886110432807,0.07486893624879178
sample06.pathological,0.07403457059184713,0.07301046500930626,0.0726517379970612,0.07469831429938414,0.0747085874162133,0.0,0.06977705779263976,0.07158218394871452,0.06870993066257487,0.07063248548741023
sample07.pathological,0.0731571446200318,0.07285044869379048,0.07215839403307223,0.07421329313834027,0.07448840697108006,0.06977705779263976,0.0,0.06943395477586076,0.06898450616638052,0.06980159814731576
sample08.pathological,0.07337364969365082,0.07266932864396762,0.07200579259657043,0.07393948238484872,0.07409799521800137,0.07158218394871452,0.06943395477586076,0.0,0.06819076902779328,0.06814288115910686
sample09.pathological,0.07329550076820093,0.07260268566824365,0.0719112378435975,0.07396609620243928,0.07376886110432807,0.06870993066257487,0.06898450616638052,0.06819076902779328,0.0,0.07094000473054458
sample10.pathological,0.07310561640466146,0.07280785372386145,0.0721200725280176,0.07417013669012808,0.07486893624879178,0.07063248548741023,0.06980159814731576,0.06814288115910686,0.07094000473054458,0.0
