,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,1.0,0.7811460786793359,0.7891496770489279,0.7709047496666516,0.7628035463418968,0.7411029971255987,0.7485604173243958,0.7443348861075157,0.7445964283618937,0.7516180492063748
sample02.functional,0.7811460786793359,1.0,0.7941830430156296,0.7765737342881851,0.7685078961571119,0.7502619246720977,0.749754613397571,0.7501573082225779,0.7504269235670591,0.7528126720899055
sample03.functional,0.7891496770489279,0.7941830430156296,1.0,0.7860689203576005,0.7763997705828858,0.7556346612775119,0.758388843446439,0.7587593533529049,0.7590464829431841,0.7614418299594464
sample04.functional,0.7709047496666516,0.7765737342881851,0.7860689203576005,1.0,0.7579171077231028,0.7364251459860612,0.7392491253410804,0.7408728531949377,0.7399279192827023,0.7422929235708509
sample05.functional,0.7628035463418968,0.7685078961571119,0.7763997705828858,0.7579171077231028,1.0,0.7357599297981143,0.7361345370527009,0.7382944283136734,0.7417565888118259,0.7334503031175811
sample06.pathological,0.7411029971255987,0.7502619246720977,0.7556346612775119,0.7364251459860612,0.7357599297981143,1.0,0.7536044492209159,0.733450339955883,0.7624354684059323,0.747334026901322
sample07.pathological,0.7485604173243958,0.749754613397571,0.758388843446439,0.7392491253410804,0.7361345370527009,0.7536044492209159,1.0,0.75677957126976,0.7598905616084395,0.7554582962587152
sample08.pathological,0.7443348861075157,0.7501573082225779,0.7587593533529049,0.7408728531949377,0.7382944283136734,0.733450339955883,0.75677957126976,1.0,0.7648863253992316,0.7702417151822242
sample09.pathological,0.7445964283618937,0.7504269235670591,0.7590464829431841,0.7399279192827023,0.7417565888118259,0.7624354684059323,0.7598905616084395,0.7648863253992316,1.0,0.740274244797396
sample10.pathological,0.7516180492063748,0.7528126720899055,0.7614418299594464,0.7422929235708509,0.7334503031175811,0.747334026901322,0.7554582962587152,0.7702417151822242,0.740274244797396,1.0
