,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,5740.753387486984,4324.982554629968,4356.589606445484,4315.887291306735,4285.639232427782,4089.131492782177,4141.895387593385,4156.859917979021,4131.185667551489,4139.980864909569
sample02.functional,4324.982554629968,5756.717162358142,4391.782200653801,4351.079885515052,4333.104604249187,4143.8161455524505,4150.2454427330185,4176.168709809515,4145.2170796220225,4147.832875050065
sample03.functional,4356.589606445484,4391.782200653801,5760.005284875015,4409.398276841397,4352.438878451614,4155.931138806008,4181.852494548539,4207.775761625035,4176.824131437541,4179.439926865591
sample04.functional,4315.887291306735,4351.079885515052,4409.398276841397,5749.318687725972,4311.736563312865,4115.2288236672575,4141.1501794097885,4181.512008384029,4136.121816298794,4138.737611726837
sample05.functional,4285.639232427782,4333.104604249187,4352.438878451614,4311.736563312865,5720.993787353899,4133.5185000110105,4148.347670346883,4185.443191574581,4180.939636914571,4108.489552847881
sample06.pathological,4089.131492782177,4143.8161455524505,4155.931138806008,4115.2288236672575,4133.5185000110105,5440.198858412986,4219.414127020008,4161.255052894775,4275.49495943223,4216.400011624001
sample07.pathological,4141.895387593385,4150.2454427330185,4181.852494548539,4141.1501794097885,4148.347670346883,4219.414127020008,5460.02327143886,4284.988195712153,4289.046783259666,4250.466382900456
sample08.pathological,4156.859917979021,4176.168709809515,4207.775761625035,4181.512008384029,4185.443191574581,4161.255052894775,4284.988195712153,5449.617814716697,4331.873940225888,4370.8531464104835
sample09.pathological,4131.185667551489,4145.2170796220225,4176.824131437541,4136.121816298794,4180.939636914571,4275.49495943223,4289.046783259666,4331.873940225888,5453.924899589903,4218.113398864585
sample10.pathological,4139.980864909569,4147.832875050065,4179.439926865591,4138.737611726837,4108.489552847881,4216.400011624001,4250.466382900456,4370.8531464104835,4218.113398864585,5454.580667102077
