method,k,alpha,beta,vocabulary_size,zero_percentage_before_smoothing,zero_probs_after_smoothing,overall_silhouette_score
baseline_KL_w1,15,0.001,NA,199251,3.13192907,0,0.04633739
baseline_KL_w1,15,0.01,NA,199251,3.13192907,0,0.04635324
baseline_KL_w1,15,0.1,NA,199251,3.13192907,0,0.04640694
baseline_KL_w1,15,1.0,NA,199251,3.13192907,0,0.04676021
baseline_KL_w1,21,0.001,NA,219315,4.18603379,0,0.05445931
baseline_KL_w1,21,0.01,NA,219315,4.18603379,0,0.05453365
baseline_KL_w1,21,0.1,NA,219315,4.18603379,0,0.05473024
baseline_KL_w1,21,1.0,NA,219315,4.18603379,0,0.05547631
baseline_KL_w1,31,0.001,NA,236913,5.87215560,0,0.06590469
baseline_KL_w1,31,0.01,NA,236913,5.87215560,0,0.06596824
baseline_KL_w1,31,0.1,NA,236913,5.87215560,0,0.06612598
baseline_KL_w1,31,1.0,NA,236913,5.87215560,0,0.06655377
