method,k,alpha,beta,sample,class,sample_silhouette_score,status
baseline_KL_w1,15,0.001,NA,sample01.functional.fa,functional,-0.00318357,possibly_misplaced
baseline_KL_w1,15,0.001,NA,sample02.functional.fa,functional,-0.00507312,possibly_misplaced
baseline_KL_w1,15,0.001,NA,sample03.functional.fa,functional,-0.00715160,possibly_misplaced
baseline_KL_w1,15,0.001,NA,sample04.functional.fa,functional,0.00659208,weak/ambiguous
baseline_KL_w1,15,0.001,NA,sample05.functional.fa,functional,-0.00281231,possibly_misplaced
baseline_KL_w1,15,0.001,NA,sample06.pathological.fa,pathological,0.09160755,weak/ambiguous
baseline_KL_w1,15,0.001,NA,sample07.pathological.fa,pathological,0.09765383,weak/ambiguous
baseline_KL_w1,15,0.001,NA,sample08.pathological.fa,pathological,0.09795734,weak/ambiguous
baseline_KL_w1,15,0.001,NA,sample09.pathological.fa,pathological,0.09931712,weak/ambiguous
baseline_KL_w1,15,0.001,NA,sample10.pathological.fa,pathological,0.08846656,weak/ambiguous
baseline_KL_w1,15,0.01,NA,sample01.functional.fa,functional,-0.00474400,possibly_misplaced
baseline_KL_w1,15,0.01,NA,sample02.functional.fa,functional,-0.00674013,possibly_misplaced
baseline_KL_w1,15,0.01,NA,sample03.functional.fa,functional,-0.00880535,possibly_misplaced
baseline_KL_w1,15,0.01,NA,sample04.functional.fa,functional,0.00480620,weak/ambiguous
baseline_KL_w1,15,0.01,NA,sample05.functional.fa,functional,-0.00459436,possibly_misplaced
baseline_KL_w1,15,0.01,NA,sample06.pathological.fa,pathological,0.09324497,weak/ambiguous
baseline_KL_w1,15,0.01,NA,sample07.pathological.fa,pathological,0.09947145,weak/ambiguous
baseline_KL_w1,15,0.01,NA,sample08.pathological.fa,pathological,0.09966940,weak/ambiguous
baseline_KL_w1,15,0.01,NA,sample09.pathological.fa,pathological,0.10087039,clear
baseline_KL_w1,15,0.01,NA,sample10.pathological.fa,pathological,0.09035382,weak/ambiguous
baseline_KL_w1,15,0.1,NA,sample01.functional.fa,functional,-0.00864490,possibly_misplaced
baseline_KL_w1,15,0.1,NA,sample02.functional.fa,functional,-0.01090664,possibly_misplaced
baseline_KL_w1,15,0.1,NA,sample03.functional.fa,functional,-0.01292991,possibly_misplaced
baseline_KL_w1,15,0.1,NA,sample04.functional.fa,functional,0.00029871,weak/ambiguous
baseline_KL_w1,15,0.1,NA,sample05.functional.fa,functional,-0.00907886,possibly_misplaced
baseline_KL_w1,15,0.1,NA,sample06.pathological.fa,pathological,0.09738556,weak/ambiguous
baseline_KL_w1,15,0.1,NA,sample07.pathological.fa,pathological,0.10404708,clear
baseline_KL_w1,15,0.1,NA,sample08.pathological.fa,pathological,0.10398363,clear
baseline_KL_w1,15,0.1,NA,sample09.pathological.fa,pathological,0.10480440,clear
baseline_KL_w1,15,0.1,NA,sample10.pathological.fa,pathological,0.09511032,weak/ambiguous
baseline_KL_w1,15,1.0,NA,sample01.functional.fa,functional,-0.02035452,possibly_misplaced
baseline_KL_w1,15,1.0,NA,sample02.functional.fa,functional,-0.02330222,possibly_misplaced
baseline_KL_w1,15,1.0,NA,sample03.functional.fa,functional,-0.02503696,possibly_misplaced
baseline_KL_w1,15,1.0,NA,sample04.functional.fa,functional,-0.01334758,possibly_misplaced
baseline_KL_w1,15,1.0,NA,sample05.functional.fa,functional,-0.02283403,possibly_misplaced
baseline_KL_w1,15,1.0,NA,sample06.pathological.fa,pathological,0.11033938,clear
baseline_KL_w1,15,1.0,NA,sample07.pathological.fa,pathological,0.11801604,clear
baseline_KL_w1,15,1.0,NA,sample08.pathological.fa,pathological,0.11720334,clear
baseline_KL_w1,15,1.0,NA,sample09.pathological.fa,pathological,0.11717544,clear
baseline_KL_w1,15,1.0,NA,sample10.pathological.fa,pathological,0.10974316,clear
baseline_KL_w1,21,0.001,NA,sample01.functional.fa,functional,-0.04501897,possibly_misplaced
baseline_KL_w1,21,0.001,NA,sample02.functional.fa,functional,-0.04519076,possibly_misplaced
baseline_KL_w1,21,0.001,NA,sample03.functional.fa,functional,-0.04853094,possibly_misplaced
baseline_KL_w1,21,0.001,NA,sample04.functional.fa,functional,-0.04056162,possibly_misplaced
baseline_KL_w1,21,0.001,NA,sample05.functional.fa,functional,-0.05073514,possibly_misplaced
baseline_KL_w1,21,0.001,NA,sample06.pathological.fa,pathological,0.14938221,clear
baseline_KL_w1,21,0.001,NA,sample07.pathological.fa,pathological,0.15623182,clear
baseline_KL_w1,21,0.001,NA,sample08.pathological.fa,pathological,0.15597079,clear
baseline_KL_w1,21,0.001,NA,sample09.pathological.fa,pathological,0.16029032,clear
baseline_KL_w1,21,0.001,NA,sample10.pathological.fa,pathological,0.15275539,clear
baseline_KL_w1,21,0.01,NA,sample01.functional.fa,functional,-0.04570220,possibly_misplaced
baseline_KL_w1,21,0.01,NA,sample02.functional.fa,functional,-0.04595004,possibly_misplaced
baseline_KL_w1,21,0.01,NA,sample03.functional.fa,functional,-0.04914413,possibly_misplaced
baseline_KL_w1,21,0.01,NA,sample04.functional.fa,functional,-0.04132813,possibly_misplaced
baseline_KL_w1,21,0.01,NA,sample05.functional.fa,functional,-0.05160617,possibly_misplaced
baseline_KL_w1,21,0.01,NA,sample06.pathological.fa,pathological,0.15022592,clear
baseline_KL_w1,21,0.01,NA,sample07.pathological.fa,pathological,0.15715799,clear
baseline_KL_w1,21,0.01,NA,sample08.pathological.fa,pathological,0.15686523,clear
baseline_KL_w1,21,0.01,NA,sample09.pathological.fa,pathological,0.16108996,clear
baseline_KL_w1,21,0.01,NA,sample10.pathological.fa,pathological,0.15372804,clear
baseline_KL_w1,21,0.1,NA,sample01.functional.fa,functional,-0.04742189,possibly_misplaced
baseline_KL_w1,21,0.1,NA,sample02.functional.fa,functional,-0.04784068,possibly_misplaced
baseline_KL_w1,21,0.1,NA,sample03.functional.fa,functional,-0.05066781,possibly_misplaced
baseline_KL_w1,21,0.1,NA,sample04.functional.fa,functional,-0.04324595,possibly_misplaced
baseline_KL_w1,21,0.1,NA,sample05.functional.fa,functional,-0.05379273,possibly_misplaced
baseline_KL_w1,21,0.1,NA,sample06.pathological.fa,pathological,0.15236108,clear
baseline_KL_w1,21,0.1,NA,sample07.pathological.fa,pathological,0.15949046,clear
baseline_KL_w1,21,0.1,NA,sample08.pathological.fa,pathological,0.15912119,clear
baseline_KL_w1,21,0.1,NA,sample09.pathological.fa,pathological,0.16311742,clear
baseline_KL_w1,21,0.1,NA,sample10.pathological.fa,pathological,0.15618129,clear
baseline_KL_w1,21,1.0,NA,sample01.functional.fa,functional,-0.05264619,possibly_misplaced
baseline_KL_w1,21,1.0,NA,sample02.functional.fa,functional,-0.05322708,possibly_misplaced
baseline_KL_w1,21,1.0,NA,sample03.functional.fa,functional,-0.05495997,possibly_misplaced
baseline_KL_w1,21,1.0,NA,sample04.functional.fa,functional,-0.04882599,possibly_misplaced
baseline_KL_w1,21,1.0,NA,sample05.functional.fa,functional,-0.06026042,possibly_misplaced
baseline_KL_w1,21,1.0,NA,sample06.pathological.fa,pathological,0.15899829,clear
baseline_KL_w1,21,1.0,NA,sample07.pathological.fa,pathological,0.16654444,clear
baseline_KL_w1,21,1.0,NA,sample08.pathological.fa,pathological,0.16599936,clear
baseline_KL_w1,21,1.0,NA,sample09.pathological.fa,pathological,0.16946127,clear
baseline_KL_w1,21,1.0,NA,sample10.pathological.fa,pathological,0.16367943,clear
baseline_KL_w1,31,0.001,NA,sample01.functional.fa,functional,-0.07128979,possibly_misplaced
baseline_KL_w1,31,0.001,NA,sample02.functional.fa,functional,-0.06853665,possibly_misplaced
baseline_KL_w1,31,0.001,NA,sample03.functional.fa,functional,-0.06954631,possibly_misplaced
baseline_KL_w1,31,0.001,NA,sample04.functional.fa,functional,-0.06657177,possibly_misplaced
baseline_KL_w1,31,0.001,NA,sample05.functional.fa,functional,-0.08011180,possibly_misplaced
baseline_KL_w1,31,0.001,NA,sample06.pathological.fa,pathological,0.19631158,clear
baseline_KL_w1,31,0.001,NA,sample07.pathological.fa,pathological,0.20182833,clear
baseline_KL_w1,31,0.001,NA,sample08.pathological.fa,pathological,0.20199215,clear
baseline_KL_w1,31,0.001,NA,sample09.pathological.fa,pathological,0.20905689,clear
baseline_KL_w1,31,0.001,NA,sample10.pathological.fa,pathological,0.20591423,clear
baseline_KL_w1,31,0.01,NA,sample01.functional.fa,functional,-0.07166361,possibly_misplaced
baseline_KL_w1,31,0.01,NA,sample02.functional.fa,functional,-0.06885562,possibly_misplaced
baseline_KL_w1,31,0.01,NA,sample03.functional.fa,functional,-0.06971756,possibly_misplaced
baseline_KL_w1,31,0.01,NA,sample04.functional.fa,functional,-0.06683915,possibly_misplaced
baseline_KL_w1,31,0.01,NA,sample05.functional.fa,functional,-0.08043355,possibly_misplaced
baseline_KL_w1,31,0.01,NA,sample06.pathological.fa,pathological,0.19670728,clear
baseline_KL_w1,31,0.01,NA,sample07.pathological.fa,pathological,0.20222861,clear
baseline_KL_w1,31,0.01,NA,sample08.pathological.fa,pathological,0.20240492,clear
baseline_KL_w1,31,0.01,NA,sample09.pathological.fa,pathological,0.20949591,clear
baseline_KL_w1,31,0.01,NA,sample10.pathological.fa,pathological,0.20635517,clear
baseline_KL_w1,31,0.1,NA,sample01.functional.fa,functional,-0.07260281,possibly_misplaced
baseline_KL_w1,31,0.1,NA,sample02.functional.fa,functional,-0.06965539,possibly_misplaced
baseline_KL_w1,31,0.1,NA,sample03.functional.fa,functional,-0.07014877,possibly_misplaced
baseline_KL_w1,31,0.1,NA,sample04.functional.fa,functional,-0.06750548,possibly_misplaced
baseline_KL_w1,31,0.1,NA,sample05.functional.fa,functional,-0.08123907,possibly_misplaced
baseline_KL_w1,31,0.1,NA,sample06.pathological.fa,pathological,0.19769648,clear
baseline_KL_w1,31,0.1,NA,sample07.pathological.fa,pathological,0.20322959,clear
baseline_KL_w1,31,0.1,NA,sample08.pathological.fa,pathological,0.20343723,clear
baseline_KL_w1,31,0.1,NA,sample09.pathological.fa,pathological,0.21059288,clear
baseline_KL_w1,31,0.1,NA,sample10.pathological.fa,pathological,0.20745514,clear
baseline_KL_w1,31,1.0,NA,sample01.functional.fa,functional,-0.07537392,possibly_misplaced
baseline_KL_w1,31,1.0,NA,sample02.functional.fa,functional,-0.07198979,possibly_misplaced
baseline_KL_w1,31,1.0,NA,sample03.functional.fa,functional,-0.07144654,possibly_misplaced
baseline_KL_w1,31,1.0,NA,sample04.functional.fa,functional,-0.06938141,possibly_misplaced
baseline_KL_w1,31,1.0,NA,sample05.functional.fa,functional,-0.08355929,possibly_misplaced
baseline_KL_w1,31,1.0,NA,sample06.pathological.fa,pathological,0.20052753,clear
baseline_KL_w1,31,1.0,NA,sample07.pathological.fa,pathological,0.20609358,clear
baseline_KL_w1,31,1.0,NA,sample08.pathological.fa,pathological,0.20639078,clear
baseline_KL_w1,31,1.0,NA,sample09.pathological.fa,pathological,0.21370886,clear
baseline_KL_w1,31,1.0,NA,sample10.pathological.fa,pathological,0.21056796,clear
