method,k,alpha,beta,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_neg_log_G,15,0.1,1.0,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.40654137,clear,0.38366602,Brucella sp. 83/13,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.51512221,clear,0.38366602,Brucella sp. F5/99,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.53908219,clear,0.38366602,Brucella sp. NVSL 07-0026,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.19711367,clear,0.38366602,Brucella sp. 56/94,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.54469597,clear,0.38366602,Brucella sp. 63/311,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.60505912,clear,0.38366602,Brucella sp. F23/97,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.49106652,clear,0.38366602,Brucella sp. F5/06,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.60064623,clear,0.38366602,Brucella sp. F8/99,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.56965871,clear,0.38366602,Brucella sp. F96/2,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.52845127,clear,0.38366602,Brucella sp. UK1/97,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.59646086,clear,0.38366602,Brucella sp. UK40/99,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.59736747,clear,0.38366602,Brucella sp. 04-5288,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.38366602,Brucella canis,canis,3
SIWKL_neg_log_G,15,0.1,1.0,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.70365142,clear,0.38366602,Brucella abortus,abortus,0
SIWKL_neg_log_G,15,0.1,1.0,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.67850896,clear,0.38366602,Brucella abortus,abortus,0
SIWKL_neg_log_G,15,0.1,1.0,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.38366602,Brucella suis,suis,2
SIWKL_neg_log_G,15,0.1,1.0,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,,not_computed,0.38366602,Brucella pinnipedialis,pinnipedialis,4
SIWKL_neg_log_G,15,0.1,1.0,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.38366602,Brucella melitensis,melitensis,1
SIWKL_neg_log_G,15,0.1,1.0,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.59366591,clear,0.38366602,Brucella sp. 2002734562,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.10085847,possibly_misplaced,0.38366602,Brucella sp. B13-0095,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.34170247,possibly_misplaced,0.38366602,Brucella sp. 09RB8471,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.35159854,possibly_misplaced,0.38366602,Brucella sp. 09RB8910,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.25585814,clear,0.38366602,Brucella sp. 2280,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.31980774,clear,0.38366602,Brucella sp. DSM 103976,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.41197829,clear,0.38366602,Brucella sp. 6810,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.08576306,clear,0.38366602,Brucella sp. BO2,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.38366602,Brucella vulpis,vulpis,5
SIWKL_neg_log_G,15,0.1,1.0,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.37797885,clear,0.38366602,Brucella sp. 10RB9215,Brucella_sp,7
SIWKL_neg_log_G,15,0.1,1.0,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.38366602,Brucella inopinata,inopinata,6
