method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.29637928,clear,0.32994794,Brucella sp. 83/13,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.42845553,clear,0.32994794,Brucella sp. F5/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.44570982,clear,0.32994794,Brucella sp. NVSL 07-0026,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.09479995,clear,0.32994794,Brucella sp. 56/94,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.45263395,clear,0.32994794,Brucella sp. 63/311,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.51892421,clear,0.32994794,Brucella sp. F23/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.40001749,clear,0.32994794,Brucella sp. F5/06,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.51511096,clear,0.32994794,Brucella sp. F8/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.4848169,clear,0.32994794,Brucella sp. F96/2,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.44304287,clear,0.32994794,Brucella sp. UK1/97,Brucella_sp,7
