method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.21502417,clear,0.2834077,Brucella sp. 83/13,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.3612855,clear,0.2834077,Brucella sp. F5/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.37063992,clear,0.2834077,Brucella sp. NVSL 07-0026,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.0232266,weak/ambiguous,0.2834077,Brucella sp. 56/94,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.37810623,clear,0.2834077,Brucella sp. 63/311,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.44916625,clear,0.2834077,Brucella sp. F23/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.32691839,clear,0.2834077,Brucella sp. F5/06,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.44549927,clear,0.2834077,Brucella sp. F8/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.4163783,clear,0.2834077,Brucella sp. F96/2,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.37499684,clear,0.2834077,Brucella sp. UK1/97,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.43927703,clear,0.2834077,Brucella sp. UK40/99,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.42944488,clear,0.2834077,Brucella sp. 04-5288,Brucella_sp,7
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.2834077,Brucella canis,canis,3
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.71773789,clear,0.2834077,Brucella abortus,abortus,0
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.69881258,clear,0.2834077,Brucella abortus,abortus,0
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.2834077,Brucella suis,suis,2
