method,k,alpha,beta,sample,class,silhouette_value
SIWKL,15,1.0,1.0,sample01.functional,functional,-0.01693161726959248
SIWKL,15,1.0,1.0,sample02.functional,functional,-0.019887757808078416
SIWKL,15,1.0,1.0,sample03.functional,functional,-0.021404822353455526
SIWKL,15,1.0,1.0,sample04.functional,functional,-0.009934207572773355
SIWKL,15,1.0,1.0,sample05.functional,functional,-0.01905859985232042
SIWKL,15,1.0,1.0,sample06.pathological,pathological,0.10231800874397665
SIWKL,15,1.0,1.0,sample07.pathological,pathological,0.10970931545007806
SIWKL,15,1.0,1.0,sample08.pathological,pathological,0.10899787560779868
SIWKL,15,1.0,1.0,sample09.pathological,pathological,0.10868653698686485
SIWKL,15,1.0,1.0,sample10.pathological,pathological,0.10146778678676509
SIWKL,15,1.0,0.1,sample01.functional,functional,-0.016625087092078564
SIWKL,15,1.0,0.1,sample02.functional,functional,-0.019587710518080916
SIWKL,15,1.0,0.1,sample03.functional,functional,-0.021004957610032137
SIWKL,15,1.0,0.1,sample04.functional,functional,-0.009668745997950218
SIWKL,15,1.0,0.1,sample05.functional,functional,-0.01865097099028892
SIWKL,15,1.0,0.1,sample06.pathological,pathological,0.10055063314386337
SIWKL,15,1.0,0.1,sample07.pathological,pathological,0.10781328906788534
SIWKL,15,1.0,0.1,sample08.pathological,pathological,0.10712425931593642
SIWKL,15,1.0,0.1,sample09.pathological,pathological,0.10673114237186858
SIWKL,15,1.0,0.1,sample10.pathological,pathological,0.09965113081715828
SIWKL,15,1.0,0.01,sample01.functional,functional,-0.016589297960815364
SIWKL,15,1.0,0.01,sample02.functional,functional,-0.01955290077195499
SIWKL,15,1.0,0.01,sample03.functional,functional,-0.020955497178447646
SIWKL,15,1.0,0.01,sample04.functional,functional,-0.009639223575373022
SIWKL,15,1.0,0.01,sample05.functional,functional,-0.01859937399900287
SIWKL,15,1.0,0.01,sample06.pathological,pathological,0.10029659048460982
SIWKL,15,1.0,0.01,sample07.pathological,pathological,0.10753947452340039
SIWKL,15,1.0,0.01,sample08.pathological,pathological,0.10685367688956836
SIWKL,15,1.0,0.01,sample09.pathological,pathological,0.10644888524594877
SIWKL,15,1.0,0.01,sample10.pathological,pathological,0.09938998027507585
SIWKL,15,1.0,0.001,sample01.functional,functional,-0.01658564904745829
SIWKL,15,1.0,0.001,sample02.functional,functional,-0.019549354140463694
SIWKL,15,1.0,0.001,sample03.functional,functional,-0.020950410602942792
SIWKL,15,1.0,0.001,sample04.functional,functional,-0.009636234771733164
SIWKL,15,1.0,0.001,sample05.functional,functional,-0.018594048731793655
SIWKL,15,1.0,0.001,sample06.pathological,pathological,0.10026994872758604
SIWKL,15,1.0,0.001,sample07.pathological,pathological,0.1075107429959997
SIWKL,15,1.0,0.001,sample08.pathological,pathological,0.10682528446757722
SIWKL,15,1.0,0.001,sample09.pathological,pathological,0.10641927103908881
SIWKL,15,1.0,0.001,sample10.pathological,pathological,0.09936259235553557
SIWKL,15,1.0,0.0001,sample01.functional,functional,-0.016585283425810424
SIWKL,15,1.0,0.0001,sample02.functional,functional,-0.01954899879164309
SIWKL,15,1.0,0.0001,sample03.functional,functional,-0.02094990046300153
SIWKL,15,1.0,0.0001,sample04.functional,functional,-0.009635935514866367
SIWKL,15,1.0,0.0001,sample05.functional,functional,-0.018593514452027417
SIWKL,15,1.0,0.0001,sample06.pathological,pathological,0.10026727138627893
SIWKL,15,1.0,0.0001,sample07.pathological,pathological,0.10750785547756174
SIWKL,15,1.0,0.0001,sample08.pathological,pathological,0.10682243102878161
SIWKL,15,1.0,0.0001,sample09.pathological,pathological,0.10641629484649522
SIWKL,15,1.0,0.0001,sample10.pathological,pathological,0.09935984002090674
SIWKL,15,1.0,1e-06,sample01.functional,functional,-0.01658524319928679
SIWKL,15,1.0,1e-06,sample02.functional,functional,-0.019548959695627643
SIWKL,15,1.0,1e-06,sample03.functional,functional,-0.02094984433106193
SIWKL,15,1.0,1e-06,sample04.functional,functional,-0.009635902592419435
SIWKL,15,1.0,1e-06,sample05.functional,functional,-0.0185934556616779
SIWKL,15,1.0,1e-06,sample06.pathological,pathological,0.10026697673165415
