method,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL,15,1.0,1.0,199251,227870.9,199251.0,0.8744030062636344,0.044396251871926314,-0.017443400971244038,0.10623590471509667,0.0018396333275131388,0.0019248063611021027,0.9557498170672111,0.9049289342326731,0.8,SIWKL_matrix_k15_alpha1p0_beta1p0.txt
SIWKL,15,0.1,1.0,199251,227870.9,19925.100000000002,0.08744030062636345,0.04411401672427564,-0.006349022924522739,0.09457705637307401,0.010744349782841212,0.011240165758766857,0.9558889088856248,0.9065060074435018,1.0,SIWKL_matrix_k15_alpha0p1_beta1p0.txt
SIWKL,15,0.01,1.0,199251,227870.9,1992.51,0.008744030062636344,0.04406688229390676,-0.0026372854016323546,0.09077104998944588,0.022142338642232664,0.023163540166566268,0.9559134088748842,0.9074354342973248,1.0,SIWKL_matrix_k15_alpha0p01_beta1p0.txt
SIWKL,15,0.001,1.0,199251,227870.9,199.251,0.0008744030062636344,0.04405231995315552,-0.0011568928039198843,0.08926153271023093,0.03331818341122329,0.0348545018608195,0.9559219507502642,0.9078362929742692,1.0,SIWKL_matrix_k15_alpha0p001_beta1p0.txt
SIWKL,15,0.0001,1.0,199251,227870.9,19.9251,8.744030062636345e-05,0.04404560641676926,-0.00039804556317525705,0.08848925839671377,0.044392640863498194,0.0464393999962541,0.9559262364948513,0.9080439779306883,1.0,SIWKL_matrix_k15_alpha0p0001_beta1p0.txt
SIWKL,15,1e-06,1.0,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.044039315895956443,0.0003656067124589564,0.08771302507945393,0.06650286531125624,0.0695687218476868,0.9559305323570135,0.9082531763660737,1.0,SIWKL_matrix_k15_alpha1em06_beta1p0.txt
SIWKL,21,1.0,1.0,219315,227864.9,219315.0,0.9624782052874313,0.052736681217411985,-0.05132085814847315,0.15679422058329712,0.0025618150460532943,0.002700435203322653,0.9486674751170483,0.8952348461346349,0.5,SIWKL_matrix_k21_alpha1p0_beta1p0.txt
SIWKL,21,0.1,1.0,219315,227864.9,21931.5,0.09624782052874313,0.05211161377764778,-0.046541530081338434,0.150764757636634,0.01568620724486982,0.016528532621533316,0.949038103021552,0.8948829693309344,0.5,SIWKL_matrix_k21_alpha0p1_beta1p0.txt
SIWKL,21,0.01,1.0,219315,227864.9,2193.15,0.009624782052874313,0.05194379010505028,-0.044892420653743347,0.14878000086384388,0.03265729727839976,0.03440782456343944,0.9491241510543005,0.8949269472834144,0.5,SIWKL_matrix_k21_alpha0p01_beta1p0.txt
SIWKL,21,0.001,1.0,219315,227864.9,219.315,0.0009624782052874313,0.05188007614880526,-0.04423280959475532,0.14799296189236583,0.04923673162993202,0.05187422459962567,0.949156002040507,0.8949573874265023,0.5,SIWKL_matrix_k21_alpha0p001_beta1p0.txt
SIWKL,21,0.0001,1.0,219315,227864.9,21.9315,9.624782052874312e-05,0.051847836814696756,-0.04389510972541294,0.14759078335480647,0.06564686297494468,0.06916223313312676,0.9491721131760519,0.8949739886610099,0.5,SIWKL_matrix_k21_alpha0p0001_beta1p0.txt
SIWKL,21,1e-06,1.0,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.0518156034010943,-0.04355578153176403,0.14718698833395266,0.09840314886222726,0.10367084423258854,0.9491882659068247,0.8949908201828126,0.5,SIWKL_matrix_k21_alpha1em06_beta1p0.txt
SIWKL,31,1.0,1.0,236913,227854.9,236913.0,1.0397538082349775,0.06356912687571549,-0.07182808783670158,0.19896634158813256,0.0036974103741225133,0.003936637628812516,0.9392305624121758,0.88489275537137,0.5,SIWKL_matrix_k31_alpha1p0_beta1p0.txt
SIWKL,31,0.1,1.0,236913,227854.9,23691.300000000003,0.10397538082349778,0.06318066211472326,-0.06994164452306713,0.1963029687525136,0.023541666774205675,0.025058473804478412,0.9394692972082899,0.8827394056107735,0.5,SIWKL_matrix_k31_alpha0p1_beta1p0.txt
SIWKL,31,0.01,1.0,236913,227854.9,2369.13,0.010397538082349778,0.06303715572434804,-0.06928864007654892,0.19536295152524502,0.04943778833278027,0.052617914512135606,0.9395619113976499,0.8819682343197839,0.5,SIWKL_matrix_k31_alpha0p01_beta1p0.txt
SIWKL,31,0.001,1.0,236913,227854.9,236.913,0.0010397538082349777,0.06297932194507623,-0.06902781122513248,0.19498645511528492,0.07465811965393819,0.07945738133282755,0.9395995488602069,0.8816597938724452,0.5,SIWKL_matrix_k31_alpha0p001_beta1p0.txt
SIWKL,31,0.0001,1.0,236913,227854.9,23.691300000000002,0.00010397538082349777,0.06294974663429634,-0.06889447952074684,0.1947939727893395,0.09959587154498385,0.10599603634424294,0.9396188289675917,0.8815022273216945,0.5,SIWKL_matrix_k31_alpha0p0001_beta1p0.txt
SIWKL,31,1e-06,1.0,236913,227854.9,0.23691299999999998,1.0397538082349777e-06,0.06292008588178181,-0.06876068048002515,0.19460085224358878,0.1493653100973085,0.1589604526335962,0.9396381780668145,0.8813441713547574,0.5,SIWKL_matrix_k31_alpha1em06_beta1p0.txt
SIWKL,41,1.0,1.0,245243,227844.9,245243.0,1.0763594006273567,0.07009883820933893,-0.08184780835963915,0.222045484778317,0.004773733764387406,0.005113447445595419,0.9335646479557285,0.8757143561089926,0.5,SIWKL_matrix_k41_alpha1p0_beta1p0.txt
SIWKL,41,0.1,1.0,245243,227844.9,24524.300000000003,0.10763594006273568,0.07009491937840664,-0.08119365802675539,0.22138349678356867,0.03092948344712884,0.03313252054849312,0.9335083155493743,0.8740035652267959,0.5,SIWKL_matrix_k41_alpha0p1_beta1p0.txt
SIWKL,41,0.01,1.0,245243,227844.9,2452.43,0.010763594006273566,0.07009359778694639,-0.08095541367606318,0.221142609249956,0.06521222795055591,0.0698586834387295,0.9334877890699325,0.8733870749779772,0.5,SIWKL_matrix_k41_alpha0p01_beta1p0.txt
SIWKL,41,0.001,1.0,245243,227844.9,245.243,0.0010763594006273566,0.07009308672687749,-0.08085955162523398,0.22104572507898892,0.09855310128055052,0.10557607197445426,0.9334795227501639,0.8731405475201428,0.5,SIWKL_matrix_k41_alpha0p001_beta1p0.txt
SIWKL,41,0.0001,1.0,245243,227844.9,24.5243,0.00010763594006273566,0.07009282942196501,-0.08081052702907784,0.2209961858730079,0.13150485710325882,0.14087663369646958,0.9334752943245149,0.873014699334309,0.5,SIWKL_matrix_k41_alpha0p0001_beta1p0.txt
SIWKL,41,1e-06,1.0,245243,227844.9,0.245243,1.0763594006273565e-06,0.07009257351271123,-0.08076135305593686,0.2209465000813593,0.19726270240731725,0.2113217134785203,0.9334710530225183,0.8728885311512219,0.5,SIWKL_matrix_k41_alpha1em06_beta1p0.txt
