method,k,alpha,beta,sample,class,silhouette_value
SIWKL,15,1.0,1.0,sample01.functional,functional,-0.01693161726959248
SIWKL,15,1.0,1.0,sample02.functional,functional,-0.019887757808078416
SIWKL,15,1.0,1.0,sample03.functional,functional,-0.021404822353455526
SIWKL,15,1.0,1.0,sample04.functional,functional,-0.009934207572773355
SIWKL,15,1.0,1.0,sample05.functional,functional,-0.01905859985232042
SIWKL,15,1.0,1.0,sample06.pathological,pathological,0.10231800874397665
SIWKL,15,1.0,1.0,sample07.pathological,pathological,0.10970931545007806
SIWKL,15,1.0,1.0,sample08.pathological,pathological,0.10899787560779868
SIWKL,15,1.0,1.0,sample09.pathological,pathological,0.10868653698686485
SIWKL,15,1.0,1.0,sample10.pathological,pathological,0.10146778678676509
SIWKL,15,0.1,1.0,sample01.functional,functional,-0.006771886844753309
SIWKL,15,0.1,1.0,sample02.functional,functional,-0.009066762313329906
SIWKL,15,0.1,1.0,sample03.functional,functional,-0.0107461852289835
SIWKL,15,0.1,1.0,sample04.functional,functional,0.001940481334326574
SIWKL,15,0.1,1.0,sample05.functional,functional,-0.00710076156987355
SIWKL,15,0.1,1.0,sample06.pathological,pathological,0.0911024291890496
SIWKL,15,0.1,1.0,sample07.pathological,pathological,0.09754137205324874
SIWKL,15,0.1,1.0,sample08.pathological,pathological,0.09752309992010785
SIWKL,15,0.1,1.0,sample09.pathological,pathological,0.09798198634794844
SIWKL,15,0.1,1.0,sample10.pathological,pathological,0.08873639435501546
SIWKL,15,0.01,1.0,sample01.functional,functional,-0.0033635219516773927
SIWKL,15,0.01,1.0,sample02.functional,functional,-0.005411256517572753
SIWKL,15,0.01,1.0,sample03.functional,functional,-0.007107361624931211
SIWKL,15,0.01,1.0,sample04.functional,functional,0.005873030764344057
SIWKL,15,0.01,1.0,sample05.functional,functional,-0.003177317678324474
SIWKL,15,0.01,1.0,sample06.pathological,pathological,0.08748166579787077
SIWKL,15,0.01,1.0,sample07.pathological,pathological,0.0935240262205219
SIWKL,15,0.01,1.0,sample08.pathological,pathological,0.09374348764155403
SIWKL,15,0.01,1.0,sample09.pathological,pathological,0.09454212158782838
SIWKL,15,0.01,1.0,sample10.pathological,pathological,0.08456394869945434
SIWKL,15,0.001,1.0,sample01.functional,functional,-0.0020001415937000353
SIWKL,15,0.001,1.0,sample02.functional,functional,-0.003949141532959739
SIWKL,15,0.001,1.0,sample03.functional,functional,-0.005649466532119393
SIWKL,15,0.001,1.0,sample04.functional,functional,0.007432246178450261
SIWKL,15,0.001,1.0,sample05.functional,functional,-0.0016179605392705138
SIWKL,15,0.001,1.0,sample06.pathological,pathological,0.08604835039294934
SIWKL,15,0.001,1.0,sample07.pathological,pathological,0.09192723745225749
SIWKL,15,0.001,1.0,sample08.pathological,pathological,0.09224232265027356
SIWKL,15,0.001,1.0,sample09.pathological,pathological,0.09318239478764838
SIWKL,15,0.001,1.0,sample10.pathological,pathological,0.08290735826802591
SIWKL,15,0.0001,1.0,sample01.functional,functional,-0.0013003762020301365
SIWKL,15,0.0001,1.0,sample02.functional,functional,-0.0031989641804903743
SIWKL,15,0.0001,1.0,sample03.functional,functional,-0.004901256713834455
SIWKL,15,0.0001,1.0,sample04.functional,functional,0.008229534222081353
SIWKL,15,0.0001,1.0,sample05.functional,functional,-0.0008191649416026729
SIWKL,15,0.0001,1.0,sample06.pathological,pathological,0.08531527446355024
SIWKL,15,0.0001,1.0,sample07.pathological,pathological,0.09110993564452251
SIWKL,15,0.0001,1.0,sample08.pathological,pathological,0.09147426178012652
SIWKL,15,0.0001,1.0,sample09.pathological,pathological,0.09248731413629004
SIWKL,15,0.0001,1.0,sample10.pathological,pathological,0.08205950595907957
SIWKL,15,1e-06,1.0,sample01.functional,functional,-0.0005955710920059163
SIWKL,15,1e-06,1.0,sample02.functional,functional,-0.002443611848812999
SIWKL,15,1e-06,1.0,sample03.functional,functional,-0.004147849922757543
SIWKL,15,1e-06,1.0,sample04.functional,functional,0.009030546723388029
SIWKL,15,1e-06,1.0,sample05.functional,functional,-1.5480297516788482e-05
SIWKL,15,1e-06,1.0,sample06.pathological,pathological,0.08457849207669003
