method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample01.functional.fa,functional,-0.00148343,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample02.functional.fa,functional,-0.00401839,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample03.functional.fa,functional,-0.00313588,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample04.functional.fa,functional,0.00554709,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample05.functional.fa,functional,0.00000440,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample06.pathological.fa,pathological,0.04989573,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample07.pathological.fa,pathological,0.05371371,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample08.pathological.fa,pathological,0.05435958,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample09.pathological.fa,pathological,0.05223794,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,sample10.pathological.fa,pathological,0.04654701,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample01.functional.fa,functional,-0.00145602,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample02.functional.fa,functional,-0.00398880,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample03.functional.fa,functional,-0.00311465,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample04.functional.fa,functional,0.00558179,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample05.functional.fa,functional,0.00002246,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample06.pathological.fa,pathological,0.05000828,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample07.pathological.fa,pathological,0.05383741,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample08.pathological.fa,pathological,0.05448148,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample09.pathological.fa,pathological,0.05236939,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,sample10.pathological.fa,pathological,0.04666126,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample01.functional.fa,functional,-0.00119776,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample02.functional.fa,functional,-0.00370944,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample03.functional.fa,functional,-0.00291533,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample04.functional.fa,functional,0.00591032,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample05.functional.fa,functional,0.00019275,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample06.pathological.fa,pathological,0.05108801,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample07.pathological.fa,pathological,0.05502329,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample08.pathological.fa,pathological,0.05565030,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample09.pathological.fa,pathological,0.05363019,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,sample10.pathological.fa,pathological,0.04775694,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample01.functional.fa,functional,0.00036663,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample02.functional.fa,functional,-0.00198370,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample03.functional.fa,functional,-0.00176274,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample04.functional.fa,functional,0.00799881,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample05.functional.fa,functional,0.00121655,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample06.pathological.fa,pathological,0.05886778,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample07.pathological.fa,pathological,0.06351758,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample08.pathological.fa,pathological,0.06403045,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample09.pathological.fa,pathological,0.06268967,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,sample10.pathological.fa,pathological,0.05563366,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample01.functional.fa,functional,-0.00199611,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample02.functional.fa,functional,-0.00458403,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample03.functional.fa,functional,-0.00370614,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample04.functional.fa,functional,0.00495286,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample05.functional.fa,functional,-0.00059660,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample06.pathological.fa,pathological,0.05046834,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample07.pathological.fa,pathological,0.05435509,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample08.pathological.fa,pathological,0.05495902,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample09.pathological.fa,pathological,0.05278372,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,sample10.pathological.fa,pathological,0.04721177,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample01.functional.fa,functional,-0.00197041,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample02.functional.fa,functional,-0.00455628,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample03.functional.fa,functional,-0.00368676,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample04.functional.fa,functional,0.00498566,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample05.functional.fa,functional,-0.00058045,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample06.pathological.fa,pathological,0.05058258,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample07.pathological.fa,pathological,0.05448070,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample08.pathological.fa,pathological,0.05508272,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample09.pathological.fa,pathological,0.05291678,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,sample10.pathological.fa,pathological,0.04732800,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample01.functional.fa,functional,-0.00172870,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample02.functional.fa,functional,-0.00429461,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample03.functional.fa,functional,-0.00350532,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample04.functional.fa,functional,0.00529595,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample05.functional.fa,functional,-0.00042858,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample06.pathological.fa,pathological,0.05167865,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample07.pathological.fa,pathological,0.05568497,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample08.pathological.fa,pathological,0.05626884,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample09.pathological.fa,pathological,0.05419300,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,sample10.pathological.fa,pathological,0.04844270,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample01.functional.fa,functional,-0.00028798,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample02.functional.fa,functional,-0.00270056,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample03.functional.fa,functional,-0.00248590,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample04.functional.fa,functional,0.00724845,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample05.functional.fa,functional,0.00045917,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample06.pathological.fa,pathological,0.05957844,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample07.pathological.fa,pathological,0.06431466,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample08.pathological.fa,pathological,0.06477646,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample09.pathological.fa,pathological,0.06336567,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,sample10.pathological.fa,pathological,0.05645930,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample01.functional.fa,functional,-0.00327902,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample02.functional.fa,functional,-0.00600064,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample03.functional.fa,functional,-0.00513305,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample04.functional.fa,functional,0.00345866,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample05.functional.fa,functional,-0.00210786,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample06.pathological.fa,pathological,0.05190893,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample07.pathological.fa,pathological,0.05596542,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample08.pathological.fa,pathological,0.05646398,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample09.pathological.fa,pathological,0.05415845,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,sample10.pathological.fa,pathological,0.04888210,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,sample01.functional.fa,functional,-0.00325761,possibly_misplaced
