method,k,alpha,beta,uncapped,vocabulary_size,zero_percentage_before_smoothing,zero_probs_after_alpha_smoothing,weight_min,weight_max,weight_mean,negative_entries_before_cleanup,min_symmetric_score_before_cleanup,max_symmetric_score_before_cleanup,overall_silhouette_score
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.001,True,199251,3.13192907,0,2.760754276763e+01,1.508851092514e+03,5.012453473821e+02,0,0.000000000000e+00,3.969797356281e+01,0.02536678
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.01,True,199251,3.13192907,0,2.761836116908e+01,1.502704331175e+03,5.010289032818e+02,0,0.000000000000e+00,3.957502455953e+01,0.02544026
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,0.1,True,199251,3.13192907,0,2.772630945230e+01,1.445568180210e+03,4.990031001699e+02,0,0.000000000000e+00,3.843137931091e+01,0.02614293
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.001,1.0,True,199251,3.13192907,0,2.878319097868e+01,1.113094784823e+03,4.864753946658e+02,0,0.000000000000e+00,3.173618369358e+01,0.03105747
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.001,True,199251,3.13192907,0,2.760754276763e+01,1.508851092514e+03,5.012453473821e+02,0,0.000000000000e+00,2.634305746703e+01,0.02538479
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.01,True,199251,3.13192907,0,2.761836116908e+01,1.502704331175e+03,5.010289032818e+02,0,0.000000000000e+00,2.626157017111e+01,0.02545825
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,0.1,True,199251,3.13192907,0,2.772630945230e+01,1.445568180210e+03,4.990031001699e+02,0,0.000000000000e+00,2.550359489656e+01,0.02616069
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.01,1.0,True,199251,3.13192907,0,2.878319097868e+01,1.113094784823e+03,4.864753946658e+02,0,0.000000000000e+00,2.106632811357e+01,0.03107277
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.001,True,199251,3.13192907,0,2.760754276763e+01,1.508851092514e+03,5.012453473821e+02,0,0.000000000000e+00,1.273443000413e+01,0.02543170
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,0.01,True,199251,3.13192907,0,2.761836116908e+01,1.502704331175e+03,5.010289032818e+02,0,0.000000000000e+00,1.269515932421e+01,0.02550511
