method,weight_function,capped_weight,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL_inverse_sqrt_G,1/sqrt(G),False,15,1.0,1.0,199251,227870.9,199251.0,0.8744030062636344,0.03126268286295449,-0.006637400821901869,0.06916276654781087,0.0014305856484165787,0.0014767425110477075,0.9687441363095982,0.9245596410646363,0.9,SIWKL_inverse_sqrt_G_matrix_k15_alpha1p0_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,15,0.1,1.0,199251,227870.9,19925.100000000002,0.08744030062636345,0.031113320124198762,-0.0013592887443047228,0.06358592899270224,0.008451437767318765,0.008723017837697224,0.9688662713487982,0.9246163610440963,0.9,SIWKL_inverse_sqrt_G_matrix_k15_alpha0p1_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,15,0.01,1.0,199251,227870.9,1992.51,0.008744030062636344,0.0310727721283716,0.00044663785631671117,0.0616989064004265,0.017479898229670644,0.018040924228043466,0.9689025910601219,0.9247280136640458,1.0,SIWKL_inverse_sqrt_G_matrix_k15_alpha0p01_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,15,0.001,1.0,199251,227870.9,199.251,0.0008744030062636344,0.031057469578192432,0.0011671096576974826,0.06094782949868738,0.026339818784591035,0.027184809998543048,0.9689167879416005,0.9247859921146578,1.0,SIWKL_inverse_sqrt_G_matrix_k15_alpha0p001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,15,0.0001,1.0,199251,227870.9,19.9251,8.744030062636345e-05,0.031049748216776873,0.0015355682561748458,0.0605639281773789,0.03512020621508953,0.03624660477030969,0.9689240257850904,0.9248166616845878,1.0,SIWKL_inverse_sqrt_G_matrix_k15_alpha0p0001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,15,1e-06,1.0,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.031042052164241975,0.001905551282954357,0.06017855304552959,0.052650486262419284,0.05433872027421779,0.9689312887149548,0.924847603999139,1.0,SIWKL_inverse_sqrt_G_matrix_k15_alpha1em06_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,21,1.0,1.0,219315,227864.9,219315.0,0.9624782052874313,0.037565488612239864,-0.04229948243359629,0.11743045965807604,0.0020033161527676473,0.0020794782022943675,0.9633744419909341,0.9090363393488621,0.5,SIWKL_inverse_sqrt_G_matrix_k21_alpha1p0_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,21,0.1,1.0,219315,227864.9,21931.5,0.09624782052874313,0.03728612252930384,-0.039796050862833755,0.11436829592144146,0.012340269356126362,0.012807168054957995,0.9635439546956764,0.9100085877426805,0.5,SIWKL_inverse_sqrt_G_matrix_k21_alpha0p1_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,21,0.01,1.0,219315,227864.9,2193.15,0.009624782052874313,0.03720309422351144,-0.03890950946136535,0.11331569790838822,0.025740901829914103,0.026713548875534485,0.9635897480281559,0.9104412201991531,0.5,SIWKL_inverse_sqrt_G_matrix_k21_alpha0p01_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,21,0.001,1.0,219315,227864.9,219.315,0.0009624782052874313,0.037170899907656096,-0.03855408714654239,0.1128958869618546,0.03883852929510277,0.040305351776851565,0.9636072527075368,0.9106216913320326,0.5,SIWKL_inverse_sqrt_G_matrix_k21_alpha0p001_beta1p0_uncapped.txt
