method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample01.functional.fa,functional,-0.00557987,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample02.functional.fa,functional,-0.00855289,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample03.functional.fa,functional,-0.00597970,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample04.functional.fa,functional,-0.00010646,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample05.functional.fa,functional,-0.00259053,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample06.pathological.fa,pathological,0.02711370,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample07.pathological.fa,pathological,0.02904793,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample08.pathological.fa,pathological,0.03010888,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample09.pathological.fa,pathological,0.02584278,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,sample10.pathological.fa,pathological,0.02343811,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample01.functional.fa,functional,-0.00553283,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample02.functional.fa,functional,-0.00850442,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample03.functional.fa,functional,-0.00593929,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample04.functional.fa,functional,-0.00005358,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample05.functional.fa,functional,-0.00255837,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample06.pathological.fa,pathological,0.02721669,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample07.pathological.fa,pathological,0.02916488,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample08.pathological.fa,pathological,0.03022356,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample09.pathological.fa,pathological,0.02596553,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,sample10.pathological.fa,pathological,0.02354391,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample01.functional.fa,functional,-0.00507692,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample02.functional.fa,functional,-0.00803353,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample03.functional.fa,functional,-0.00554737,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample04.functional.fa,functional,0.00046084,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample05.functional.fa,functional,-0.00224518,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample06.pathological.fa,pathological,0.02822704,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample07.pathological.fa,pathological,0.03031098,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample08.pathological.fa,pathological,0.03134736,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample09.pathological.fa,pathological,0.02716990,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,sample10.pathological.fa,pathological,0.02458126,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample01.functional.fa,functional,-0.00166837,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample02.functional.fa,functional,-0.00445739,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample03.functional.fa,functional,-0.00262498,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample04.functional.fa,functional,0.00441298,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample05.functional.fa,functional,0.00016159,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample06.pathological.fa,pathological,0.03671295,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample07.pathological.fa,pathological,0.03985368,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample08.pathological.fa,pathological,0.04070419,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample09.pathological.fa,pathological,0.03727028,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,sample10.pathological.fa,pathological,0.03325897,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample01.functional.fa,functional,-0.00572549,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample02.functional.fa,functional,-0.00872845,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample03.functional.fa,functional,-0.00615770,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample04.functional.fa,functional,-0.00028842,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample05.functional.fa,functional,-0.00277637,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample06.pathological.fa,pathological,0.02729385,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample07.pathological.fa,pathological,0.02924841,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample08.pathological.fa,pathological,0.03029653,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample09.pathological.fa,pathological,0.02601653,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,sample10.pathological.fa,pathological,0.02364574,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample01.functional.fa,functional,-0.00567959,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample02.functional.fa,functional,-0.00868123,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample03.functional.fa,functional,-0.00611856,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample04.functional.fa,functional,-0.00023685,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample05.functional.fa,functional,-0.00274553,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample06.pathological.fa,pathological,0.02739810,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample07.pathological.fa,pathological,0.02936676,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample08.pathological.fa,pathological,0.03041253,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample09.pathological.fa,pathological,0.02614049,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,sample10.pathological.fa,pathological,0.02375300,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample01.functional.fa,functional,-0.00523488,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample02.functional.fa,functional,-0.00822275,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample03.functional.fa,functional,-0.00573925,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample04.functional.fa,functional,0.00026478,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample05.functional.fa,functional,-0.00244537,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample06.pathological.fa,pathological,0.02842080,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample07.pathological.fa,pathological,0.03052671,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample08.pathological.fa,pathological,0.03154928,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample09.pathological.fa,pathological,0.02735664,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,sample10.pathological.fa,pathological,0.02480468,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample01.functional.fa,functional,-0.00192541,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample02.functional.fa,functional,-0.00475383,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample03.functional.fa,functional,-0.00292584,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample04.functional.fa,functional,0.00410729,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample05.functional.fa,functional,-0.00015080,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample06.pathological.fa,pathological,0.03701127,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample07.pathological.fa,pathological,0.04018701,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample08.pathological.fa,pathological,0.04101619,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,sample09.pathological.fa,pathological,0.03755646,weak_ambiguous
