method,k,alpha,beta,uncapped,vocabulary_size,zero_percentage_before_smoothing,zero_probs_after_alpha_smoothing,weight_min,weight_max,weight_mean,negative_entries_before_cleanup,min_symmetric_score_before_cleanup,max_symmetric_score_before_cleanup,overall_silhouette_score
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.001,True,199251,3.13192907,0,7.621764176667e+02,2.276631619381e+06,2.863427530793e+05,0,0.000000000000e+00,5.010655618457e+04,0.01127419
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.01,True,199251,3.13192907,0,7.627738736660e+02,2.258120306931e+06,2.857370066375e+05,0,0.000000000000e+00,4.973882288161e+04,0.01135261
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,0.1,True,199251,3.13192907,0,7.687482358450e+02,2.089667363636e+06,2.802061413725e+05,0,0.000000000000e+00,4.639115107831e+04,0.01211944
SIWKL_inverse_G_global_beta_true_uncapped,15,0.001,1.0,True,199251,3.13192907,0,8.284720829154e+02,1.238980000000e+06,2.513539480164e+05,0,0.000000000000e+00,2.942692402095e+04,0.01836239
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.001,True,199251,3.13192907,0,7.621764176667e+02,2.276631619381e+06,2.863427530793e+05,0,0.000000000000e+00,3.322228722423e+04,0.01128246
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.01,True,199251,3.13192907,0,7.627738736660e+02,2.258120306931e+06,2.857370066375e+05,0,0.000000000000e+00,3.297855571573e+04,0.01136091
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,0.1,True,199251,3.13192907,0,7.687482358450e+02,2.089667363636e+06,2.802061413725e+05,0,0.000000000000e+00,3.075973968557e+04,0.01212806
SIWKL_inverse_G_global_beta_true_uncapped,15,0.01,1.0,True,199251,3.13192907,0,8.284720829154e+02,1.238980000000e+06,2.513539480164e+05,0,0.000000000000e+00,1.951603521269e+04,0.01837264
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,0.001,True,199251,3.13192907,0,7.621764176667e+02,2.276631619381e+06,2.863427530793e+05,0,0.000000000000e+00,1.602629670489e+04,0.01130334
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,0.01,True,199251,3.13192907,0,7.627738736660e+02,2.258120306931e+06,2.857370066375e+05,0,0.000000000000e+00,1.590882700873e+04,0.01138187
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,0.1,True,199251,3.13192907,0,7.687482358450e+02,2.089667363636e+06,2.802061413725e+05,0,0.000000000000e+00,1.483944046684e+04,0.01214982
SIWKL_inverse_G_global_beta_true_uncapped,15,0.1,1.0,True,199251,3.13192907,0,8.284720829154e+02,1.238980000000e+06,2.513539480164e+05,0,0.000000000000e+00,9.420492491463e+03,0.01839867
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.001,True,199251,3.13192907,0,7.621764176667e+02,2.276631619381e+06,2.863427530793e+05,0,0.000000000000e+00,2.694186990025e+03,0.01136506
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.01,True,199251,3.13192907,0,7.627738736660e+02,2.258120306931e+06,2.857370066375e+05,0,0.000000000000e+00,2.674488415693e+03,0.01144387
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,0.1,True,199251,3.13192907,0,7.687482358450e+02,2.089667363636e+06,2.802061413725e+05,0,0.000000000000e+00,2.495163238733e+03,0.01221435
SIWKL_inverse_G_global_beta_true_uncapped,15,1.0,1.0,True,199251,3.13192907,0,8.284720829154e+02,1.238980000000e+06,2.513539480164e+05,0,0.000000000000e+00,1.586513795410e+03,0.01847747
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.001,True,219315,4.18603379,0,2.304212346600e+03,2.276591723277e+06,3.107181489648e+05,0,0.000000000000e+00,7.476855854053e+04,0.01440026
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,219315,4.18603379,0,2.306187146743e+03,2.258259554455e+06,3.099426570024e+05,0,0.000000000000e+00,7.422872982848e+04,0.01449215
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,219315,4.18603379,0,2.325933171570e+03,2.091436818182e+06,3.028797984247e+05,0,0.000000000000e+00,6.931430637386e+04,0.01539010
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,219315,4.18603379,0,2.523195959596e+03,1.248982000000e+06,2.669256670128e+05,0,0.000000000000e+00,4.441272362942e+04,0.02265706
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,219315,4.18603379,0,2.304212346600e+03,2.276591723277e+06,3.107181489648e+05,0,0.000000000000e+00,4.953731222693e+04,0.01441076
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.01,True,219315,4.18603379,0,2.306187146743e+03,2.258259554455e+06,3.099426570024e+05,0,0.000000000000e+00,4.917976141796e+04,0.01450270
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.1,True,219315,4.18603379,0,2.325933171570e+03,2.091436818182e+06,3.028797984247e+05,0,0.000000000000e+00,4.592472307996e+04,0.01540117
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,1.0,True,219315,4.18603379,0,2.523195959596e+03,1.248982000000e+06,2.669256670128e+05,0,0.000000000000e+00,2.943086907920e+04,0.02267180
SIWKL_inverse_G_global_beta_true_uncapped,21,0.1,0.001,True,219315,4.18603379,0,2.304212346600e+03,2.276591723277e+06,3.107181489648e+05,0,0.000000000000e+00,2.372782598702e+04,0.01443721
SIWKL_inverse_G_global_beta_true_uncapped,21,0.1,0.01,True,219315,4.18603379,0,2.306187146743e+03,2.258259554455e+06,3.099426570024e+05,0,0.000000000000e+00,2.355669210338e+04,0.01452929
