method,weight_function,capped_weight,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL_inverse_G,1/G,True,15,1.0,1.0,199251,227870.9,199251.0,0.8744030062636344,0.018477467164526317,-0.003951136520820134,0.04090607084987277,0.0012042262074734762,0.001226911238161553,0.9815104548866397,0.9319013414321055,0.9,SIWKL_inverse_G_matrix_k15_alpha1p0_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,15,0.1,1.0,199251,227870.9,19925.100000000002,0.08744030062636345,0.018398672084157224,-0.0018652589060902084,0.03866260307440466,0.0071555288884214445,0.007289798641051102,0.9815811438366016,0.9319784256825157,0.9,SIWKL_inverse_G_matrix_k15_alpha0p1_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,15,0.01,1.0,199251,227870.9,1992.51,0.008744030062636344,0.018372644257020197,-0.001129720386088962,0.03787500890012936,0.014827995369156615,0.015105865331078829,0.9816051609204721,0.9320541964680575,0.9,SIWKL_inverse_G_matrix_k15_alpha0p01_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,15,0.001,1.0,199251,227870.9,199.251,0.0008744030062636344,0.018362390452318546,-0.0008352338131972093,0.0375600147178343,0.022360735814882248,0.022779543943257555,0.9816147272562378,0.9320876711275395,0.9,SIWKL_inverse_G_matrix_k15_alpha0p001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,199251,227870.9,19.9251,8.744030062636345e-05,0.01835717231181158,-0.0006846781195197135,0.03739902274314287,0.02982625579684776,0.03038473904365826,0.9816196135169026,0.9321049916012841,0.9,SIWKL_inverse_G_matrix_k15_alpha0p0001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,199251,227870.9,0.19925099999999998,8.744030062636343e-07,0.018351950256064804,-0.000533614583201363,0.037237515095330964,0.044731453084704595,0.04556880192343098,0.9816245149448218,0.9321223952036979,0.9,SIWKL_inverse_G_matrix_k15_alpha1em06_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,21,1.0,1.0,219315,227864.9,219315.0,0.9624782052874313,0.022822494917691512,-0.039481067415016544,0.08512605725039957,0.0016887425684350363,0.001726753437750579,0.9779870892482142,0.9194362430223832,0.5,SIWKL_inverse_G_matrix_k21_alpha1p0_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,21,0.1,1.0,219315,227864.9,21931.5,0.09624782052874313,0.02270912222209457,-0.038321831239378414,0.08374007568356756,0.010435330288803845,0.010669496630390969,0.9780527282870941,0.9208187393167371,0.5,SIWKL_inverse_G_matrix_k21_alpha0p1_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,21,0.01,1.0,219315,227864.9,2193.15,0.009624782052874313,0.022671803348086148,-0.03790005846891549,0.08324366516508779,0.02179040462009963,0.022278913624097375,0.978073032992535,0.921362867016243,0.5,SIWKL_inverse_G_matrix_k21_alpha0p01_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,21,0.001,1.0,219315,227864.9,219.315,0.0009624782052874313,0.022657056309315495,-0.03773037351786009,0.0830444861364911,0.03289174698818864,0.03362885839201972,0.9780809864183199,0.9215854121040021,0.5,SIWKL_inverse_G_matrix_k21_alpha0p001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,21,0.0001,1.0,219315,227864.9,21.9315,9.624782052874312e-05,0.02264954060449991,-0.03764357585345904,0.08294265706245887,0.04388068444006262,0.04486387453618116,0.9780850382120779,0.921699598116809,0.5,SIWKL_inverse_G_matrix_k21_alpha0p0001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,21,1e-06,1.0,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.022642010498869942,-0.03755649145124303,0.08284051244898291,0.06581592343795228,0.06729031476328538,0.9780891004817004,0.921814230718189,0.5,SIWKL_inverse_G_matrix_k21_alpha1em06_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,31,1.0,1.0,236913,227854.9,236913.0,1.0397538082349775,0.029170520748845,-0.060156856510560706,0.1184978980082507,0.0024540230093163676,0.002522761723031454,0.9727525936803548,0.8987390449362918,0.5,SIWKL_inverse_G_matrix_k31_alpha1p0_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,31,0.1,1.0,236913,227854.9,23691.300000000003,0.10397538082349778,0.029063093383511318,-0.05968814252681236,0.117814329293835,0.015671723464692346,0.016109429106939018,0.9728292269489467,0.898860724007073,0.5,SIWKL_inverse_G_matrix_k31_alpha0p1_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,31,0.01,1.0,236913,227854.9,2369.13,0.010397538082349778,0.029022906260155506,-0.05951572518666738,0.11756153770697839,0.03294533302116786,0.03386447741918105,0.9728581549735482,0.898917812935961,0.5,SIWKL_inverse_G_matrix_k31_alpha0p01_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,31,0.001,1.0,236913,227854.9,236.913,0.0010397538082349777,0.029006681867741184,-0.05944621293588006,0.11745957667136245,0.0497730193070137,0.05116102559711634,0.972869850166161,0.8989424981291531,0.5,SIWKL_inverse_G_matrix_k31_alpha0p001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,31,0.0001,1.0,236913,227854.9,23.691300000000002,0.00010397538082349777,0.028998383452271893,-0.05941065189354514,0.11740741879808894,0.06641272687827919,0.06826434019393657,0.9728758337017979,0.898955329152092,0.5,SIWKL_inverse_G_matrix_k31_alpha0p0001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,31,1e-06,1.0,236913,227854.9,0.23691299999999998,1.0397538082349777e-06,0.02899006113512167,-0.05937498015929148,0.11735510242953484,0.0996214918407172,0.10239834707382661,0.972881835376626,0.8989682406151575,0.5,SIWKL_inverse_G_matrix_k31_alpha1em06_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,41,1.0,1.0,245243,227844.9,245243.0,1.0763594006273567,0.03300490370661163,-0.07043229776843699,0.13644210518166025,0.0031893749086909827,0.003289174723122635,0.9696580988142505,0.8850198233839414,0.5,SIWKL_inverse_G_matrix_k41_alpha1p0_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,41,0.1,1.0,245243,227844.9,24524.300000000003,0.10763594006273568,0.032998733099007714,-0.07028710510230222,0.13628457130031765,0.020679199977459973,0.021326397373641927,0.969652755463431,0.8846251679328007,0.5,SIWKL_inverse_G_matrix_k41_alpha0p1_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,41,0.01,1.0,245243,227844.9,2452.43,0.010763594006273566,0.03299645071135486,-0.07023298571427546,0.13622588713698516,0.043611746832559015,0.044976757624389435,0.9696507515452777,0.884482076884557,0.5,SIWKL_inverse_G_matrix_k41_alpha0p01_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,41,0.001,1.0,245243,227844.9,245.243,0.0010763594006273566,0.03299553519536806,-0.07021109868483696,0.1362021690755731,0.06591591367640251,0.06797908330313507,0.9696499345610121,0.8844254348481352,0.5,SIWKL_inverse_G_matrix_k41_alpha0p001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,41,0.0001,1.0,245243,227844.9,24.5243,0.00010763594006273566,0.03299506786066273,-0.07019989568163036,0.13619003140295582,0.08795996589646196,0.0907131540910357,0.9696495153083228,0.8843966281584426,0.5,SIWKL_inverse_G_matrix_k41_alpha0p0001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,41,1e-06,1.0,245243,227844.9,0.245243,1.0763594006273565e-06,0.032994599439409286,-0.07018865806248112,0.13617785694129966,0.13195066450040807,0.13608084125028322,0.9696490945240497,0.8843677737541945,0.5,SIWKL_inverse_G_matrix_k41_alpha1em06_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,51,1.0,1.0,250512,227834.9,250512.0,1.0995330390559128,0.03571951533978682,-0.07680824343527429,0.1482472741148479,0.0039009281814174285,0.004032093218190375,0.9674697409818779,0.8831038367366114,0.5,SIWKL_inverse_G_matrix_k51_alpha1p0_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,51,0.1,1.0,250512,227834.9,25051.2,0.10995330390559128,0.035717299711982314,-0.07676346809860483,0.14819806752256945,0.02552492154469893,0.026383218059149626,0.967468088520269,0.8830016312217075,0.5,SIWKL_inverse_G_matrix_k51_alpha0p1_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,51,0.01,1.0,250512,227834.9,2505.12,0.010995330390559128,0.03571646349871223,-0.07674626451818392,0.14817919151560838,0.05393401715571307,0.055747630381000765,0.967467438294816,0.8829659111824094,0.5,SIWKL_inverse_G_matrix_k51_alpha0p01_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,51,0.001,1.0,250512,227834.9,250.512,0.0010995330390559128,0.03571612990620947,-0.07673924223138395,0.14817150204380292,0.08153560896838068,0.08427739143468976,0.9674671650411272,0.8829525065954398,0.5,SIWKL_inverse_G_matrix_k51_alpha0p001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,51,0.0001,1.0,250512,227834.9,25.0512,0.0001099533039055913,0.035715960062937244,-0.0767356401262173,0.14816756025209177,0.10880663036630578,0.11246546674264932,0.9674670235911978,0.8829458099502386,0.5,SIWKL_inverse_G_matrix_k51_alpha0p0001_beta1p0_capped.txt
SIWKL_inverse_G,1/G,True,51,1e-06,1.0,250512,227834.9,0.250512,1.099533039055913e-06,0.03571578991779332,-0.07673202543749683,0.14816360527308345,0.16322516535247536,0.16871395651608562,0.9674668813597117,0.8829391291810087,0.5,SIWKL_inverse_G_matrix_k51_alpha1em06_beta1p0_capped.txt
