method,weight_function,capped_weight,k,alpha,beta,sample,class,silhouette_value
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample01.functional,functional,-0.0043703993910078716
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample02.functional,functional,-0.00758257303270641
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample03.functional,functional,-0.0057900412040830206
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample04.functional,functional,0.0011590626040066227
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample05.functional,functional,-0.0031717315803099885
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample06.pathological,pathological,0.039889673468859126
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample07.pathological,pathological,0.0433852471618276
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample08.pathological,pathological,0.04400455023060998
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample09.pathological,pathological,0.04032551266992291
SIWKL_inverse_G,1/G,True,15,1.0,1.0,sample10.pathological,pathological,0.036925370718144244
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample01.functional,functional,-0.002566087422905569
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample02.functional,functional,-0.005493766631851133
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample03.functional,functional,-0.0036762060746973703
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample04.functional,functional,0.003342557552722951
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample05.functional,functional,-0.0009327919537199195
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample06.pathological,pathological,0.037757168636242566
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample07.pathological,pathological,0.041019986005723916
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample08.pathological,pathological,0.041795757193648274
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample09.pathological,pathological,0.03827321030817729
SIWKL_inverse_G,1/G,True,15,0.1,1.0,sample10.pathological,pathological,0.034466893228231266
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample01.functional,functional,-0.001925413197949884
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample02.functional,functional,-0.004753833518480888
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample03.functional,functional,-0.0029258391447589556
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample04.functional,functional,0.004107285921851772
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample05.functional,functional,-0.00015080199110685367
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample06.pathological,pathological,0.037011267097065856
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample07.pathological,pathological,0.04018701474581435
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample08.pathological,pathological,0.041016194995131414
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample09.pathological,pathological,0.03755645618440566
SIWKL_inverse_G,1/G,True,15,0.01,1.0,sample10.pathological,pathological,0.03360411147822952
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample01.functional,functional,-0.0016683744747989307
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample02.functional,functional,-0.004457385986251573
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample03.functional,functional,-0.0026249788040112534
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample04.functional,functional,0.004412983480967294
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample05.functional,functional,0.00016158671810841658
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample06.pathological,pathological,0.03671294816700482
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample07.pathological,pathological,0.03985368130790156
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample08.pathological,pathological,0.04070419199782558
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample09.pathological,pathological,0.03727028204512587
SIWKL_inverse_G,1/G,True,15,0.001,1.0,sample10.pathological,pathological,0.03325897007131367
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample01.functional,functional,-0.0015368787944993714
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample02.functional,functional,-0.004305794262474568
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample03.functional,functional,-0.002471103815371291
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample04.functional,functional,0.0045692098647589765
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample05.functional,functional,0.00032117640998768486
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample06.pathological,pathological,0.03656046174890004
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample07.pathological,pathological,0.039683296601184276
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample08.pathological,pathological,0.040544721374492276
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample09.pathological,pathological,0.037124085470429155
SIWKL_inverse_G,1/G,True,15,0.0001,1.0,sample10.pathological,pathological,0.03308254852070862
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample01.functional,functional,-0.0014048968924823334
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample02.functional,functional,-0.0041536685257797515
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample03.functional,functional,-0.0023166840472942335
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample04.functional,functional,0.004725927945024744
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample05.functional,functional,0.00048124860452475934
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample06.pathological,pathological,0.036407482705794914
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample07.pathological,pathological,0.03951235947272919
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample08.pathological,pathological,0.04038474335765464
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample09.pathological,pathological,0.03697743928388952
SIWKL_inverse_G,1/G,True,15,1e-06,1.0,sample10.pathological,pathological,0.032905550656586555
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample01.functional,functional,-0.03791510240163107
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample02.functional,functional,-0.03848963788107509
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample03.functional,functional,-0.041673113530328626
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample04.functional,functional,-0.037093460067114836
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample05.functional,functional,-0.04223402319493309
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample06.pathological,pathological,0.08351446115995675
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample07.pathological,pathological,0.08752155734272901
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample08.pathological,pathological,0.08510683667892131
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample09.pathological,pathological,0.0852589010103143
SIWKL_inverse_G,1/G,True,21,1.0,1.0,sample10.pathological,pathological,0.08422853006007644
SIWKL_inverse_G,1/G,True,21,0.1,1.0,sample01.functional,functional,-0.03716601285487352
SIWKL_inverse_G,1/G,True,21,0.1,1.0,sample02.functional,functional,-0.03719284986254715
