sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.0942050573558738
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.6911475022710655
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.3587119647469332
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5269024795858497
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.6326077072503556
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.44064124167043284
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.7240935866826431
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.5342758686208506
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.3528020751776325
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.7671580008729366
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.47172223035528943
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.430520484593453
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.1295704328183684
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.36789180921227543
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.4135233844289602
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.17938105898953072
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.3740281501999317
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.20304884656458072
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.039956882317631774
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.05317528716899103
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.0856622515603969
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.030703736388619965
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.027421438611375974
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
