sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.09771335573513026
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.6985230066030211
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.3552685006664789
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5243861813951137
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.6424271677092417
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.4362282350875079
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.7383826996182298
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.530482993207003
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.3582305964370054
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.7658168661084905
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.4854157135096522
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.4283322864660032
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.09503520860500504
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.4201239818780794
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.41724322591476765
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.20170150260486816
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.3719526825043304
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.22187518449776417
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.04527152540256448
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.05179206050388585
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.09376578163809723
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.025122115636018617
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.03184967738293693
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
