sample,label,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,Brucella_sp,-0.01146042022663519
GCA_000158995.1_ASM15899v1_genomic,Brucella_sp,-0.45679102889123785
GCA_000163135.1_ASM16313v1_genomic,Brucella_sp,-0.459341481207253
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,Brucella_sp,-0.6613264815556352
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,Brucella_sp,-0.5419101582343465
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,Brucella_sp,-0.41743903097126417
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,Brucella_sp,-0.6285082424069567
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,Brucella_sp,-0.5304843537143316
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,Brucella_sp,-0.5984649791870232
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,Brucella_sp,-0.424436982092097
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,Brucella_sp,-0.49206065774307894
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,Brucella_sp,-0.7504835645100864
GCA_000691585.1_ASM69158v1_genomic,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,abortus,0.3069375032909607
GCA_000740155.1_ASM74015v1_genomic,abortus,0.30320726335266723
GCA_000740235.1_ASM74023v1_genomic,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,Brucella_sp,-0.7733873817484065
GCA_001742815.1_ASM174281v1_genomic,Brucella_sp,-0.057645877598220305
GCA_001971625.1_ASM197162v1_genomic,Brucella_sp,-0.13221285014546938
GCA_001971805.1_ASM197180v1_genomic,Brucella_sp,-0.01951745869402664
GCA_009601725.1_ASM960172v1_genomic,Brucella_sp,-0.12512355313638515
GCA_014084005.1_ASM1408400v1_genomic,Brucella_sp,-0.061967579750549444
GCA_014495905.1_ASM1449590v1_genomic,Brucella_sp,-0.049548451282525836
GCA_015832115.1_ASM1583211v1_genomic,Brucella_sp,-0.07623063184953283
GCA_900000005.1_BVF60_genomic,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,Brucella_sp,-0.03313535975415415
GCA_900095155.1_BR141012304v1_genomic,inopinata,0.0
