,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.18419786578035674,0.21279834814536108,0.20153085118667202,0.2506422587078357,0.24816285148463824,0.2517782649898222,0.25440279711033886,0.2277843035658767,0.18818856427643463,0.24480065387441202,0.23833713251961705,0.18287117548022275,0.047390714217007274,0.08001430130393662,0.27060309869621674,0.0828801541035981,0.17768748677818066,0.23455600229226575,0.09741199469447681,0.05709433398120683,0.061231320177620445,0.1771361742604852,0.22513009824579683,0.15908575346230724,0.14157540821066172,0.11994905801172269,0.17641263340655147,0.0494498300797286
GCA_000158995.1_ASM15899v1_genomic,0.18419786578035674,1.0,0.5992170657755025,0.307970274730339,0.4959840259970248,0.5708715696140556,0.43526447661291046,0.5605661621705819,0.6711853138972821,0.87642899994926,0.5706225307717803,0.5274621400439933,0.8120958749660696,0.23305208826460652,0.0023149573821139705,0.457084539122337,0.015034661442600806,0.7974092094939109,0.5147740385342557,0.12049266827105953,0.08416716716195449,0.0926681804929287,0.12537583492298332,0.19622743735573525,0.24159596142164116,0.1679297918105252,0.16133185377903417,0.19142870664551884,0.08081416343103448
GCA_000163135.1_ASM16313v1_genomic,0.21279834814536108,0.5992170657755025,1.0,0.46536100169842304,0.5681189640974995,0.673688305676682,0.511168029954605,0.6726278187941022,0.6415027065623922,0.6344734602486879,0.6484679093457351,0.6393457168808405,0.6139684055711719,0.12753045144829472,0.12973128006116239,0.5434813156868752,0.14825225091740366,0.5802257570180348,0.6243558015466811,0.09134556704423635,0.059168006888878986,0.09203312156833575,0.1522939132007088,0.21877750993018485,0.1887639544984326,0.14006426205017528,0.11562480972879373,0.1914716795443177,0.056251507325392636
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.20153085118667202,0.307970274730339,0.46536100169842304,1.0,0.5949021147559543,0.5439405531045012,0.6915790607767928,0.5764320751035482,0.5138533790737023,0.31579092920673174,0.5544663588265671,0.4992282386380469,0.2871358095987825,0.3420044288440886,0.4672230089546725,0.6900781225855744,0.5467014198955127,0.2992701126870643,0.4828005759552496,0.13046225882011625,0.10729306554725568,0.11449535278296184,0.21843465441297136,0.21747754077230916,0.10070884850813469,0.17057083148427601,0.08649822348500212,0.16020107307835008,0.10487524407639484
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.2506422587078357,0.4959840259970248,0.5681189640974995,0.5949021147559543,1.0,0.740538090909394,0.7541124578039018,0.778868896150678,0.6563211927289111,0.48035576284987386,0.7683783337859096,0.7140275865594158,0.4653657538889263,0.08155290664179697,0.20717195987285214,0.7958543043153194,0.2385849488616288,0.48163441382501737,0.6940184909904573,0.10928642531876415,0.06015813745283756,0.07464096293026143,0.17518119568235274,0.21466312196744072,0.14897705096863245,0.13272570014962826,0.10128405507375235,0.16968724532069648,0.05612424074642845
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.24816285148463824,0.5708715696140556,0.673688305676682,0.5439405531045012,0.740538090909394,1.0,0.7051600210792747,0.8828243286144145,0.7784359890444098,0.6782547547332924,0.8533316340236222,0.8308267236430443,0.5795610833818401,0.012863886122441865,0.16385358655453236,0.703281340063961,0.17952471007267556,0.5454476623289363,0.798059148912535,0.11987168511641601,0.08204264064571665,0.08237255416526537,0.17406666739020463,0.19192915955697062,0.17860434304544384,0.14371720835259755,0.09986466671079446,0.1971038162206964,0.07699659772563217
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.2517782649898222,0.43526447661291046,0.511168029954605,0.6915790607767928,0.7541124578039018,0.7051600210792747,1.0,0.734351696681009,0.6646467197476774,0.4510264626577171,0.7076183085614701,0.6452734644544896,0.4131493890974699,0.13524189924712784,0.2553220817835553,0.8465302405163588,0.3270917636181111,0.4315043584541795,0.6259062133897327,0.10116659658449911,0.05847774175698066,0.06664622689030655,0.190700560701923,0.21784921992295062,0.14005089162094653,0.15381607853085388,0.12173489917374325,0.16102136464651115,0.05530288048790355
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.25440279711033886,0.5605661621705819,0.6726278187941022,0.5764320751035482,0.778868896150678,0.8828243286144145,0.734351696681009,1.0,0.780066611601821,0.623948709775663,0.9516886399961435,0.8186097474699674,0.5762634802843056,0.02586645174704344,0.18042015733393946,0.7567133762963758,0.19788431863034808,0.5531038881925096,0.8112951212275585,0.12867010235020285,0.07213380637539789,0.09493520822561959,0.1838323115658983,0.20908985120439474,0.17580566692305863,0.13424915593011744,0.10040112117575449,0.192329241504913,0.06888644014668707
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.2277843035658767,0.6711853138972821,0.6415027065623922,0.5138533790737023,0.6563211927289111,0.7784359890444098,0.6646467197476774,0.780066611601821,1.0,0.7437838734431953,0.7541966189731886,0.669021617291989,0.6375083803250476,0.11574362843063919,0.11251307516387202,0.6444243378886992,0.17219477562044172,0.6292152774457006,0.6575365564575565,0.14621547958301198,0.08813980204725516,0.08617999235185267,0.1505609270351913,0.18477328083170444,0.20180845751594273,0.10290142063966817,0.13151187245295112,0.19998216690313772,0.08632233306408263
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.18818856427643463,0.87642899994926,0.6344734602486879,0.31579092920673174,0.48035576284987386,0.6782547547332924,0.4510264626577171,0.623948709775663,0.7437838734431953,1.0,0.6036526817957166,0.5757681028300619,0.8595589371716479,0.22398427710027657,0.02021841071455314,0.45272487126701405,0.016228277660570806,0.8073059258612124,0.5637994349028644,0.12818450901483747,0.08952114642990135,0.09779757112075586,0.12891220498297393,0.20121382817877154,0.2533367510775405,0.17141563798411033,0.1676296082792463,0.20002385304380443,0.0856327192747205
