,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.17381869775823328,0.2033452150400581,0.1908938234435144,0.23524160090067706,0.2359851256491261,0.2358198801027123,0.24181504070880913,0.21329370303990342,0.17923041055587816,0.2281130876634505,0.22704539206368307,0.17401844626493415,0.045395323001218214,0.07666916974947359,0.25673792259607114,0.07835129930789878,0.16906027202221774,0.2251091028912851,0.09738876513977597,0.05222602076545446,0.05326066435230223,0.15449684046805884,0.20965819645949568,0.14149877406105396,0.13556395044201353,0.11678571468142356,0.15492992610328005,0.04512379683138194
GCA_000158995.1_ASM15899v1_genomic,0.17381869775823328,1.0,0.5920669488686827,0.3068709922979449,0.4934538799096297,0.5667147961447855,0.43219975605927147,0.5567133416900706,0.6663030857700014,0.86875867965385,0.5638712591801374,0.5227272484860498,0.8056448314264865,0.22973079979483685,0.0022812751556739296,0.4547472076582818,0.015009014955032948,0.7911890024915699,0.5064957591148795,0.11367444548044774,0.08173012882582253,0.08581439062299248,0.11640037019891208,0.19379650588074931,0.22848045966077515,0.16559639610949672,0.15649404742391615,0.1788825005823421,0.07829488141487798
GCA_000163135.1_ASM16313v1_genomic,0.2033452150400581,0.5920669488686827,1.0,0.4614691514446224,0.5584419448943342,0.6705549262148331,0.5014695943421199,0.6692246933835325,0.6291819707869243,0.6324553729711284,0.6330583614465034,0.6374559585310934,0.6115193902325462,0.12723471629309774,0.1293917074893082,0.5397753322869906,0.14673612555539775,0.5778282598200304,0.62176525451246,0.08726595420963071,0.05674900342863251,0.08412986575391232,0.13957690335252457,0.21345686943567926,0.1762661508032456,0.13978935564224682,0.1135371042174414,0.1766408338575077,0.05382694404654411
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.1908938234435144,0.3068709922979449,0.4614691514446224,1.0,0.589743915373495,0.5419214283582907,0.6842411093355293,0.57452773673561,0.5082814552399157,0.31415437915949534,0.5459271915277298,0.4965287407944152,0.2858797958257849,0.338351149997193,0.4620926550317681,0.6890125531726672,0.5456825750748939,0.2980038688773258,0.476759716682521,0.12354522309520648,0.10380353651434432,0.10561911433909012,0.20201860937984084,0.21400712048606843,0.09488248256007424,0.1688095594322825,0.08421311846418689,0.14913033982933466,0.10123164262594245
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.23524160090067706,0.4934538799096297,0.5584419448943342,0.589743915373495,1.0,0.7313683028530696,0.7526496260492268,0.7695425266982283,0.6548951420770632,0.47370144342741627,0.7632069550314329,0.7039756160638441,0.45929513670137795,0.07997467974101065,0.20310088038149474,0.7877248407557532,0.23696088332902585,0.4754205315432902,0.6793176416218573,0.10254530871424086,0.058723103926203266,0.06950075455106482,0.16353282345176806,0.21309883184755396,0.14164900913767806,0.13020444333262832,0.09773034179487083,0.1594307334410413,0.05466088312483745
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.2359851256491261,0.5667147961447855,0.6705549262148331,0.5419214283582907,0.7313683028530696,1.0,0.6950604926781511,0.8824638110167331,0.7671056216987949,0.6772574763060888,0.8370223725136322,0.8294182076974689,0.5791772659505554,0.012774224827906886,0.16266260577625843,0.7017566919103772,0.17852374412479088,0.5451645330863419,0.7910360757592165,0.11396083236810552,0.07906988462495945,0.07568134365039879,0.16033983115996395,0.1881540389193542,0.1676090502965739,0.14276669391513339,0.09759709302058579,0.18275217482995365,0.07403584466620483
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.2358198801027123,0.43219975605927147,0.5014695943421199,0.6842411093355293,0.7526496260492268,0.6950604926781511,1.0,0.7241339468417657,0.6644918648716656,0.4439035831235603,0.7042284910725051,0.6349377692341608,0.40695853507987106,0.1323623570498288,0.2498095946877378,0.8362410809086342,0.32423074052864675,0.425100242371986,0.6114341451062836,0.0947302845023371,0.057196213625069846,0.06218571404564079,0.17838978008241196,0.21668429318803187,0.13343343290507734,0.1505958453155546,0.11722756990194139,0.15160072403571842,0.05396819861030923
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.24181504070880913,0.5567133416900706,0.6692246933835325,0.57452773673561,0.7695425266982283,0.8824638110167331,0.7241339468417657,1.0,0.7690310482499032,0.6227764799780114,0.9338881396210391,0.8168876490995449,0.5756465189290856,0.025675599654901352,0.17903508445420505,0.7553819100563683,0.1968617951627675,0.5525909146332944,0.8038242683717561,0.1222728885143284,0.06954953744146658,0.08726222482053073,0.16941031527157102,0.20506256863188663,0.16505439300600086,0.13330643865491765,0.09808037123049723,0.1784036869908758,0.0662656680406399
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.21329370303990342,0.6663030857700014,0.6291819707869243,0.5082814552399157,0.6548951420770632,0.7671056216987949,0.6644918648716656,0.7690310482499032,1.0,0.7318643119211103,0.7507593879236842,0.6581496709888882,0.6278070862789694,0.11325227551668063,0.11005767000447725,0.636441538689416,0.17064849491412662,0.6197302687841308,0.6421799606035645,0.13687908416924552,0.08622876883606229,0.08043217601727162,0.14087642527383776,0.18382827405457264,0.19231992284616417,0.10072314460794984,0.126611912991878,0.1883286576095779,0.08425913569551685
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.17923041055587816,0.86875867965385,0.6324553729711284,0.31415437915949534,0.47370144342741627,0.6772574763060888,0.4439035831235603,0.6227764799780114,0.7318643119211103,1.0,0.5912278984899273,0.5756385786007036,0.8588643237296737,0.22275244083336151,0.020101179863054746,0.45107773902538245,0.01611393338440542,0.8065379494515167,0.5596668666134663,0.1220521184861454,0.0861458288109526,0.08970981390625579,0.11855698666461008,0.1969602582607253,0.2373686252066668,0.1705339726369368,0.164069778326614,0.18516588685149935,0.08221401853713006
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0.2281130876634505,0.5638712591801374,0.6330583614465034,0.5459271915277298,0.7632069550314329,0.8370223725136322,0.7042284910725051,0.9338881396210391,0.7507593879236842,0.5912278984899273,1.0,0.7720713878374448,0.5445194683793511,0.022956749739664807,0.16759358341754615,0.7145519689398537,0.18729765167132648,0.5232521362871517,0.7600454176173488,0.11578565927553174,0.06829569221452401,0.087371743093746,0.1661947014097166,0.20096682291459478,0.17061879289049764,0.1256227748147999,0.09151111331074992,0.17498364222843193,0.064927090886722
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0.22704539206368307,0.5227272484860498,0.6374559585310934,0.4965287407944152,0.7039756160638441,0.8294182076974689,0.6349377692341608,0.8168876490995449,0.6581496709888882,0.5756385786007036,0.7720713878374448,1.0,0.6461728612497151,0.007375177892268906,0.16040519628128816,0.6784900554972764,0.15722311011875928,0.5213279361535595,0.767022084488606,0.11199205750923492,0.07595118469901989,0.07277482550632743,0.15622682873048646,0.18169314979350845,0.1569037263736807,0.13539937013895806,0.09083844619781394,0.17583937865231622,0.07157495847556745
GCA_000691585.1_ASM69158v1_genomic,0.17401844626493415,0.8056448314264865,0.6115193902325462,0.2858797958257849,0.45929513670137795,0.5791772659505554,0.40695853507987106,0.5756465189290856,0.6278070862789694,0.8588643237296737,0.5445194683793511,0.6461728612497151,1.0,0.2140184338939526,0.019092073299988015,0.4388894987647464,0.00958037912148792,0.7789188597996877,0.5417048089667876,0.11810666231845546,0.08429361951362771,0.08723370284227307,0.11490361809039806,0.19048829752082047,0.22778393908411496,0.16507180911404823,0.15792534591121715,0.17980924730280942,0.08037965850946427
GCA_000740135.1_ASM74013v1_genomic,0.045395323001218214,0.22973079979483685,0.12723471629309774,0.338351149997193,0.07997467974101065,0.012774224827906886,0.1323623570498288,0.025675599654901352,0.11325227551668063,0.22275244083336151,0.022956749739664807,0.007375177892268906,0.2140184338939526,1.0,0.7870392606259466,0.13620215894041654,0.7553383439586042,0.2309462920773401,0.005574958726751305,0.21457814836864575,0.2724770185680618,0.2667171775369581,0.0848448537680198,0.10045428270797874,0.062018593441822915,0.18690259320403255,0.17001764177919873,0.058514806832984975,0.26627954591889497
GCA_000740155.1_ASM74015v1_genomic,0.07666916974947359,0.0022812751556739296,0.1293917074893082,0.4620926550317681,0.20310088038149474,0.16266260577625843,0.2498095946877378,0.17903508445420505,0.11005767000447725,0.020101179863054746,0.16759358341754615,0.16040519628128816,0.019092073299988015,0.7870392606259466,1.0,0.2655979438476374,0.865385772325451,0.004487338510685003,0.1790837931791278,0.21350490621145016,0.27397059326481615,0.2597602567769199,0.10730034735847052,0.08657749848985048,0.0061958545159368095,0.16105553902513314,0.11978530557986757,0.051555113474119854,0.26737071046024247
GCA_000740235.1_ASM74023v1_genomic,0.25673792259607114,0.4547472076582818,0.5397753322869906,0.6890125531726672,0.7877248407557532,0.7017566919103772,0.8362410809086342,0.7553819100563683,0.636441538689416,0.45107773902538245,0.7145519689398537,0.6784900554972764,0.4388894987647464,0.13620215894041654,0.2655979438476374,1.0,0.3086024027891599,0.4555298689484474,0.6620479316045552,0.09817946424451096,0.05819026883937479,0.059350430593010615,0.1859402188589909,0.22763151717549993,0.1338511724070927,0.1607238654369102,0.11640752248772622,0.15886063168805672,0.054234608805302946
GCA_000740275.1_ASM74027v1_genomic,0.07835129930789878,0.015009014955032948,0.14673612555539775,0.5456825750748939,0.23696088332902585,0.17852374412479088,0.32423074052864675,0.1968617951627675,0.17064849491412662,0.01611393338440542,0.18729765167132648,0.15722311011875928,0.00958037912148792,0.7553383439586042,0.865385772325451,0.3086024027891599,1.0,0.023633306121270316,0.14905250968823067,0.21767315959058656,0.28733778090840345,0.27924278876936515,0.11448784648305257,0.09434962467237007,0.011293785390252917,0.16687332684922793,0.13253931489199214,0.054216719262778774,0.2798744733547156
