,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.2847646941393915,0.3372022867601338,0.31147313113805725,0.39152065089390264,0.38226253634332275,0.3946100896973435,0.3897032977123067,0.3511644450905973,0.29101982395944587,0.37422763467067116,0.37627317695449647,0.2888874580325856,0.08083453164627492,0.13265461667891715,0.41814822806291907,0.13476579291314184,0.2846279149294418,0.3748574056834903,0.14272241740675642,0.08813734238953413,0.09234750161963835,0.25117335387469464,0.3292369660419581,0.21919091986422515,0.20425107391861214,0.17622173682595288,0.24041591437903112,0.07768573882126562
GCA_000158995.1_ASM15899v1_genomic,0.2847646941393915,1.0,0.6428248180307186,0.32306506552150355,0.5318608336330497,0.5858364448025918,0.46295165037163166,0.5756874642763989,0.68905532153353,0.8911239226243354,0.5865743191629761,0.567070170585886,0.8623290191452995,0.24897885650245774,0.01120539136749544,0.4846990137823388,0.025230094275440592,0.8583152369200852,0.5592984625801517,0.18321188991855783,0.1300908081096935,0.1388230516003394,0.18615518007688014,0.29705251835516977,0.35103614455298204,0.2536505380509973,0.23953704467674342,0.27739028669524696,0.125880966419773
GCA_000163135.1_ASM16313v1_genomic,0.3372022867601338,0.6428248180307186,1.0,0.5036192494155156,0.6201204261863034,0.7275554334680338,0.5641390859894257,0.7205071212166133,0.6939165098341433,0.684857721726894,0.6936631315299888,0.7053008463694642,0.6746624543046026,0.14550684579662254,0.151772135432919,0.587999140140503,0.16966034783787245,0.6456453135484702,0.6968601194844627,0.14373108821581784,0.09478922350853326,0.1418995936491442,0.23217568286241988,0.33844466209521673,0.2803173001614576,0.21729858838748609,0.1765739685526589,0.2817757448107708,0.09134642935977826
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.31147313113805725,0.32306506552150355,0.5036192494155156,1.0,0.6317061455880577,0.5641439374462835,0.7247715633126335,0.5899396955898986,0.5342788052002021,0.3338596100962031,0.5659562368912422,0.5363319449090737,0.31257540019243113,0.3676100634878439,0.4992469287947212,0.7229737495808035,0.5609792628210293,0.3311757260312445,0.5253549064359739,0.19256998195587352,0.15948336413178493,0.16813770783962012,0.3202905298705234,0.3297112390593629,0.14782752450877337,0.25556582439541825,0.13060141494834612,0.23080141582935873,0.15616208241572008
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.39152065089390264,0.5318608336330497,0.6201204261863034,0.6317061455880577,1.0,0.7863258339935658,0.8169021410781243,0.8198764847168877,0.7001082460926596,0.5146268353952239,0.8084178322213755,0.7756742696122509,0.5078203372818357,0.09744148549767273,0.2315859538488758,0.8461314085843075,0.26235351596278617,0.5345836971822253,0.7626412139134405,0.1676472440229865,0.09514218287813427,0.11645520273650038,0.2621076969431484,0.32869729377499035,0.2194382935512009,0.20413113156923557,0.1538983655187984,0.24868432614986527,0.08920372332976992
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.38226253634332275,0.5858364448025918,0.7275554334680338,0.5641439374462835,0.7863258339935658,1.0,0.7455727073369356,0.9057589193928147,0.7838737137006478,0.6873786192088019,0.8734016289038858,0.8908811940245791,0.6241822078430299,0.023292463481519306,0.18405179615780873,0.7400374229314914,0.19441754231741362,0.5943887592978361,0.8649884723574199,0.1810286652415985,0.12611854485568866,0.12681636416657377,0.25728094929726925,0.2906176036341117,0.2586871990956657,0.2180753111290836,0.1515933370249668,0.2835617445881185,0.11940539617942755
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.3946100896973435,0.46295165037163166,0.5641390859894257,0.7247715633126335,0.8169021410781243,0.7455727073369356,1.0,0.7697851566345043,0.7009724469028966,0.48242957161566813,0.7394384504677336,0.7054157174460218,0.45437378052602906,0.15615316369017415,0.2845219056598526,0.9048000426704731,0.3480991289383355,0.4835645514633615,0.6935180875385788,0.15530416476035822,0.092390041866808,0.10398815235997241,0.2856231083848721,0.33525929187331294,0.20669324270003958,0.23638413810090123,0.18391814115971405,0.23502651343534683,0.08757032721494361
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.3897032977123067,0.5756874642763989,0.7205071212166133,0.5899396955898986,0.8198764847168877,0.9057589193928147,0.7697851566345043,1.0,0.8010531960182053,0.6458520649563043,0.953809943405085,0.8709427906665277,0.6160540425499952,0.036685920747177234,0.2004249194530477,0.7901446556249745,0.20864396298714247,0.5987226375285822,0.8735758950172713,0.19287741546209886,0.11095637350234876,0.1434680322725016,0.2695786146628535,0.31456419535969155,0.25330262830665795,0.20315421748595314,0.15090290249552082,0.275705306755969,0.10699184953499508
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.3511644450905973,0.68905532153353,0.6939165098341433,0.5342788052002021,0.7001082460926596,0.7838737137006478,0.7009724469028966,0.8010531960182053,1.0,0.751205465902191,0.7721868474870957,0.7187063736195561,0.6840416890004907,0.13237196978114654,0.12988649625006848,0.6822706941461861,0.18597639064085145,0.6853420111069094,0.7155640930518656,0.21975084154614874,0.13499799321302944,0.13150115954012986,0.2223191565358997,0.2795516369227138,0.29349102717267833,0.15670830874249453,0.19480096323513169,0.2884554755947296,0.13310988112824035
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.29101982395944587,0.8911239226243354,0.684857721726894,0.3338596100962031,0.5146268353952239,0.6873786192088019,0.48242957161566813,0.6458520649563043,0.751205465902191,1.0,0.6235685295288567,0.6214805964960816,0.9161928861475006,0.23988378114738843,0.03245085278462517,0.48169694529980756,0.02840242837794792,0.8699933278833334,0.6156876682518135,0.19437054908522086,0.13784325341306172,0.14793969480500838,0.1910138273898067,0.30381016465604493,0.36795635920273134,0.2580885910135303,0.2509838951245153,0.28921533629497304,0.13340961227310663
