,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.40058617701166593,0.43758948727163954,0.39946353221897474,0.4910713744684812,0.4790370365675766,0.4783059472037297,0.4844127948230326,0.444698510089305,0.3994076648890565,0.47964331295952956,0.47614375472281945,0.39849647527059945,0.0731252013442629,0.1526198135960052,0.5053582947186767,0.15216977428369743,0.3935220499796083,0.4742906096881007,0.20134900660145444,0.11248715402654716,0.11439683653020917,0.36535905894338544,0.4265803147574055,0.34917849582124183,0.28282702790683356,0.21922625068966609,0.36622265945191906,0.10347945950085087
GCA_000158995.1_ASM15899v1_genomic,0.40058617701166593,1.0,0.7394828332593226,0.45389214920466525,0.6538861816872021,0.7123236383313483,0.5942367640942483,0.7039807455029068,0.760718883823489,0.9334910356161975,0.7063222158349187,0.6957705092292925,0.9093025246988348,0.22186557911205856,0.008039265192285167,0.6200671725301588,0.01899226141461209,0.9071789907273484,0.6901102061281136,0.22583954716374377,0.1446985675686676,0.15074694427933708,0.29771372799130696,0.39338984026982565,0.47579570773212915,0.319841244696659,0.2717210828132172,0.39974490289415787,0.13983098649646947
GCA_000163135.1_ASM16313v1_genomic,0.43758948727163954,0.7394828332593226,1.0,0.6045863734186443,0.7351961480484315,0.8027974144629055,0.6736949582988296,0.7963955203147884,0.7649617535187841,0.760409091282237,0.7891935408984828,0.7891756864144901,0.7560975692630252,0.1239009027408037,0.1649120408940925,0.7018540251407815,0.18977858159454775,0.7361001753830624,0.781286062839581,0.19708673358260623,0.11961567353321155,0.1665669552329248,0.33439266409771345,0.42429877006187317,0.4066611348042955,0.2862512154132287,0.22031803146005718,0.40490574085449005,0.11638509874747545
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.39946353221897474,0.45389214920466525,0.6045863734186443,1.0,0.7251306876373418,0.6744414913471475,0.8009511975240948,0.695199872904042,0.6514291906042354,0.46667748636564765,0.688780559624668,0.6510856148683898,0.4484931722677416,0.30334185165378347,0.48328980946994976,0.7903448411664254,0.5561235489663958,0.4593595418533844,0.6429978237231618,0.22754459106016967,0.15321052548520395,0.16999448396296377,0.4088283934434559,0.39789357504622624,0.2645914655726847,0.29923725118655353,0.17110262261102982,0.3386384414472003,0.15284200002527673
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.4910713744684812,0.6538861816872021,0.7351961480484315,0.7251306876373418,1.0,0.858484408966938,0.8605956524361826,0.8855165868859842,0.7826865835709569,0.6501108413259307,0.882853731709427,0.8548089214024515,0.6462048944057316,0.08935392123921729,0.27273167975834395,0.90025197560053,0.29826081564435447,0.6575433864786169,0.846591894218412,0.23087114993204516,0.12848014763375068,0.14613709318618578,0.37824372073421675,0.4250908947142144,0.3531526234248083,0.28331100202451215,0.20518059656197324,0.3822734152180216,0.12251692964011221
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.4790370365675766,0.7123236383313483,0.8027974144629055,0.6744414913471475,0.858484408966938,1.0,0.8137880465103196,0.9376919648240857,0.8478425502593047,0.7774108654292317,0.9314902205667704,0.9223425859284264,0.725842091215683,0.020918949310482007,0.21923957889311438,0.8205583068506487,0.23803029123100528,0.7071847980030013,0.9095943838945809,0.24407864180968775,0.15898660602409792,0.15856713381273696,0.3691031406939041,0.3909599007215057,0.39076267117846125,0.2939792481346071,0.20194271769746794,0.4136442875608258,0.1526536107727252
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.4783059472037297,0.5942367640942483,0.6736949582988296,0.8009511975240948,0.8605956524361826,0.8137880465103196,1.0,0.8327315895073447,0.7914444898221638,0.6117622031595478,0.8258557349556177,0.7840594141634503,0.5896737149399535,0.1438036918452012,0.31468921697123386,0.9264586611480027,0.3947593806044669,0.6032551985608026,0.7777894525921865,0.21752699569574338,0.12126463841783554,0.1381311475816367,0.3895787262005561,0.4188610652702682,0.34054346372242,0.3025653106833817,0.23520634902836846,0.3620806239961663,0.11741273545745376
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.4844127948230326,0.7039807455029068,0.7963955203147884,0.695199872904042,0.8855165868859842,0.9376919648240857,0.8327315895073447,1.0,0.8568496304889663,0.7439582568496249,0.9863896438252593,0.9126512521354162,0.7201683352112012,0.03759400416697012,0.2370574426769196,0.8523220936002773,0.25144504665669015,0.707357280126247,0.9107843195404691,0.25510122012577496,0.1447620116479605,0.17475031021426024,0.3817615742198422,0.41118844405604177,0.38505276644981046,0.28103413597052035,0.20206794201049105,0.4043537508523995,0.1408102276807311
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.444698510089305,0.760718883823489,0.7649617535187841,0.6514291906042354,0.7826865835709569,0.8478425502593047,0.7914444898221638,0.8568496304889663,1.0,0.8093415342051897,0.8510984031546158,0.795059406061629,0.7559115833359777,0.12315938049031538,0.16163710246689778,0.7648622606110523,0.23530730629561028,0.757252216693262,0.7947492999111246,0.27251579544753823,0.16003888794979682,0.16497453423891545,0.33186276921490027,0.37503742961113706,0.42038101505367087,0.23355808119448693,0.24621166851530568,0.4071910394272595,0.15836575471091338
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.3994076648890565,0.9334910356161975,0.760409091282237,0.46667748636564765,0.6501108413259307,0.7774108654292317,0.6117622031595478,0.7439582568496249,0.8093415342051897,1.0,0.7393273217755107,0.7241744669599048,0.9338143141391348,0.20982943498741688,0.025716657958111025,0.614104657033076,0.030796305426240535,0.9069333900617744,0.7204507563239889,0.2399934700384477,0.15372672050405503,0.16363111924576387,0.30051618022624194,0.3963348810245406,0.49037834989776524,0.3201734863058032,0.27802521256674073,0.41097732557791367,0.1485163727855698
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0.47964331295952956,0.7063222158349187,0.7891935408984828,0.688780559624668,0.882853731709427,0.9314902205667704,0.8258557349556177,0.9863896438252593,0.8510984031546158,0.7393273217755107,1.0,0.9043785169924057,0.7139595670835487,0.035682157303664815,0.23302555130723224,0.8431660926645761,0.2500944102830341,0.7018963883931836,0.9029289028239115,0.2526884334103326,0.14336890835632102,0.17382172760093997,0.37777585267522407,0.4068399489312201,0.38420103028313596,0.27778227425658386,0.19820837145597364,0.399751637870554,0.13912317782490782
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0.47614375472281945,0.6957705092292925,0.7891756864144901,0.6510856148683898,0.8548089214024515,0.9223425859284264,0.7840594141634503,0.9126512521354162,0.795059406061629,0.7241744669599048,0.9043785169924057,1.0,0.760307356224181,0.015323139739306837,0.22177544199729537,0.81722010220512,0.21986863650338984,0.7004795030657913,0.9076771640855728,0.24574823281979422,0.15790596707159948,0.15672691123946297,0.37064678335321455,0.39036035294761356,0.38172305457411576,0.2902003122457634,0.1953350598565453,0.4111010476417559,0.1523860579247064
GCA_000691585.1_ASM69158v1_genomic,0.39849647527059945,0.9093025246988348,0.7560975692630252,0.4484931722677416,0.6462048944057316,0.725842091215683,0.5896737149399535,0.7201683352112012,0.7559115833359777,0.9338143141391348,0.7139595670835487,0.760307356224181,1.0,0.20830616799367577,0.025549052614886908,0.6118184784292913,0.02470395382083395,0.9020734180158387,0.7169386898280501,0.2400601886774299,0.15504352302908342,0.16418153291417556,0.29959120110865123,0.39528184076200273,0.4853669277349783,0.31978786977917684,0.2762831122679733,0.41016298814761376,0.1496644131129983
GCA_000740135.1_ASM74013v1_genomic,0.0731252013442629,0.22186557911205856,0.1239009027408037,0.30334185165378347,0.08935392123921729,0.020918949310482007,0.1438036918452012,0.03759400416697012,0.12315938049031538,0.20982943498741688,0.035682157303664815,0.015323139739306837,0.20830616799367577,1.0,0.7459746914658867,0.13984555266813872,0.7183752540156447,0.22449788073765267,0.013572856525066287,0.29365350949802316,0.37106313231221255,0.3901647706831548,0.1411652061202991,0.1546255423537889,0.11582240944779233,0.25764908178120943,0.22797365538835487,0.09863107341061225,0.3697117493263021
GCA_000740155.1_ASM74015v1_genomic,0.1526198135960052,0.008039265192285167,0.1649120408940925,0.48328980946994976,0.27273167975834395,0.21923957889311438,0.31468921697123386,0.2370574426769196,0.16163710246689778,0.025716657958111025,0.23302555130723224,0.22177544199729537,0.025549052614886908,0.7459746914658867,1.0,0.3244179843854395,0.8922850011766742,0.011770698158700632,0.23233542745217703,0.30304061979714997,0.3792425604155347,0.3804542550859494,0.2058806855167801,0.1476353712718683,0.01832207350672344,0.22427994378031854,0.1471840487833248,0.10564090443550604,0.3774175317715826
GCA_000740235.1_ASM74023v1_genomic,0.5053582947186767,0.6200671725301588,0.7018540251407815,0.7903448411664254,0.90025197560053,0.8205583068506487,0.9264586611480027,0.8523220936002773,0.7648622606110523,0.614104657033076,0.8431660926645761,0.81722010220512,0.6118184784292913,0.13984555266813872,0.3244179843854395,1.0,0.36416380570060186,0.6233758555291339,0.8123117324494143,0.2167563497576103,0.12260787450640169,0.12907463826826887,0.4055254416263404,0.43734848719420666,0.33992719612280864,0.3141793825308831,0.2253327858471002,0.3762019331155884,0.11711023152170187
GCA_000740275.1_ASM74027v1_genomic,0.15216977428369743,0.01899226141461209,0.18977858159454775,0.5561235489663958,0.29826081564435447,0.23803029123100528,0.3947593806044669,0.25144504665669015,0.23530730629561028,0.030796305426240535,0.2500944102830341,0.21986863650338984,0.02470395382083395,0.7183752540156447,0.8922850011766742,0.36416380570060186,1.0,0.03908809435215795,0.21735597036611942,0.3001025818433174,0.37597765912884035,0.3991655541865147,0.20771124473407174,0.15407041811449565,0.03506264126767608,0.22664464270611867,0.17636906249823137,0.10559578093738232,0.3732277165216585
GCA_001307475.2_ASM130747v2_genomic,0.3935220499796083,0.9071789907273484,0.7361001753830624,0.4593595418533844,0.6575433864786169,0.7071847980030013,0.6032551985608026,0.707357280126247,0.757252216693262,0.9069333900617744,0.7018963883931836,0.7004795030657913,0.9020734180158387,0.22449788073765267,0.011770698158700632,0.6233758555291339,0.03908809435215795,1.0,0.7210791769778317,0.23484893223883582,0.150634581417141,0.16158044455377532,0.29529581301102925,0.3884855424528093,0.47717220321962817,0.3139533952467199,0.2739159250609362,0.40184421061026787,0.14511049243946827
GCA_001715385.1_ASM171538v1_genomic,0.4742906096881007,0.6901102061281136,0.781286062839581,0.6429978237231618,0.846591894218412,0.9095943838945809,0.7777894525921865,0.9107843195404691,0.7947492999111246,0.7204507563239889,0.9029289028239115,0.9076771640855728,0.7169386898280501,0.013572856525066287,0.23233542745217703,0.8123117324494143,0.21735597036611942,0.7210791769778317,1.0,0.24213809005861198,0.15566017750372033,0.1548857496715491,0.3629266744719594,0.3853465733421995,0.38148430083355556,0.2820644238706281,0.1967746693738416,0.40953209056830675,0.1498848224657095
