,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,1.0726793438949882,1.073873560280583,1.0843511013846674,1.0687504460293844,1.0806672345134565,1.1062740645351887,1.0692286007638547,1.107085606167887,1.0784329744448249,1.0734982929981591,1.0683245406843755,1.0696258547362512,1.079247519529875,1.076177402926339,1.0672148310798237,1.0989927525201015,1.0763507946287603,1.079229453275023,1.0633128412539121,1.0335102882723173,1.0050953854963431,1.0542061030783099,1.0475653602874526,1.0625486487902212,1.017779728359368,1.1487576951173106,1.0298333625566862,1.0516206103161279
GCA_000158995.1_ASM15899v1_genomic,1.0726793438949882,0.0,0.4590366057435141,0.4471411619269531,0.37576880169020965,0.3764056689369378,0.5446719402227113,0.3488868977558315,0.5275970641105721,0.3617394485480026,0.3368648227774255,0.39029890534112677,0.39797083061346017,0.4657282848588383,0.4570785519386773,0.40755806930481586,0.5211504994412853,0.4383286478200256,0.4658178927909863,1.140214988020858,1.1145725140319205,1.0838152567331898,1.1325959419340126,1.1272883106081488,1.134848852305401,1.1101869323694729,1.1855810473897646,1.1021554733784396,1.123791028122128
GCA_000163135.1_ASM16313v1_genomic,1.073873560280583,0.4590366057435141,0.0,0.430778701718483,0.4235655244884494,0.4472346324101282,0.5133256351073927,0.42380149863036615,0.4851234094302155,0.4412689060670401,0.44453018685735146,0.4291581427576612,0.4292257471819303,0.4939889215637237,0.4927312043645257,0.40544262723353064,0.5002886647447825,0.4654802181924954,0.4947526424145365,1.1412459423306922,1.1157569976845756,1.0676006408191958,1.1347685019856009,1.128832966537724,1.128736665031304,1.1122139403701532,1.1569459900537367,1.10249862435747,1.1235207463872023
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,1.0843511013846674,0.4471411619269531,0.430778701718483,0.0,0.4325316499161108,0.3353297196957773,0.29758014858287746,0.3005098687598119,0.25995343304682,0.3407575610042023,0.3160986462389669,0.4394174626387474,0.43252043833810133,0.4746959860147927,0.47908488836670093,0.3567030857866464,0.23866075726296265,0.44046927498868177,0.47453851821420623,1.1429145795861513,1.1211646714392625,1.0558508903742672,1.141112556371659,1.1339505998673964,1.11345222931774,1.1179251681857962,1.1394949574628557,1.1084953985734416,1.1282048846063248
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,1.0687504460293844,0.37576880169020965,0.4235655244884494,0.4325316499161108,0.0,0.4056214472558098,0.5051370080619887,0.34020092787905054,0.5181895084262497,0.3961551175835747,0.35087720303782005,0.3682954677373746,0.36929401235112935,0.40970969514792926,0.40922528727464125,0.331754097330217,0.4865395483978083,0.3867874550424909,0.40941296915013253,1.1343662044244964,1.1101133319427112,1.0690157807099256,1.1279292930548699,1.1223078883184725,1.1240473536195055,1.1057396658128542,1.1676192344674703,1.096211653560381,1.1188592231199868
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,1.0806672345134565,0.3764056689369378,0.4472346324101282,0.3353297196957773,0.4056214472558098,0.0,0.42055278747100255,0.2799649288680155,0.32277591226922975,0.08518726924100875,0.2928059968262099,0.41476922179626596,0.4160739677973101,0.4755906594926349,0.4741343075985844,0.4048344046835727,0.4210962850721358,0.4476326958925791,0.4765828280471774,1.1440621292084296,1.1208313342587874,1.0774168249734155,1.1377211240225733,1.1331488102035276,1.1239096424002748,1.115506440424681,1.170276101222385,1.1079450503437915,1.1292206865793493
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,1.1062740645351887,0.5446719402227113,0.5133256351073927,0.29758014858287746,0.5051370080619887,0.42055278747100255,0.0,0.41789106536629905,0.3110382069594782,0.43564592092468907,0.4216989592592167,0.5242852900360816,0.5165694781753498,0.551382521022076,0.5548897506753265,0.44491194728837247,0.28061625464746076,0.520470505493051,0.5506591189051371,1.1591636362269482,1.1389252719128604,1.0684037900379049,1.157417006829005,1.1515544263003215,1.120491079186523,1.1364154394098593,1.146616679393072,1.1264051815389393,1.1449568739385387
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,1.0692286007638547,0.3488868977558315,0.42380149863036615,0.3005098687598119,0.34020092787905054,0.2799649288680155,0.41789106536629905,0.0,0.42344181795008234,0.2724858294557172,0.14558932285249518,0.3733964444040552,0.3771316860605319,0.4029853990139126,0.4001175223640515,0.32138766456596046,0.34902486565652224,0.37007025150754264,0.4043649250223628,1.1345129028243137,1.110381125298745,1.0693981220277664,1.1297087690606105,1.1236064505815062,1.1209121407048173,1.1055126384500735,1.166685119614338,1.096384830620142,1.1192901157238107
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,1.107085606167887,0.5275970641105721,0.4851234094302155,0.25995343304682,0.5181895084262497,0.32277591226922975,0.3110382069594782,0.42344181795008234,0.0,0.33932992109078775,0.42729436898522843,0.5277595287479894,0.5190405392789109,0.5682738921766161,0.5745024458101469,0.46138642689095916,0.29900980092230195,0.5384250013418731,0.5674778673686526,1.1603063499891584,1.1405038426291798,1.07521762158467,1.158638012676912,1.1519980734261892,1.1235160968387603,1.13718030056427,1.1397709419101891,1.128909151655712,1.1466514556602085
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,1.0784329744448249,0.3617394485480026,0.4412689060670401,0.3407575610042023,0.3961551175835747,0.08518726924100875,0.43564592092468907,0.2724858294557172,0.33932992109078775,0.0,0.2872458673619545,0.40474950126112097,0.40864997132840064,0.46969179421402096,0.46718090910448024,0.39913237889472913,0.4367160392803851,0.4408157605685028,0.4709277475394624,1.142841923810991,1.1189489053275696,1.0786408902773652,1.1361560667598878,1.131689995455312,1.1272795992140077,1.1136122623185345,1.1731497626217031,1.106189374094343,1.1277909920372655
