,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.8158021342196433,0.787201651854639,0.798469148813328,0.7493577412921644,0.7518371485153618,0.7482217350101779,0.7455972028896611,0.7722156964341234,0.8118114357235654,0.7551993461255879,0.7616628674803829,0.8171288245197772,0.9526092857829928,0.9199856986960634,0.7293969013037833,0.9171198458964019,0.8223125132218193,0.7654439977077343,0.9025880053055232,0.9429056660187932,0.9387686798223795,0.8228638257395148,0.7748699017542031,0.8409142465376928,0.8584245917893383,0.8800509419882773,0.8235873665934486,0.9505501699202714
GCA_000158995.1_ASM15899v1_genomic,0.8158021342196433,0.0,0.4007829342244975,0.692029725269661,0.5040159740029753,0.4291284303859444,0.5647355233870895,0.43943383782941814,0.3288146861027179,0.12357100005073995,0.42937746922821973,0.4725378599560067,0.1879041250339304,0.7669479117353935,0.997685042617886,0.542915460877663,0.9849653385573992,0.20259079050608908,0.48522596146574426,0.8795073317289405,0.9158328328380455,0.9073318195070713,0.8746241650770167,0.8037725626442648,0.7584040385783588,0.8320702081894749,0.8386681462209659,0.8085712933544812,0.9191858365689656
GCA_000163135.1_ASM16313v1_genomic,0.787201651854639,0.4007829342244975,0.0,0.5346389983015769,0.4318810359025005,0.32631169432331797,0.488831970045395,0.32737218120589784,0.35849729343760783,0.3655265397513121,0.35153209065426494,0.3606542831191595,0.38603159442882806,0.8724695485517053,0.8702687199388376,0.4565186843131248,0.8517477490825963,0.4197742429819652,0.37564419845331887,0.9086544329557636,0.940831993111121,0.9079668784316642,0.8477060867992912,0.7812224900698151,0.8112360455015674,0.8599357379498247,0.8843751902712063,0.8085283204556823,0.9437484926746074
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.798469148813328,0.692029725269661,0.5346389983015769,0.0,0.40509788524404566,0.4560594468954988,0.30842093922320724,0.4235679248964518,0.4861466209262977,0.6842090707932682,0.44553364117343286,0.5007717613619531,0.7128641904012175,0.6579955711559113,0.5327769910453275,0.30992187741442556,0.4532985801044873,0.7007298873129357,0.5171994240447504,0.8695377411798837,0.8927069344527443,0.8855046472170381,0.7815653455870286,0.7825224592276908,0.8992911514918653,0.829429168515724,0.9135017765149979,0.8397989269216499,0.8951247559236052
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.7493577412921644,0.5040159740029753,0.4318810359025005,0.40509788524404566,0.0,0.25946190909060596,0.2458875421960982,0.221131103849322,0.3436788072710889,0.5196442371501262,0.23162166621409042,0.2859724134405842,0.5346342461110737,0.9184470933582031,0.7928280401271479,0.20414569568468055,0.7614150511383713,0.5183655861749826,0.3059815090095427,0.8907135746812358,0.9398418625471624,0.9253590370697385,0.8248188043176472,0.7853368780325592,0.8510229490313675,0.8672742998503717,0.8987159449262476,0.8303127546793035,0.9438757592535716
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.7518371485153618,0.4291284303859444,0.32631169432331797,0.4560594468954988,0.25946190909060596,0.0,0.29483997892072533,0.11717567138558549,0.2215640109555902,0.32174524526670756,0.14666836597637778,0.16917327635695567,0.4204389166181599,0.9871361138775582,0.8361464134454677,0.29671865993603896,0.8204752899273244,0.45455233767106373,0.20194085108746496,0.880128314883584,0.9179573593542834,0.9176274458347347,0.8259333326097954,0.8080708404430293,0.8213956569545562,0.8562827916474025,0.9001353332892056,0.8028961837793036,0.9230034022743678
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.7482217350101779,0.5647355233870895,0.488831970045395,0.30842093922320724,0.2458875421960982,0.29483997892072533,0.0,0.26564830331899103,0.3353532802523226,0.5489735373422828,0.2923816914385299,0.35472653554551037,0.5868506109025301,0.8647581007528722,0.7446779182164447,0.15346975948364117,0.6729082363818889,0.5684956415458204,0.37409378661026726,0.8988334034155009,0.9415222582430194,0.9333537731096935,0.809299439298077,0.7821507800770494,0.8599491083790535,0.8461839214691461,0.8782651008262568,0.8389786353534888,0.9446971195120965
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.7455972028896611,0.43943383782941814,0.32737218120589784,0.4235679248964518,0.221131103849322,0.11717567138558549,0.26564830331899103,0.0,0.219933388398179,0.37605129022433703,0.048311360003856496,0.1813902525300326,0.42373651971569437,0.9741335482529565,0.8195798426660605,0.2432866237036242,0.802115681369652,0.44689611180749045,0.18870487877244146,0.8713298976497972,0.9278661936246021,0.9050647917743804,0.8161676884341017,0.7909101487956053,0.8241943330769413,0.8657508440698826,0.8995988788242455,0.807670758495087,0.9311135598533129
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.7722156964341234,0.3288146861027179,0.35849729343760783,0.4861466209262977,0.3436788072710889,0.2215640109555902,0.3353532802523226,0.219933388398179,0.0,0.2562161265568047,0.24580338102681143,0.33097838270801105,0.36249161967495236,0.8842563715693608,0.887486924836128,0.35557566211130076,0.8278052243795583,0.3707847225542994,0.3424634435424435,0.853784520416988,0.9118601979527449,0.9138200076481473,0.8494390729648087,0.8152267191682956,0.7981915424840573,0.8970985793603319,0.8684881275470488,0.8000178330968623,0.9136776669359173
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.8118114357235654,0.12357100005073995,0.3655265397513121,0.6842090707932682,0.5196442371501262,0.32174524526670756,0.5489735373422828,0.37605129022433703,0.2562161265568047,0.0,0.39634731820428337,0.42423189716993814,0.14044106282835211,0.7760157228997234,0.9797815892854469,0.547275128732986,0.9837717223394292,0.19269407413878759,0.43620056509713556,0.8718154909851625,0.9104788535700986,0.9022024288792442,0.871087795017026,0.7987861718212285,0.7466632489224595,0.8285843620158897,0.8323703917207537,0.7999761469561956,0.9143672807252795
