sample,class,sequence_length,unique_kmers,total_valid_kmers
GCA_000157875.1_ASM15787v1_genomic,Brucella_sp,3153851,3107903,3111600
GCA_000158995.1_ASM15899v1_genomic,Brucella_sp,3336716,3284581,3288496
GCA_000163135.1_ASM16313v1_genomic,Brucella_sp,3297137,3243892,3263228
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,Brucella_sp,3324827,3272109,3315700
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,Brucella_sp,3353781,3337042,3352850
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,Brucella_sp,3312508,3285370,3311448
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,Brucella_sp,3360293,3294240,3346993
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,Brucella_sp,3313861,3288624,3313276
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,Brucella_sp,3361076,3289223,3339609
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,Brucella_sp,3307641,3282977,3307481
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,Brucella_sp,3376429,3351654,3376269
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,Brucella_sp,3306897,3284861,3306607
GCA_000691585.1_ASM69158v1_genomic,canis,3310315,3288909,3310254
GCA_000740135.1_ASM74013v1_genomic,abortus,3289500,3261992,3289408
GCA_000740155.1_ASM74015v1_genomic,abortus,3288518,3266580,3288488
GCA_000740235.1_ASM74023v1_genomic,suis,3319697,3297426,3319667
GCA_000740275.1_ASM74027v1_genomic,pinnipedialis,3331029,3291199,3330999
GCA_001307475.2_ASM130747v2_genomic,melitensis,3310789,3288897,3310759
GCA_001715385.1_ASM171538v1_genomic,Brucella_sp,3283485,3259417,3283455
GCA_001742815.1_ASM174281v1_genomic,Brucella_sp,3153099,3119478,3151707
GCA_001971625.1_ASM197162v1_genomic,Brucella_sp,3434749,3353131,3434719
GCA_001971805.1_ASM197180v1_genomic,Brucella_sp,3592978,3517878,3592948
GCA_009601725.1_ASM960172v1_genomic,Brucella_sp,3584454,3524053,3584424
GCA_014084005.1_ASM1408400v1_genomic,Brucella_sp,3378310,3349828,3378280
GCA_014495905.1_ASM1449590v1_genomic,Brucella_sp,3522910,3434053,3522880
GCA_015832115.1_ASM1583211v1_genomic,Brucella_sp,3290672,3269145,3290642
GCA_900000005.1_BVF60_genomic,vulpis,3238137,3106355,3238107
GCA_900092405.1_10RB9215v1_genomic,Brucella_sp,3562813,3494185,3562783
GCA_900095155.1_BR141012304v1_genomic,inopinata,3442381,3388967,3442351
