,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1171056.505308093,627323.5841795667,642453.8183445988,654712.7212347891,647937.6774948473,643681.9895448395,643260.5791835544,650784.8293113002,647902.4394573546,642841.3381811023,651681.8235684235,642131.7072939543,641709.8610184417,628207.6941990681,629218.0449816352,657106.813833756,654746.3813836672,632909.4652453843,626434.7151818315,581349.4769391564,661663.4328544631,716850.6690938217,642595.8357798712,641781.2721221803,662262.1663002211,645018.5600487213,657474.719055546,694040.0392364389,636089.9670805902
GCA_000158995.1_ASM15899v1_genomic,627323.5841795667,1579214.5767938476,1452566.4395906683,1523839.352552715,1507847.186404637,1531678.2431449038,1508899.1455516939,1518975.4462697923,1534726.2094985375,1529767.7411652945,1549214.547740573,1481028.8083575084,1480212.2138843166,1432679.3364735018,1430719.361541757,1497654.4070291268,1519518.8053966032,1454005.1234244655,1428572.2827948553,549849.7174700387,628878.7719073109,705257.7759322923,604980.8349838293,607800.5295543129,635623.9812529755,602093.8683590305,667439.2968662962,680418.5581579739,614163.9029629827
GCA_000163135.1_ASM16313v1_genomic,642453.8183445988,1452566.4395906683,1660604.392241446,1599327.751602092,1516532.7651251943,1549586.5389594592,1604836.193051001,1527717.6078123702,1647409.153834794,1541743.4672857532,1533038.331105739,1494560.774929894,1499193.339746706,1452548.708839226,1442656.82913328,1544021.6339035963,1604504.4360304999,1476377.407111195,1447249.9009691854,564469.6959060149,642856.1269367709,757007.108599983,618162.5084782351,621959.0720074871,672284.2458465496,614289.0116364027,773184.101621267,699051.8555606419,632350.5643262453
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,654712.7212347891,1523839.352552715,1599327.751602092,1847492.7607182884,1584852.5399656377,1703490.8484519515,1852267.9956869336,1678789.416422983,1893478.8567885784,1686611.02965405,1692241.648063188,1558898.6619177745,1569692.1116593324,1543039.79121507,1527791.2143520617,1661131.1070393806,1869135.9654606665,1572893.4340219866,1538133.3068141642,587450.6069507007,664381.0364250753,825017.6191647467,633056.7766555621,641562.4887892198,740407.2397827096,632964.0661269957,869097.2435214665,719805.4396286017,653049.2312475238
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,647937.6774948473,1507847.186404637,1516532.7651251943,1584852.5399656377,1651300.146082992,1565718.0085926387,1600465.7811203543,1574674.6674276374,1600266.940649694,1560318.654055573,1590502.8472937979,1529575.1609560999,1534047.4374425544,1512086.32506492,1502456.428609776,1586090.1213016883,1605254.389049042,1528064.2684859768,1508026.6090063434,572924.7078407545,651507.3868442323,752321.8075838839,627914.9071041017,631763.6231261411,676810.3027841413,623198.7807592581,737690.0471029668,710419.6778454683,637519.3302385628
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,643681.9895448395,1531678.2431449038,1549586.5389594592,1703490.8484519515,1565718.0085926387,1759110.1533386575,1726222.6936760934,1650627.2212153208,1806455.6979505785,1738942.0621126613,1667892.788411319,1537169.6480090995,1541499.844842871,1498218.3545384565,1488897.074642495,1582779.6771402154,1706832.2713308523,1523214.601235612,1492986.6703447294,568898.7312510315,646825.8228958353,760291.9394602387,624058.6953446667,625463.7963628393,696187.645821821,620469.2877567299,759768.585486503,701065.8604396029,633660.569549825
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,643260.5791835544,1508899.1455516939,1604836.193051001,1852267.9956869336,1600465.7811203543,1726222.6936760934,2013793.0670828738,1684170.574701354,1954770.9858921522,1701183.9835582378,1703500.4772281647,1556476.6313375307,1569442.1173852796,1544117.2996921977,1528103.6155446996,1674521.7755292766,1935474.0161844527,1576701.0927347457,1539857.3952888413,580266.277854216,655784.271587625,834777.427166378,625970.314483784,632354.549949834,759452.0278303428,623249.11691606,889858.6504025524,711970.5433289503,645937.9854736192
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,650784.8293113002,1518975.4462697923,1527717.6078123702,1678789.416422983,1574674.6674276374,1650627.2212153208,1684170.574701354,1676632.8995793003,1694189.4398197175,1641418.9079402373,1681114.5327748992,1531623.5082701377,1534160.769781596,1524807.2705254743,1516525.936290806,1602783.3771773125,1715401.5645771257,1547944.1629329016,1519138.6588147974,576102.5153277607,654343.92326512,758255.2988629958,627434.0015406653,631927.1820978497,687684.870676673,627242.3830238144,750640.530327736,712164.6092455974,640824.9852555342
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,647902.4394573546,1534726.2094985375,1647409.153834794,1893478.8567885784,1600266.940649694,1806455.6979505785,1954770.9858921522,1694189.4398197175,2067365.8269184118,1781589.78034332,1713995.4732429401,1567801.2653683713,1581900.343918239,1538180.101618084,1519280.833151589,1674865.8628261308,1944021.654868146,1570825.2082080357,1534087.0841520533,583335.4782632081,659018.3290942854,834647.7238177339,629182.7658931761,637447.8026656747,762871.9469916053,627827.0789686728,918581.7655344135,712558.6408792861,648912.2327214074
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,642841.3381811023,1529767.7411652945,1541743.4672857532,1686611.02965405,1560318.654055573,1738942.0621126613,1701183.9835582378,1641418.9079402373,1781589.78034332,1730597.6179946559,1657741.4829335965,1532781.0428186362,1535179.853319215,1491433.7818591136,1483024.279471291,1574318.5801995716,1681555.3887229802,1516415.4883524976,1485964.1688652267,566950.749559477,645895.7660738822,751613.4660065378,622509.155748264,623523.8082321527,684206.7896669854,619444.8558687845,745974.0668399103,699731.7146387488,631545.3125681232
