sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.31088172347571863
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.8509017703274844
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.45126855398835386
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5847382615934393
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.7823128274844714
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.5269192671394104
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.8715484183442465
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.608191811258748
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.42000677589348046
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.894057869331741
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.5870426183064562
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.5444165619666861
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.07738848287440808
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.658188422674969
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.544118943113848
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.36270373305750586
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.6503358017758103
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.3647913393404897
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.17525430741511752
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.19446845024408926
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.3362245577396542
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.07963832966939903
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.14359775910990588
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
