sample,file,total_bp,valid_counted_kmers,distinct_kmers,count_file,reused_count_file
GCA_000157875.1_ASM15787v1_genomic,GCA_000157875.1_ASM15787v1_genomic.fa,,3112262,3029549,kwip_results-15/k15/kmer_counts/00000_GCA_000157875.1_ASM15787v1_genomic_k15_counts.tsv.gz,True
GCA_000158995.1_ASM15899v1_genomic,GCA_000158995.1_ASM15899v1_genomic.fa,,3289346,3201416,kwip_results-15/k15/kmer_counts/00001_GCA_000158995.1_ASM15899v1_genomic_k15_counts.tsv.gz,True
GCA_000163135.1_ASM16313v1_genomic,GCA_000163135.1_ASM16313v1_genomic.fa,,3264140,3158306,kwip_results-15/k15/kmer_counts/00002_GCA_000163135.1_ASM16313v1_genomic_k15_counts.tsv.gz,True
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,,3315978,3175215,kwip_results-15/k15/kmer_counts/00003_GCA_000370925.1_Bruc_sp_56_94_V1_genomic_k15_counts.tsv.gz,True
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,,3352646,3236181,kwip_results-15/k15/kmer_counts/00004_GCA_000370945.1_Bruc_sp_63_311_V1_genomic_k15_counts.tsv.gz,True
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,,3310742,3190298,kwip_results-15/k15/kmer_counts/00005_GCA_000370965.1_Bruc_sp_F23_97_V1_genomic_k15_counts.tsv.gz,True
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,,3347223,3196282,kwip_results-15/k15/kmer_counts/00006_GCA_000370985.1_Bruc_sp_F5_06_V1_genomic_k15_counts.tsv.gz,True
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,,3312860,3195777,kwip_results-15/k15/kmer_counts/00007_GCA_000371005.1_Bruc_sp_F8_99_V1_genomic_k15_counts.tsv.gz,True
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,,3340005,3191280,kwip_results-15/k15/kmer_counts/00008_GCA_000371025.1_Bruc_sp_F96_2_V1_genomic_k15_counts.tsv.gz,True
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,,3306771,3189578,kwip_results-15/k15/kmer_counts/00009_GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic_k15_counts.tsv.gz,True
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,,3375727,3256332,kwip_results-15/k15/kmer_counts/00010_GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic_k15_counts.tsv.gz,True
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,,3305787,3194702,kwip_results-15/k15/kmer_counts/00011_GCA_000480195.1_Bruc_sp_04-5288_V1_genomic_k15_counts.tsv.gz,True
GCA_000691585.1_ASM69158v1_genomic,GCA_000691585.1_ASM69158v1_genomic.fa,,3310272,3196080,kwip_results-15/k15/kmer_counts/00012_GCA_000691585.1_ASM69158v1_genomic_k15_counts.tsv.gz,True
GCA_000740135.1_ASM74013v1_genomic,GCA_000740135.1_ASM74013v1_genomic.fa,,3289442,3170152,kwip_results-15/k15/kmer_counts/00013_GCA_000740135.1_ASM74013v1_genomic_k15_counts.tsv.gz,True
GCA_000740155.1_ASM74015v1_genomic,GCA_000740155.1_ASM74015v1_genomic.fa,,3288490,3174824,kwip_results-15/k15/kmer_counts/00014_GCA_000740155.1_ASM74015v1_genomic_k15_counts.tsv.gz,True
GCA_000740235.1_ASM74023v1_genomic,GCA_000740235.1_ASM74023v1_genomic.fa,,3319669,3197996,kwip_results-15/k15/kmer_counts/00015_GCA_000740235.1_ASM74023v1_genomic_k15_counts.tsv.gz,True
GCA_000740275.1_ASM74027v1_genomic,GCA_000740275.1_ASM74027v1_genomic.fa,,3331001,3196892,kwip_results-15/k15/kmer_counts/00016_GCA_000740275.1_ASM74027v1_genomic_k15_counts.tsv.gz,True
GCA_001307475.2_ASM130747v2_genomic,GCA_001307475.2_ASM130747v2_genomic.fa,,3310761,3195612,kwip_results-15/k15/kmer_counts/00017_GCA_001307475.2_ASM130747v2_genomic_k15_counts.tsv.gz,True
GCA_001715385.1_ASM171538v1_genomic,GCA_001715385.1_ASM171538v1_genomic.fa,,3283457,3167778,kwip_results-15/k15/kmer_counts/00018_GCA_001715385.1_ASM171538v1_genomic_k15_counts.tsv.gz,True
GCA_001742815.1_ASM174281v1_genomic,GCA_001742815.1_ASM174281v1_genomic.fa,,3151565,3031354,kwip_results-15/k15/kmer_counts/00019_GCA_001742815.1_ASM174281v1_genomic_k15_counts.tsv.gz,True
GCA_001971625.1_ASM197162v1_genomic,GCA_001971625.1_ASM197162v1_genomic.fa,,3434721,3245849,kwip_results-15/k15/kmer_counts/00020_GCA_001971625.1_ASM197162v1_genomic_k15_counts.tsv.gz,True
GCA_001971805.1_ASM197180v1_genomic,GCA_001971805.1_ASM197180v1_genomic.fa,,3592950,3406715,kwip_results-15/k15/kmer_counts/00021_GCA_001971805.1_ASM197180v1_genomic_k15_counts.tsv.gz,True
GCA_009601725.1_ASM960172v1_genomic,GCA_009601725.1_ASM960172v1_genomic.fa,,3584426,3406609,kwip_results-15/k15/kmer_counts/00022_GCA_009601725.1_ASM960172v1_genomic_k15_counts.tsv.gz,True
