,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.9436520723073962,0.9555770371918224,0.9472188616257823,0.9385552225448519,0.9509284900513566,0.9366173053589236,0.9505203694907874,0.9363845519681188,0.9523979910522213,0.9318320194539897,0.9526228232396621,0.9515903521042003,0.957894890407181,0.9581933291930345,0.9487619463082687,0.9453565833138007,0.9514472576972577,0.9597243331713615,0.9997615329121049,0.9147321130437422,0.8698271439812688,0.8721924875766235,0.93127572942553,0.8894496897522616,0.9575388279318733,0.9736276100643493,0.8782246662926715,0.9125167216677643
GCA_000158995.1_ASM15899v1_genomic,0.9436520723073962,1.0,0.9880675679729413,0.9964305567043551,0.9948987347277788,0.9927185488111094,0.9929589462997586,0.993126912146119,0.9927259610331285,0.9912482125809916,0.9881685856629047,0.9910232579772482,0.9920563030321357,0.9857487289880076,0.9854501742881836,0.9948864350814771,0.9982941759170454,0.9921994793535319,0.983918615159872,0.9434137953084949,0.9710452612543962,0.9260394470520632,0.928411525796939,0.9876116637523071,0.9457130753192666,0.9861049330445116,0.9700133219708487,0.9344601638749543,0.9688262315762705
GCA_000163135.1_ASM16313v1_genomic,0.9555770371918224,0.9880675679729413,1.0,0.9916369222182422,0.9829665619091981,0.9953489181340299,0.9810269127876673,0.9949405520921349,0.9807939457629247,0.9968192723510162,0.9762369923366309,0.9970442308443597,0.9960111704178858,0.9976810624298864,0.997382492705737,0.9931810288727208,0.989773340015926,0.9958679924684387,0.9958508481417107,0.9553386883828747,0.9591163605563137,0.9141259616131225,0.9164969263648479,0.9756801304841458,0.9337913653674235,0.9980372837160276,0.9819441388379432,0.9225428756769364,0.9568978078254261
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.9472188616257823,0.9964305567043551,0.9916369222182422,1.0,0.9913293309024874,0.9962879679871515,0.9893895696711502,0.9966963351794812,0.989156588122801,0.9948176154034969,0.9845993049661138,0.994592657957418,0.9956257153200339,0.9893180364381743,0.9890194750160471,0.9984558713310389,0.9981363779504845,0.9957688931969542,0.9874878789016015,0.9469805613710314,0.967476658299278,0.9224751203597095,0.9248468834890345,0.9840423968658256,0.9421464346542515,0.9896742483068927,0.9735820583504649,0.93089476221173,0.9652577547490782
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.9385552225448519,0.9948987347277788,0.9829665619091981,0.9913293309024874,1.0,0.9876173985256265,0.9980601941533561,0.9880257518325068,0.9978272061489917,0.9861471019250845,0.9932697493837488,0.9859221538708222,0.9869551699135186,0.9806478154393891,0.980349273647573,0.9897852364239457,0.9931929254533787,0.9870983424286939,0.9788177843105881,0.9383169814104455,0.9761456456699756,0.9311342166901141,0.9335067203690852,0.9927128138939298,0.9508109350849122,0.9810040043928372,0.9649133984979789,0.9395563770260333,0.9739264602580103
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.9509284900513566,0.9927185488111094,0.9953489181340299,0.9962879679871515,0.9876173985256265,1.0,0.985677678683959,0.9995916315556831,0.9854447025766065,0.998529640344953,0.9808875461078495,0.9983046814630621,0.9993377446445421,0.9930299993577711,0.992731432962088,0.9978320935495811,0.9944243555804687,0.9994809231716469,0.9911998087323622,0.9506901672186385,0.9637657199066227,0.9187689324111293,0.9211403513604975,0.9803306561320305,0.9384377078329372,0.9933862169439573,0.9772935336901939,0.9271873996865019,0.9615469625037509
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.9366173053589236,0.9929589462997586,0.9810269127876673,0.9893895696711502,0.9980601941533561,0.985677678683959,1.0,0.9860860267833197,0.999767011750136,0.984207402172847,0.9952095395950731,0.9839824573770959,0.9850154588607215,0.9787082094134358,0.9784096735491503,0.9878454907866628,0.9912531484809728,0.9851586294397221,0.9768782159789204,0.9363790786736005,0.9780851980017194,0.9330717873645368,0.9354444445564396,0.9946526008432311,0.9527496138062469,0.9790643914078634,0.9629742226559954,0.9414944679454569,0.9758659609441817
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.9505203694907874,0.993126912146119,0.9949405520921349,0.9966963351794812,0.9880257518325068,0.9995916315556831,0.9860860267833197,1.0,0.985853049998824,0.9981212721826558,0.9812958780561082,0.9978963133828483,0.9989293762726111,0.9926216361637656,0.9923230702145394,0.9982404616044662,0.994832721083419,0.9990725547764787,0.9907914485612851,0.950282049061692,0.9641739558220137,0.9191766305831075,0.9215480881925514,0.980738985898597,0.9388456919209376,0.9929778532410997,0.9768852188294319,0.9275952299032934,0.9619551815935545
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.9363845519681188,0.9927259610331285,0.9807939457629247,0.989156588122801,0.9978272061489917,0.9854447025766065,0.999767011750136,0.985853049998824,1.0,0.9839744286644643,0.9954425265732642,0.9837494842885537,0.9847824838927893,0.9784752478582306,0.9781767127436652,0.9876125113067006,0.991020164806141,0.9849256542211211,0.9766452591826609,0.9361463270483216,0.9783181585753018,0.9333045156106065,0.935677190941512,0.9948855875001076,0.952982472654651,0.978831428971753,0.9627413147598054,0.941727257614904,0.9760989155954098
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.9523979910522213,0.9912482125809916,0.9968192723510162,0.9948176154034969,0.9861471019250845,0.998529640344953,0.984207402172847,0.9981212721826558,0.9839744286644643,1.0,0.979417331057275,0.9997750409779187,0.9991918955036873,0.9945003449221412,0.994201777125142,0.9963617367938681,0.9929540103665343,0.9990487169917941,0.9926701446763421,0.9521596597293809,0.9622958624464025,0.9173010421239022,0.9196723202451504,0.9788604493212708,0.936968774554205,0.994856564094489,0.9787637160930297,0.9257190281748484,0.9600771671558996
