method,k,epsilon,idf_type,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.30733703,clear,0.32241322,Brucella sp. 83/13,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.43495381,clear,0.32241322,Brucella sp. F5/99,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.46530931,clear,0.32241322,Brucella sp. NVSL 07-0026,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.05991546,clear,0.32241322,Brucella sp. 56/94,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.47445665,clear,0.32241322,Brucella sp. 63/311,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.54633263,clear,0.32241322,Brucella sp. F23/97,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.41446447,clear,0.32241322,Brucella sp. F5/06,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.54279261,clear,0.32241322,Brucella sp. F8/99,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.5056238,clear,0.32241322,Brucella sp. F96/2,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.45098019,clear,0.32241322,Brucella sp. UK1/97,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.53418182,clear,0.32241322,Brucella sp. UK40/99,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.53471245,clear,0.32241322,Brucella sp. 04-5288,Brucella_sp,7
