sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.17895506973288183
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.7602068127563076
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.3906966868228879
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5402478250292464
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.698235216459716
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.4503866088896009
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.8195060393279165
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.5496618683532883
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.37450821246913263
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.8471603501520596
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.4955449603704472
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.4532922225970945
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.0567526315835457
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.574382213560176
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.4548690705751442
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.2976224883094992
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.49860749465575277
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.32342939505311075
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.08337447166560344
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.10512673728248816
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.16791904780650693
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.05547869148500935
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.06116773789469656
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
