method,k,alpha,log_base,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
Jensen_Shannon_distance,15,0.0,2.0,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.24207881,clear,0.25328075,Brucella sp. 83/13,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.33011601,clear,0.25328075,Brucella sp. F5/99,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.35232907,clear,0.25328075,Brucella sp. NVSL 07-0026,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.12181889,clear,0.25328075,Brucella sp. 56/94,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.36862062,clear,0.25328075,Brucella sp. 63/311,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.42325015,clear,0.25328075,Brucella sp. F23/97,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.32361704,clear,0.25328075,Brucella sp. F5/06,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.42466717,clear,0.25328075,Brucella sp. F8/99,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.38136589,clear,0.25328075,Brucella sp. F96/2,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.34138833,clear,0.25328075,Brucella sp. UK1/97,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.41969002,clear,0.25328075,Brucella sp. UK40/99,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.41443012,clear,0.25328075,Brucella sp. 04-5288,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.25328075,Brucella canis,canis,3
Jensen_Shannon_distance,15,0.0,2.0,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.44874099,clear,0.25328075,Brucella abortus,abortus,0
Jensen_Shannon_distance,15,0.0,2.0,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.42560362,clear,0.25328075,Brucella abortus,abortus,0
Jensen_Shannon_distance,15,0.0,2.0,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.25328075,Brucella suis,suis,2
Jensen_Shannon_distance,15,0.0,2.0,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,,not_computed,0.25328075,Brucella pinnipedialis,pinnipedialis,4
Jensen_Shannon_distance,15,0.0,2.0,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.25328075,Brucella melitensis,melitensis,1
Jensen_Shannon_distance,15,0.0,2.0,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.41087856,clear,0.25328075,Brucella sp. 2002734562,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.05173736,possibly_misplaced,0.25328075,Brucella sp. B13-0095,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.19181398,possibly_misplaced,0.25328075,Brucella sp. 09RB8471,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.19864403,possibly_misplaced,0.25328075,Brucella sp. 09RB8910,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.14393432,clear,0.25328075,Brucella sp. 2280,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.18447041,clear,0.25328075,Brucella sp. DSM 103976,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.24410973,clear,0.25328075,Brucella sp. 6810,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.04607229,weak/ambiguous,0.25328075,Brucella sp. BO2,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.25328075,Brucella vulpis,vulpis,5
Jensen_Shannon_distance,15,0.0,2.0,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.22047053,clear,0.25328075,Brucella sp. 10RB9215,Brucella_sp,7
Jensen_Shannon_distance,15,0.0,2.0,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.25328075,Brucella inopinata,inopinata,6
