,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.7312812062553814,0.6777772378834441,0.7049667752963914,0.632536248369368,0.6364956635118423,0.630401361120231,0.6295790774667198,0.671175038416708,0.7228333043046526,0.6512827074493386,0.6415535838602506,0.7250974820922844,0.9225690151675757,0.8728912312116025,0.6032768732976711,0.872598270464057,0.7291915508762943,0.6402402262960658,0.8573116171924999,0.9193779425579617,0.9196736364123844,0.7809284876710665,0.693389604295427,0.8050407043302521,0.8044216660761457,0.8284256515327588,0.788860813823028,0.9291104642904805
GCA_000158995.1_ASM15899v1_genomic,0.7312812062553814,0.0,0.3648456454157394,0.6780880969106793,0.47085232956721723,0.4184292946749115,0.5403080170592505,0.4282692862419507,0.31595689372563507,0.11667500451046564,0.42036568464654067,0.4380202720442613,0.14452106126938646,0.7545694086578147,0.9889576451239344,0.5177795260905812,0.9748129438269897,0.14838006880668808,0.44969583123709167,0.8271553755862912,0.8736759372523272,0.8714443780579417,0.8271713852298197,0.7066274681254381,0.6680205281865808,0.749873953158517,0.7676458755580325,0.7407898272374389,0.8780432176763523
GCA_000163135.1_ASM16313v1_genomic,0.6777772378834441,0.3648456454157394,0.0,0.5005925575397369,0.3904423567019828,0.2758284864150574,0.44656437408893723,0.283138247030428,0.3194108882897333,0.3173206241642228,0.32282039078035496,0.29678386011768165,0.3280286592510694,0.854830575494804,0.8486251292386425,0.4160104090189801,0.8320747108522452,0.3570224977498293,0.30603125897526395,0.8626881307040573,0.9090861049285366,0.8702858975029647,0.7872117002799325,0.6697862679252763,0.7382421255461227,0.7831279070904262,0.8266142265083614,0.7400497940862609,0.9125908019929481
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.7049667752963914,0.6780880969106793,0.5005925575397369,0.0,0.37377116936720145,0.4379501829093715,0.2829185748642268,0.4120092674286494,0.4715145999418414,0.667870578804554,0.4427598825156457,0.4665681853654129,0.6887918935919649,0.6363167338152937,0.506235064580071,0.27814261491283054,0.44006619050248497,0.6702255138361699,0.4812183977729908,0.8176399703842175,0.8457035678154537,0.8448971477236408,0.7037803016381949,0.6755501620424234,0.8607248248402952,0.7470730848485332,0.872848805611106,0.7851481708933985,0.8492633389504616
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.632536248369368,0.47085232956721723,0.3904423567019828,0.37377116936720145,0.0,0.22341092543778096,0.18468249047127494,0.18994091977780425,0.30141294479949066,0.4925022377021224,0.19702302239212088,0.23524555340171271,0.4988040927324655,0.9044442201135383,0.7729648783572742,0.16251162370865502,0.7394323439779407,0.4723133186220225,0.25351321677330896,0.8426937440465709,0.9071273724639727,0.8915645760204602,0.7553207034431074,0.6736979845773097,0.7913556709151452,0.7997465425093389,0.8515014051039721,0.7663470554994721,0.9131221334956023
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.6364956635118423,0.4184292946749115,0.2758284864150574,0.4379501829093715,0.22341092543778096,0.0,0.2651056245420146,0.09461096396802393,0.22753580134464502,0.3136320745806246,0.14329121945786882,0.11062913337786018,0.37623116016689573,0.9768698850039059,0.8172859966610124,0.26156690897123314,0.8066664607674674,0.4059197741341489,0.14262359164362715,0.8278978279700978,0.8784512698235816,0.883485064482416,0.7630081359659511,0.7150986539458528,0.7572381778349409,0.7833669916686031,0.8518488119749816,0.7370851233847744,0.8851861039971145
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.630401361120231,0.5403080170592505,0.44656437408893723,0.2829185748642268,0.18468249047127494,0.2651056245420146,0.0,0.2409256134175063,0.2991908714407101,0.5251892445887838,0.26410380015111257,0.30588330887503634,0.5524348020808727,0.8471716167705465,0.7216210151657615,0.10619735778439299,0.6549456424563909,0.5236122092347208,0.3225172878962004,0.8545764292875228,0.9096346676073159,0.9029715888127448,0.7328154500244296,0.6665334733813493,0.8030730928411765,0.7685647076917688,0.8228915709843887,0.7787238377801123,0.9145430984821926
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.6295790774667198,0.4282692862419507,0.283138247030428,0.4120092674286494,0.18994091977780425,0.09461096396802393,0.2409256134175063,0.0,0.2102792634941465,0.35536131528401826,0.06403023408766029,0.13088940002650218,0.38460551952531263,0.9635847613237627,0.80111372858085,0.2112456342346235,0.7924341585638729,0.4018326449218077,0.1344684735476167,0.8167120544169535,0.8930187544365755,0.8681275374993734,0.7515703430398508,0.691494630042928,0.7621879186620436,0.7982723612439228,0.8525851850736668,0.7442570725941389,0.8970786359515336
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.671175038416708,0.31595689372563507,0.3194108882897333,0.4715145999418414,0.30141294479949066,0.22753580134464502,0.2991908714407101,0.2102792634941465,0.0,0.260833030879269,0.23133237355080172,0.2929729755968651,0.3263677264198779,0.8704773040589104,0.8729480540683157,0.3261809263633193,0.8156936466970521,0.3249890713453084,0.301147720879555,0.7942810568207952,0.8679290118684679,0.8772693739931661,0.791981036120003,0.7218781054635292,0.7203081952230277,0.8466089822218374,0.8124570645385328,0.7283536160241724,0.8700715893756907
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.7228333043046526,0.11667500451046564,0.3173206241642228,0.667870578804554,0.4925022377021224,0.3136320745806246,0.5251892445887838,0.35536131528401826,0.260833030879269,0.0,0.3892661750775376,0.37865921117114876,0.08454749344328494,0.7614354969076947,0.9677373044922993,0.5200555949727829,0.9717976948379684,0.13083428198673452,0.3888252332810326,0.8149282041216032,0.8673540075744597,0.8642947637838738,0.8243298701655097,0.7026122457164146,0.6552363810283899,0.7432388711122915,0.7543460701284261,0.7322678599517556,0.8719164773774688
