,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.4246795125905088,0.4233977882651526,0.41209134446292933,0.42888624205599596,0.4160791641245189,0.3880788470683965,0.42837509965428466,0.38718073030794103,0.41849115981504387,0.42380070746501913,0.429341337885759,0.4279502654398722,0.4176123957943061,0.42092109871536026,0.43052625216163154,0.3961074649541454,0.4207344834510182,0.41763189359184744,0.43468290081226635,0.4659282420176357,0.49489163302697853,0.4443247461162218,0.4513034079629098,0.4354951844770376,0.4820622122703656,0.3401778789543819,0.46972162268259443,0.44704704597916745
GCA_000158995.1_ASM15899v1_genomic,0.4246795125905088,1.0,0.8946426972937368,0.9000323906553072,0.9293989038381519,0.9291593861960682,0.8516662387670136,0.939138966287156,0.8608206689709524,0.9345722856820935,0.9432610455875668,0.9238333822447591,0.9208096089904163,0.8915485823412224,0.8955395986788209,0.9169482100722655,0.8642010784660494,0.903933998250134,0.8915068453778826,0.34995489054629736,0.3788640554822823,0.4126722446361849,0.35861321615730346,0.36461053238311275,0.3560590412105571,0.38374248759802976,0.2971987900350944,0.392626656250974,0.36854686255610536
GCA_000163135.1_ASM16313v1_genomic,0.4233977882651526,0.8946426972937368,1.0,0.9072148550728691,0.9102961232324124,0.8999905917864888,0.868248396170796,0.9101961448793279,0.8823276388114017,0.9026408762691989,0.9011964564862841,0.9079116442523975,0.9078826289780568,0.8779874726861546,0.878607980122742,0.9178081380109862,0.8748556259639413,0.8916640832357334,0.8776099114119169,0.34877884955686506,0.37754316105895097,0.43011443586122117,0.35615022345067765,0.362868066828821,0.362976770507005,0.3814900754231487,0.3307379880492895,0.3922483916449432,0.3688505662187717
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.41209134446292933,0.9000323906553072,0.9072148550728691,1.0,0.9064581859104235,0.9437769895443757,0.9557230275846963,0.9548469093889803,0.9662121063235862,0.9419421423092337,0.9500408229229462,0.9034561467640625,0.9064630352099083,0.8873318604307219,0.8852388348693329,0.9363814542951422,0.9715205214713346,0.9029934088954725,0.8874065973655327,0.3468731318847056,0.37149488975824535,0.44258944864793354,0.3489310668454685,0.3570780185301858,0.38011206651367757,0.37512165916837975,0.35077562095836234,0.3856189756707533,0.36357686917521465
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.42888624205599596,0.9293989038381519,0.9102961232324124,0.9064581859104235,1.0,0.9177356207630512,0.8724183015430912,0.9421316643351165,0.8657398166784809,0.9215305614061721,0.9384425941941782,0.9321792242220542,0.931810966220802,0.9160689828508954,0.9162673321274937,0.9449696094523065,0.8816396339224284,0.9251977323108765,0.9161905103458363,0.3566066571297809,0.38382419512152605,0.4286026302965741,0.36388775493437076,0.37021250190906557,0.3682587734104932,0.3886698957240386,0.3183326616507993,0.3991600052992076,0.3740770194196699
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.4160791641245189,0.9291593861960682,0.8999905917864888,0.9437769895443757,0.9177356207630512,1.0,0.9115676764751849,0.9608098193019635,0.9479078552293833,0.9963715645796299,0.9571323241113048,0.91398324632526,0.9134412266607015,0.8869067623016803,0.8875983291790055,0.9180545523922486,0.9113389593492233,0.8998124847839709,0.8864344040052773,0.3455609222555372,0.37186856007183317,0.4195864926321022,0.3527953219764061,0.35798688696716474,0.36841355785984303,0.3778226906855287,0.315226923453867,0.3862288827093466,0.3624303205006316
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.3880788470683965,0.8516662387670136,0.868248396170796,0.9557230275846963,0.8724183015430912,0.9115676764751849,1.0,0.9126835287435098,0.9516276169057164,0.9051063157908398,0.9110849938798468,0.8625624673258909,0.8665779871088234,0.84798865775567,0.846048682297737,0.9010266795800342,0.9606272588138157,0.864555226455904,0.848387267383309,0.3281698322245596,0.3514246124991084,0.4292566707163203,0.3301929361514935,0.33696120163406884,0.3722498707317106,0.35427997453544824,0.3426350952688024,0.36560568350111455,0.3445368784104446
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.42837509965428466,0.939138966287156,0.9101961448793279,0.9548469093889803,0.9421316643351165,0.9608098193019635,0.9126835287435098,1.0,0.9103485134055647,0.9628757363729149,0.989401874535676,0.9302875476532046,0.9288858456845702,0.9188013840907988,0.9199529841486264,0.9483549845324188,0.9390908215767233,0.9315240044745721,0.9182445037058294,0.3564402366625748,0.3835268782901464,0.42819382830174324,0.3618790485537801,0.3687542721058147,0.371777986410272,0.3889209031135786,0.3194229158352388,0.39897015159302135,0.3735948184214893
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.38718073030794103,0.8608206689709524,0.8823276388114017,0.9662121063235862,0.8657398166784809,0.9479078552293833,0.9516276169057164,0.9103485134055647,1.0,0.9424276023262599,0.9087097611167577,0.8607349399078501,0.8652984592925287,0.8385323917352199,0.8349734698790796,0.8935612825403968,0.9552965694762027,0.855049258965002,0.838984435023363,0.3268445870874184,0.34962549247403735,0.42195353311690265,0.3287789777900479,0.33645021941117415,0.36885579007209873,0.35341048200427816,0.3504610999885802,0.3627820636539904,0.3425952196161623
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.41849115981504387,0.9345722856820935,0.9026408762691989,0.9419421423092337,0.9215305614061721,0.9963715645796299,0.9051063157908398,0.9628757363729149,0.9424276023262599,1.0,0.9587449058417392,0.9180889206144369,0.9165026004666487,0.8896948092240069,0.8908709990841557,0.9203466720589172,0.9046395505176266,0.9028407326172062,0.8891135282987042,0.3469561685899965,0.37397667363311676,0.41826691491082657,0.35457469598235053,0.359638877093178,0.36462035259795306,0.3799338646068978,0.3118598172303208,0.3881725343203829,0.3640437391398003
