,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.7152353058606085,0.6627977132398661,0.6885268688619428,0.6084793491060974,0.6177374636566773,0.6053899103026565,0.6102967022876933,0.6488355549094027,0.7089801760405541,0.6257723653293288,0.6237268230455035,0.7111125419674145,0.919165468353725,0.8673453833210829,0.5818517719370809,0.8652342070868582,0.7153720850705583,0.6251425943165096,0.8572775825932436,0.9118626576104658,0.9076524983803617,0.7488266461253054,0.6707630339580419,0.7808090801357749,0.7957489260813879,0.8237782631740471,0.7595840856209689,0.9223142611787344
GCA_000158995.1_ASM15899v1_genomic,0.7152353058606085,0.0,0.35717518196928144,0.6769349344784965,0.4681391663669503,0.4141635551974082,0.5370483496283683,0.42431253572360106,0.31094467846647,0.10887607737566463,0.4134256808370239,0.43292982941411395,0.13767098085470053,0.7510211434975422,0.9887946086325046,0.5153009862176612,0.9747699057245595,0.14168476307991484,0.4407015374198483,0.8167881100814421,0.8699091918903065,0.8611769483996606,0.8138448199231199,0.7029474816448302,0.648963855447018,0.7463494619490028,0.7604629553232566,0.7226097133047531,0.874119033580227
GCA_000163135.1_ASM16313v1_genomic,0.6627977132398661,0.35717518196928144,0.0,0.4963807505844844,0.37987957381369664,0.27244456653196625,0.43586091401057425,0.2794928787833867,0.3060834901658567,0.31514227827310604,0.3063368684700112,0.2946991536305358,0.3253375456953974,0.8544931542033775,0.848227864567081,0.41200085985949697,0.8303396521621276,0.3543546864515298,0.3031398805155373,0.8562689117841822,0.9052107764914668,0.8581004063508558,0.7678243171375801,0.6615553379047833,0.7196826998385424,0.7827014116125139,0.8234260314473412,0.7182242551892293,0.9086535706402218
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.6885268688619428,0.6769349344784965,0.4963807505844844,0.0,0.3682938544119423,0.43585606255371645,0.2752284366873665,0.41006030441010144,0.4657211947997979,0.666140389903797,0.4340437631087578,0.46366805509092635,0.6874245998075689,0.6323899365121561,0.5007530712052788,0.2770262504191965,0.4390207371789707,0.6688242739687555,0.47464509356402607,0.8074300180441265,0.840516635868215,0.8318622921603799,0.6797094701294766,0.6702887609406372,0.8521724754912267,0.7444341756045818,0.8693985850516539,0.7691985841706412,0.84383791758428
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.6084793491060974,0.4681391663669503,0.37987957381369664,0.3682938544119423,0.0,0.21367416600643419,0.1830978589218757,0.18012351528311232,0.29989175390734035,0.4853731646047761,0.19158216777862447,0.22432573038774906,0.49217966271816427,0.9025585145023273,0.7684140461511242,0.15386859141569253,0.7376464840372139,0.4654163028177747,0.23735878608655947,0.8323527559770135,0.9048578171218657,0.8835447972634997,0.7378923030568516,0.6713027062250096,0.7805617064487991,0.7958688684307644,0.8461016344812016,0.7513156738501348,0.9107962766702301
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.6177374636566773,0.4141635551974082,0.27244456653196625,0.43585606255371645,0.21367416600643419,0.0,0.2544272926630644,0.09424108060718528,0.21612628629935215,0.31262138079119806,0.12659837109611416,0.1091188059754209,0.3758177921569701,0.9767075365184807,0.8159482038421912,0.25996257706850856,0.8055824576825864,0.4056112407021639,0.13501152764258006,0.8189713347584016,0.8738814551443114,0.8731836358334262,0.7427190507027308,0.7093823963658883,0.7413128009043344,0.7819246888709164,0.8484066629750332,0.7164382554118816,0.8805946038205724
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.6053899103026565,0.5370483496283683,0.43586091401057425,0.2752284366873665,0.1830978589218757,0.2544272926630644,0.0,0.2302148433654957,0.2990275530971034,0.5175704283843319,0.2605615495322664,0.29458428255397817,0.5456262194739709,0.8438468363098258,0.7154780943401474,0.09519995732952691,0.6519008710616645,0.5164354485366385,0.3064819124614212,0.8446958352396418,0.907609958133192,0.8960118476400276,0.7143768916151279,0.6647407081266871,0.7933067572999604,0.7636158618990988,0.816081858840286,0.7649734865646531,0.9124296727850564
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.6102967022876933,0.42431253572360106,0.2794928787833867,0.41006030441010144,0.18012351528311232,0.09424108060718528,0.2302148433654957,0.0,0.19894680398179465,0.3541479350436957,0.04619005659491504,0.1290572093334723,0.3839459574500048,0.9633140792528228,0.7995750805469524,0.2098553443750255,0.7913560370128575,0.40127736247141776,0.1264241049827287,0.8071225845379011,0.8890436264976512,0.8565319677274984,0.7304213853371465,0.6854358046403084,0.746697371693342,0.7968457825140469,0.8490970975044791,0.7242946932440311,0.8930081504650049
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.6488355549094027,0.31094467846647,0.3060834901658567,0.4657211947997979,0.29989175390734035,0.21612628629935215,0.2990275530971034,0.19894680398179465,0.0,0.24879453409780905,0.22781315251290435,0.28129362638044386,0.31595831099950933,0.8676280302188535,0.8701135037499315,0.31772930585381387,0.8140236093591485,0.3146579888930906,0.28443590694813436,0.7802491584538512,0.8650020067869706,0.8684988404598701,0.7776808434641003,0.7204483630772862,0.7065089728273217,0.8432916912575055,0.8051990367648683,0.7115445244052704,0.8668901188717597
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.7089801760405541,0.10887607737566463,0.31514227827310604,0.666140389903797,0.4853731646047761,0.31262138079119806,0.5175704283843319,0.3541479350436957,0.24879453409780905,0.0,0.37643147047114334,0.37851940350391844,0.08380711385249939,0.7601162188526116,0.9675491472153748,0.5183030547001924,0.9715975716220521,0.1300066721166666,0.38431233174818646,0.8056294509147791,0.8621567465869383,0.8520603051949917,0.8089861726101932,0.6961898353439551,0.6320436407972687,0.7419114089864697,0.7490161048754846,0.710784663705027,0.8665903877268933
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0.6257723653293288,0.4134256808370239,0.3063368684700112,0.4340437631087578,0.19158216777862447,0.12659837109611416,0.2605615495322664,0.04619005659491504,0.22781315251290435,0.37643147047114334,0.0,0.16298094969151444,0.40727399379295814,0.9659107140379952,0.809011245561005,0.24271409342286954,0.7998411361189228,0.4233557534970771,0.15983964677341256,0.8140332095340896,0.8930811886303393,0.8594871875364356,0.7413491407538028,0.697793094908987,0.7455105857116017,0.8050303564657189,0.8565333561920188,0.7349628100646055,0.8971276311480287
