sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.1701332860775316
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.7516296715576141
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.39600877033541226
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.54405636124802
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.686669829239
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.4570582672333282
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.8019571306586476
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.5552322137764321
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.3659598377334126
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.8481168688020031
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.4811342392089296
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.4573192033433215
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.1012718775144523
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.5116184571135781
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.4513022893012979
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.26272778586598844
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.5010060730528086
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.294430733833268
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.07351606854872364
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.10600361832636011
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.1529562264170648
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.06363935285095482
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.05288653941074722
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
