,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.5054906887936875,0.5600545586440873,0.5061614127513273,0.6116376638246455,0.6002522715819607,0.5941704798966266,0.6073076564748743,0.5493976969207501,0.5061805441588603,0.589795697406986,0.6055308303123697,0.5105604507524149,0.12887634020250407,0.22743388814886398,0.6328855235112996,0.21977674869443412,0.5064057587277943,0.6097131311308488,0.2930291146282083,0.1721190570288161,0.16216244049774858,0.4359016881624865,0.5359721776840762,0.4223868033522235,0.3817158294763799,0.29996153358281114,0.42716753069108826,0.1621055289941782
GCA_000158995.1_ASM15899v1_genomic,0.5054906887936875,1.0,0.7588322574145447,0.4796593314984122,0.6799741905703166,0.721935920385188,0.6159031912835186,0.7172205537719629,0.7669186917015871,0.9313696674623524,0.7155671366000421,0.7210181236995488,0.9297087676648664,0.2588796456448972,0.05254859961975811,0.6444817380758145,0.062088921853044474,0.9311772433094341,0.7124789851172177,0.305489925780723,0.22160165037122245,0.21268461682340165,0.381173447875167,0.5218036758244653,0.5980438675646989,0.4374911617077523,0.35948174078237866,0.4928039226429194,0.21640780209230231
GCA_000163135.1_ASM16313v1_genomic,0.5600545586440873,0.7588322574145447,1.0,0.6341748977351331,0.756441918845979,0.8294950902736548,0.698278269753148,0.8200947944156717,0.7801589825172714,0.7893676439405296,0.7983396896718835,0.8227330041738155,0.7896987590956707,0.17020373236049005,0.21234679225450687,0.7290719415970439,0.23420576966685314,0.7727036474501529,0.8163631048355159,0.2783283402410755,0.19152699900277478,0.23282955047028944,0.42257261518499367,0.556361481396762,0.5133229302600479,0.4043939211596961,0.3012805556864733,0.4942220916683612,0.18823185544257245
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.5061614127513273,0.4796593314984122,0.6341748977351331,1.0,0.7456170490257713,0.6955621702165847,0.8148566737442904,0.7119544414140024,0.6688494543276674,0.4978648680610325,0.6970921172327655,0.6784668252076235,0.48377842105277297,0.3410476059953835,0.5155757567446911,0.8119623441649908,0.5804558552115463,0.4964784521529812,0.6688886597476636,0.30199571441437045,0.22680525881058178,0.23349065168242045,0.5054533770894792,0.5244520351215153,0.3463215156911548,0.4101082738358806,0.23837176998172024,0.41760445821008424,0.22627347952412005
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.6116376638246455,0.6799741905703166,0.756441918845979,0.7456170490257713,1.0,0.8713545451957623,0.8879771150934138,0.896161010587086,0.8067509112010063,0.6715776809756089,0.8986879311596316,0.874261589054517,0.673837122119071,0.13132004042026063,0.3097131230681986,0.9136127513415487,0.3357166578358138,0.6872355005557074,0.8629259756877831,0.3088501996671352,0.20262542940582082,0.21058995380414663,0.47899195729838134,0.5653423570992634,0.45594951707750425,0.3916381315886531,0.27736751968587364,0.4760722836355347,0.19515504362864283
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.6002522715819607,0.721935920385188,0.8294950902736548,0.6955621702165847,0.8713545451957623,1.0,0.8263406227236182,0.9483627477120284,0.8448515299635864,0.7906109037572334,0.9251433860093251,0.9441775332789084,0.7548233424453167,0.06742513802952764,0.2602052434605827,0.8409881199946152,0.2780397883630475,0.740172423293184,0.9287759884917505,0.3254284649138038,0.235153531083597,0.22240369601240415,0.45803826013459326,0.5123046707729663,0.4908452900543675,0.4068755608335045,0.27923568148903194,0.5002849350158781,0.22825611430470352
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.5941704798966266,0.6159031912835186,0.698278269753148,0.8148566737442904,0.8879771150934138,0.8263406227236182,1.0,0.8417435814219221,0.8159354879390974,0.6341456090178254,0.8426499038551452,0.8034137775088243,0.616985738164653,0.18521818572825766,0.35027831576118035,0.94008928629269,0.4259802406018074,0.6338212043953511,0.7957765256068682,0.2885809679150642,0.19095323548533105,0.20045161891744873,0.4909348931767815,0.556485296907076,0.44079170258685846,0.4116613601054936,0.3130095577749338,0.44930314435506324,0.1863461602278376
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.6073076564748743,0.7172205537719629,0.8200947944156717,0.7119544414140024,0.896161010587086,0.9483627477120284,0.8417435814219221,1.0,0.8590741784231962,0.7633997668436936,0.9699396737760901,0.9342721990267261,0.7487841930451624,0.08402089448659462,0.2780306113882569,0.870214763783879,0.28749561589591793,0.7395435160994464,0.9291549828691449,0.33903413057846854,0.2186635581702731,0.24064770459077345,0.4735020379735971,0.5374362047263371,0.4841230680094654,0.3915753904859382,0.2783042549151397,0.49015090531807926,0.2148093445524505
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.5493976969207501,0.7669186917015871,0.7801589825172714,0.6688494543276674,0.8067509112010063,0.8448515299635864,0.8159354879390974,0.8590741784231962,1.0,0.8078263424060287,0.8616995150922574,0.808045788458068,0.7719091210426384,0.16485757754964406,0.20172352672477234,0.7801426566858063,0.2737813110061999,0.7779555093321155,0.8064209040837381,0.3517324574975867,0.23828715514867724,0.23260302061571136,0.41918070423643955,0.49748537376829793,0.534010584754038,0.3237834704580181,0.32410587944095576,0.4994722821361807,0.2372041452342609
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.5061805441588603,0.9313696674623524,0.7893676439405296,0.4978648680610325,0.6715776809756089,0.7906109037572334,0.6341456090178254,0.7633997668436936,0.8078263424060287,1.0,0.7450220240528658,0.7533902215590866,0.9575257416751556,0.2516748042851405,0.07325865626408952,0.6418788067109591,0.08201066984608321,0.9355403162908591,0.7473301492715053,0.3227979163182851,0.22992749070075874,0.22805367736822793,0.37844096420327067,0.5172002401397567,0.608207903164279,0.43918078720627796,0.37377107786595126,0.4974510600904365,0.22494540601242868
