sample,label_code,class,silhouette_score
GCA_000157875.1_ASM15787v1_genomic,0,Brucella_sp,-0.18827568858147084
GCA_000158995.1_ASM15899v1_genomic,0,Brucella_sp,-0.7990993341507153
GCA_000163135.1_ASM16313v1_genomic,0,Brucella_sp,-0.464290307741875
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0,Brucella_sp,-0.5973170175886519
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0,Brucella_sp,-0.7486535269925785
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0,Brucella_sp,-0.5544516621866782
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0,Brucella_sp,-0.8133350125865554
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0,Brucella_sp,-0.6289149962529642
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0,Brucella_sp,-0.43879444943484486
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0,Brucella_sp,-0.8575892273297203
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0,Brucella_sp,-0.5812767976384956
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0,Brucella_sp,-0.5575261957774587
GCA_000691585.1_ASM69158v1_genomic,1,canis,0.0
GCA_000740135.1_ASM74013v1_genomic,2,abortus,0.12520459404936507
GCA_000740155.1_ASM74015v1_genomic,2,abortus,-0.5312625316563861
GCA_000740235.1_ASM74023v1_genomic,3,suis,0.0
GCA_000740275.1_ASM74027v1_genomic,4,pinnipedialis,0.0
GCA_001307475.2_ASM130747v2_genomic,5,melitensis,0.0
GCA_001715385.1_ASM171538v1_genomic,0,Brucella_sp,-0.5401444455696034
GCA_001742815.1_ASM174281v1_genomic,0,Brucella_sp,-0.22310299993979388
GCA_001971625.1_ASM197162v1_genomic,0,Brucella_sp,-0.509452677884052
GCA_001971805.1_ASM197180v1_genomic,0,Brucella_sp,-0.24801541986374054
GCA_009601725.1_ASM960172v1_genomic,0,Brucella_sp,-0.09672070389276181
GCA_014084005.1_ASM1408400v1_genomic,0,Brucella_sp,-0.12234101867631254
GCA_014495905.1_ASM1449590v1_genomic,0,Brucella_sp,-0.18777247880127257
GCA_015832115.1_ASM1583211v1_genomic,0,Brucella_sp,-0.05438098961095466
GCA_900000005.1_BVF60_genomic,6,vulpis,0.0
GCA_900092405.1_10RB9215v1_genomic,0,Brucella_sp,-0.07988276124426945
GCA_900095155.1_BR141012304v1_genomic,7,inopinata,0.0
