sample,class,sequence_length,unique_kmers,total_valid_kmers
GCA_000157875.1_ASM15787v1_genomic,Brucella_sp,3153851,3065091,3112528
GCA_000158995.1_ASM15899v1_genomic,Brucella_sp,3336716,3239828,3289584
GCA_000163135.1_ASM16313v1_genomic,Brucella_sp,3297137,3197376,3264364
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,Brucella_sp,3324827,3224284,3316020
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,Brucella_sp,3353781,3288117,3352898
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,Brucella_sp,3312508,3236468,3311512
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,Brucella_sp,3360293,3247058,3347265
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,Brucella_sp,3313861,3240246,3313308
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,Brucella_sp,3361076,3240775,3340089
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,Brucella_sp,3307641,3234719,3307513
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,Brucella_sp,3376429,3302235,3376301
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,Brucella_sp,3306897,3237336,3306655
GCA_000691585.1_ASM69158v1_genomic,canis,3310315,3241783,3310286
GCA_000740135.1_ASM74013v1_genomic,abortus,3289500,3214868,3289456
GCA_000740155.1_ASM74015v1_genomic,abortus,3288518,3220027,3288504
GCA_000740235.1_ASM74023v1_genomic,suis,3319697,3249180,3319683
GCA_000740275.1_ASM74027v1_genomic,pinnipedialis,3331029,3243102,3331015
GCA_001307475.2_ASM130747v2_genomic,melitensis,3310789,3242320,3310775
GCA_001715385.1_ASM171538v1_genomic,Brucella_sp,3283485,3212452,3283471
GCA_001742815.1_ASM174281v1_genomic,Brucella_sp,3153099,3075171,3152027
GCA_001971625.1_ASM197162v1_genomic,Brucella_sp,3434749,3298267,3434735
GCA_001971805.1_ASM197180v1_genomic,Brucella_sp,3592978,3460751,3592964
GCA_009601725.1_ASM960172v1_genomic,Brucella_sp,3584454,3464857,3584440
GCA_014084005.1_ASM1408400v1_genomic,Brucella_sp,3378310,3298179,3378296
GCA_014495905.1_ASM1449590v1_genomic,Brucella_sp,3522910,3380331,3522896
GCA_015832115.1_ASM1583211v1_genomic,Brucella_sp,3290672,3219118,3290658
GCA_900000005.1_BVF60_genomic,vulpis,3238137,3058956,3238123
GCA_900092405.1_10RB9215v1_genomic,Brucella_sp,3562813,3437029,3562799
GCA_900095155.1_BR141012304v1_genomic,inopinata,3442381,3335623,3442367
