method,k,alpha,beta,sample,class,sample_silhouette_score,status
baseline_KL_w1,15,0.001,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.30813761,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.66189590,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.32638196,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.56146306,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.73341468,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.51976425,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.76075729,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.58155238,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.49150809,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.86409932,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.55505335,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.47719544,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.001,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.16115986,clear
baseline_KL_w1,15,0.001,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,-0.09939038,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.001,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.001,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.001,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.54332085,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.26877084,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.41494816,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.54938448,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.18112066,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.18736411,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.32084532,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.24942407,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.001,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.17286393,possibly_misplaced
baseline_KL_w1,15,0.001,NA,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.01,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.31194198,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.66221400,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.32808510,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.56241067,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.73208752,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.51808770,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.75663402,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.57951973,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.49142803,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.85963452,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.55318683,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.47745534,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.01,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.20476891,clear
baseline_KL_w1,15,0.01,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,-0.02793865,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.01,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.01,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.01,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.54505343,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.26836106,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.41105504,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.54099607,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.18154192,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.18790442,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.31422009,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.25222131,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.01,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.17212011,possibly_misplaced
baseline_KL_w1,15,0.01,NA,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.1,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.31786422,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.66118086,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.32810994,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.56073990,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.72641651,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.50894632,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.74467762,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.57025183,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.48543108,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.84833317,possibly_misplaced
