method,k,alpha,sample,class,sample_silhouette_score,status
baseline_KL_w1,21,1.0,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.31693391,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.37721315,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.41507634,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.56234103,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.58434070,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.68695725,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.57394513,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.55160587,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.62951200,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.64545223,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.72883674,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.69967956,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,21,1.0,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.78512503,clear
baseline_KL_w1,21,1.0,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.81681284,clear
baseline_KL_w1,21,1.0,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,21,1.0,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,21,1.0,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,21,1.0,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.80320212,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.28429656,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.45720829,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.41937126,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.27107549,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.45829263,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.18772746,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.57601932,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,21,1.0,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.19307694,possibly_misplaced
baseline_KL_w1,21,1.0,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,31,1.0,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.31493005,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.24001594,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.41112574,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.52350667,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.58882046,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.70735991,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.51910355,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.56756473,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.58934858,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.64397688,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.74845281,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.71506149,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,31,1.0,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.84323043,clear
baseline_KL_w1,31,1.0,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.86706534,clear
baseline_KL_w1,31,1.0,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,31,1.0,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,31,1.0,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,31,1.0,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.81336033,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.29264111,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.47089859,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.41939179,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.29833747,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.45066147,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.17603029,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.62269680,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,31,1.0,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.19769897,possibly_misplaced
baseline_KL_w1,31,1.0,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
