,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.2687187937446186,0.3222227621165559,0.2950332247036086,0.36746375163063205,0.3635043364881577,0.369598638879769,0.37042092253328013,0.328824961583292,0.27716669569534735,0.3487172925506614,0.35844641613974937,0.2749025179077155,0.07743098483242432,0.12710876878839747,0.3967231267023289,0.12740172953594298,0.2708084491237057,0.35975977370393425,0.1426883828075001,0.08062205744203835,0.08032636358761562,0.21907151232893346,0.30661039570457305,0.19495929566974787,0.19557833392385426,0.17157434846724123,0.21113918617697208,0.07088953570951947
GCA_000158995.1_ASM15899v1_genomic,0.2687187937446186,1.0,0.6351543545842606,0.3219119030893207,0.5291476704327828,0.5815707053250885,0.4596919829407496,0.5717307137580493,0.6840431062743649,0.8833249954895344,0.5796343153534593,0.5619797279557387,0.8554789387306135,0.24543059134218526,0.01104235487606569,0.4822204739094188,0.02518705617301033,0.8516199311933119,0.5503041687629083,0.17284462441370882,0.12632406274767286,0.12855562194205833,0.17282861477018024,0.29337253187456197,0.3319794718134193,0.25012604684148304,0.23235412444196749,0.25921017276256103,0.12195678232364773
GCA_000163135.1_ASM16313v1_genomic,0.3222227621165559,0.6351543545842606,1.0,0.49940744246026314,0.6095576432980172,0.7241715135849426,0.5534356259110628,0.716861752969572,0.6805891117102667,0.6826793758357772,0.677179609219645,0.7032161398823183,0.6719713407489306,0.14516942450519602,0.15137487076135747,0.5839895909810199,0.1679252891477548,0.6429775022501707,0.693968741024736,0.1373118692959427,0.09091389507146339,0.12971410249703527,0.21278829972006752,0.3302137320747237,0.2617578744538774,0.21687209290957377,0.1733857734916387,0.2599502059137391,0.08740919800705195
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.2950332247036086,0.3219119030893207,0.49940744246026314,1.0,0.6262288306327985,0.5620498170906285,0.7170814251357732,0.5879907325713506,0.5284854000581586,0.332129421195446,0.5572401174843543,0.5334318146345871,0.3112081064080351,0.3636832661847063,0.49376493541992905,0.7218573850871695,0.559933809497515,0.3297744861638301,0.5187816022270092,0.1823600296157825,0.15429643218454622,0.15510285227635923,0.2962196983618051,0.3244498379575767,0.1392751751597048,0.25292691515146687,0.127151194388894,0.2148518291066015,0.15073666104953845
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.36746375163063205,0.5291476704327828,0.6095576432980172,0.6262288306327985,1.0,0.776589074562219,0.8153175095287251,0.8100590802221957,0.6985870552005093,0.5074977622978776,0.8029769776078791,0.7647544465982873,0.5011959072675345,0.09555577988646168,0.22703512164272574,0.837488376291345,0.2605676560220593,0.5276866813779775,0.746486783226691,0.15730625595342904,0.09287262753602728,0.10843542397953972,0.24467929655689255,0.3263020154226904,0.20864432908485478,0.2002534574906612,0.14849859489602793,0.23365294450052784,0.08687786650439772
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.3635043364881577,0.5815707053250885,0.7241715135849426,0.5620498170906285,0.776589074562219,1.0,0.7348943754579854,0.9053890360319761,0.772464198655355,0.6863679254193754,0.8567087805421312,0.8893708666221398,0.6237688398331043,0.023130114996094023,0.18271400333898757,0.7384330910287669,0.19333353923253255,0.5940802258658511,0.8573764083563729,0.17210217202990222,0.12154873017641847,0.11651493551758398,0.23699186403404895,0.28490134605414713,0.24276182216505918,0.21663300833139684,0.1481511880250183,0.2629148766152256,0.11481389600288555
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.369598638879769,0.4596919829407496,0.5534356259110628,0.7170814251357732,0.8153175095287251,0.7348943754579854,1.0,0.7590743865824937,0.7008091285592899,0.47481075541121615,0.7358961998488874,0.6941166911249637,0.4475651979191273,0.1528283832294535,0.2783789848342385,0.893802642215607,0.3450543575436092,0.4763877907652792,0.6774827121037996,0.14542357071247727,0.09036533239268406,0.09702841118725523,0.2671845499755704,0.33346652661865067,0.19692690715882358,0.23143529230823118,0.17710842901561127,0.22127616221988763,0.08545690151780737
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.37042092253328013,0.5717307137580493,0.716861752969572,0.5879907325713506,0.8100590802221957,0.9053890360319761,0.7590743865824937,1.0,0.7897207365058535,0.6446386847159817,0.9359697659123397,0.8691105999734978,0.6153944804746874,0.036415238676237305,0.19888627141915005,0.7887543657653765,0.2075658414361271,0.5981673550781923,0.8655315264523833,0.18328794558304656,0.10698124556342446,0.13187246250062654,0.24842965696014913,0.308505369957072,0.23781208133795637,0.20172763875607722,0.1474148149263333,0.2557429274058611,0.10292136404846645
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.328824961583292,0.6840431062743649,0.6805891117102667,0.5284854000581586,0.6985870552005093,0.772464198655355,0.7008091285592899,0.7897207365058535,1.0,0.739166969120731,0.7686676264491983,0.7070270244031349,0.6736322735801221,0.12952269594108956,0.1270519459316844,0.6738190736366807,0.18430635330294784,0.6750109286546916,0.698852279120445,0.20571894317920486,0.13207098813153206,0.12273062600683399,0.20801896387999694,0.27812189453647085,0.27969180477697236,0.15339101777816258,0.1875429354614672,0.2716463839758276,0.12992841062430932
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.27716669569534735,0.8833249954895344,0.6826793758357772,0.332129421195446,0.5074977622978776,0.6863679254193754,0.47481075541121615,0.6446386847159817,0.739166969120731,1.0,0.6107338249224624,0.6213407888288512,0.9154525065567151,0.23856450309230523,0.03226269550770071,0.47994440502721714,0.028202305162031645,0.8691657180132655,0.6111747667189674,0.1850717958783968,0.13264599242554026,0.1357052362161262,0.1756701298344902,0.29738775428358544,0.34476361897161006,0.2567611288877086,0.24565392987157383,0.2677321400482444,0.12808352262253114
GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,0.3487172925506614,0.5796343153534593,0.677179609219645,0.5572401174843543,0.8029769776078791,0.8567087805421312,0.7358961998488874,0.9359697659123397,0.7686676264491983,0.6107338249224624,1.0,0.819602689470768,0.5810050588597612,0.033200183320980174,0.1859504510912005,0.7444539066858697,0.19744927929025277,0.565323865339799,0.8167102414472786,0.1732455146509505,0.10508784906649422,0.1317809622426855,0.24319137084661052,0.3020385932766035,0.24368320114410177,0.18995396678945034,0.13746767453154096,0.2507997007084966,0.10088239157719013
GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,0.35844641613974937,0.5619797279557387,0.7032161398823183,0.5334318146345871,0.7647544465982873,0.8893708666221398,0.6941166911249637,0.8691105999734978,0.7070270244031349,0.6213407888288512,0.819602689470768,1.0,0.6642111106187351,0.016471899821706062,0.18398101972993355,0.7287539138318977,0.17646425285160383,0.5809508132846335,0.8517784327896317,0.1736055620793697,0.11981167146962579,0.11322704022856647,0.23663502771971442,0.2820464315273458,0.2332846643074136,0.2110146570388666,0.13940215281519028,0.2596750948440582,0.11358900797962149
GCA_000691585.1_ASM69158v1_genomic,0.2749025179077155,0.8554789387306135,0.6719713407489306,0.3112081064080351,0.5011959072675345,0.6237688398331043,0.4475651979191273,0.6153944804746874,0.6736322735801221,0.9154525065567151,0.5810050588597612,0.6642111106187351,1.0,0.23445818880876687,0.030573243393356018,0.47425357216695563,0.019682724696729353,0.8588348499597741,0.6042701824221801,0.18319656541482363,0.13257302601385856,0.13369113698743676,0.1740371130905775,0.2942725704095011,0.33799928658830847,0.25419561142309083,0.23992513605082544,0.26594172195938737,0.1277647421403584
GCA_000740135.1_ASM74013v1_genomic,0.07743098483242432,0.24543059134218526,0.14516942450519602,0.3636832661847063,0.09555577988646168,0.023130114996094023,0.1528283832294535,0.036415238676237305,0.12952269594108956,0.23856450309230523,0.033200183320980174,0.016471899821706062,0.23445818880876687,1.0,0.8132499852885275,0.1541078349126147,0.7922063302136453,0.25159790710103014,0.013918875050036389,0.32069643176688556,0.4028313832616716,0.38638481969042443,0.13197900724857808,0.16121786148545308,0.09777836746714758,0.28415160392203953,0.25525130712626987,0.09163180383398481,0.3957602998658935
GCA_000740155.1_ASM74015v1_genomic,0.12710876878839747,0.01104235487606569,0.15137487076135747,0.49376493541992905,0.22703512164272574,0.18271400333898757,0.2783789848342385,0.19888627141915005,0.1270519459316844,0.03226269550770071,0.1859504510912005,0.18398101972993355,0.030573243393356018,0.8132499852885275,1.0,0.2908461628563594,0.9087947396811491,0.013741435654042644,0.1940072181965551,0.31899451348493735,0.4050330208907836,0.377316674733291,0.16638753168596884,0.1418361207478631,0.016017029505120062,0.24665019142631284,0.18140395895146308,0.081424215479022,0.39675064953298267
GCA_000740235.1_ASM74023v1_genomic,0.3967231267023289,0.4822204739094188,0.5839895909810199,0.7218573850871695,0.837488376291345,0.7384330910287669,0.893802642215607,0.7887543657653765,0.6738190736366807,0.47994440502721714,0.7444539066858697,0.7287539138318977,0.47425357216695563,0.1541078349126147,0.2908461628563594,1.0,0.3320751272082139,0.5019464524657966,0.7214484674657773,0.14920286754557013,0.09108471777220853,0.09253601903628922,0.2747379449080595,0.34574785750279136,0.1950892812701745,0.2437657973960386,0.17400455919880245,0.22848613614480973,0.08530662746651511
GCA_000740275.1_ASM74027v1_genomic,0.12740172953594298,0.02518705617301033,0.1679252891477548,0.559933809497515,0.2605676560220593,0.19333353923253255,0.3450543575436092,0.2075658414361271,0.18430635330294784,0.028202305162031645,0.19744927929025277,0.17646425285160383,0.019682724696729353,0.7922063302136453,0.9087947396811491,0.3320751272082139,1.0,0.037219241991415956,0.17071159821238216,0.3177598749418063,0.4150073842682783,0.39627583882781947,0.17372389730306084,0.15106568160612124,0.023719832017694793,0.2499585551429249,0.1953389882640765,0.08373606015612821,0.40587856379445725
GCA_001307475.2_ASM130747v2_genomic,0.2708084491237057,0.8516199311933119,0.6429775022501707,0.3297744861638301,0.5276866813779775,0.5940802258658511,0.4763877907652792,0.5981673550781923,0.6750109286546916,0.8691657180132655,0.565323865339799,0.5809508132846335,0.8588348499597741,0.25159790710103014,0.013741435654042644,0.5019464524657966,0.037219241991415956,1.0,0.605878922253054,0.1795270790838594,0.12950969937997842,0.13155516080409393,0.17165881976755337,0.2898331772397197,0.33209832046802573,0.24961890773280326,0.2365381513366637,0.2616100541946502,0.12456724502951799
GCA_001715385.1_ASM171538v1_genomic,0.35975977370393425,0.5503041687629083,0.693968741024736,0.5187816022270092,0.746486783226691,0.8573764083563729,0.6774827121037996,0.8655315264523833,0.698852279120445,0.6111747667189674,0.8167102414472786,0.8517784327896317,0.6042701824221801,0.013918875050036389,0.1940072181965551,0.7214484674657773,0.17071159821238216,0.605878922253054,1.0,0.17046776495155055,0.11610863102522066,0.111978084398793,0.2262445473993703,0.2760874062152124,0.23083123711899506,0.20309130466868863,0.1408681881608034,0.2637962465905191,0.10983206435657158
GCA_001742815.1_ASM174281v1_genomic,0.1426883828075001,0.17284462441370882,0.1373118692959427,0.1823600296157825,0.15730625595342904,0.17210217202990222,0.14542357071247727,0.18328794558304656,0.20571894317920486,0.1850717958783968,0.1732455146509505,0.1736055620793697,0.18319656541482363,0.32069643176688556,0.31899451348493735,0.14920286754557013,0.3177598749418063,0.1795270790838594,0.17046776495155055,1.0,0.4005016352761124,0.2659807149177215,0.14388584476789018,0.19006789713218383,0.13915909802465073,0.15696135410175174,0.15014722042041637,0.1713536923124246,0.3979930792441991
GCA_001971625.1_ASM197162v1_genomic,0.08062205744203835,0.12632406274767286,0.09091389507146339,0.15429643218454622,0.09287262753602728,0.12154873017641847,0.09036533239268406,0.10698124556342446,0.13207098813153206,0.13264599242554026,0.10508784906649422,0.11981167146962579,0.13257302601385856,0.4028313832616716,0.4050330208907836,0.09108471777220853,0.4150073842682783,0.12950969937997842,0.11610863102522066,0.4005016352761124,1.0,0.374433892579986,0.11003163606240778,0.024779703772220836,0.11468098046543607,0.22842827015555328,0.174751460682923,0.1520474688742763,0.5727253000925152
GCA_001971805.1_ASM197180v1_genomic,0.08032636358761562,0.12855562194205833,0.12971410249703527,0.15510285227635923,0.10843542397953972,0.11651493551758398,0.09702841118725523,0.13187246250062654,0.12273062600683399,0.1357052362161262,0.1317809622426855,0.11322704022856647,0.13369113698743676,0.38638481969042443,0.377316674733291,0.09253601903628922,0.39627583882781947,0.13155516080409393,0.111978084398793,0.2659807149177215,0.374433892579986,1.0,0.11203758556757469,0.13182598249963945,0.10275592381699379,0.2116864041115028,0.1725576129045714,0.1251991329122019,0.3658843956144807
GCA_009601725.1_ASM960172v1_genomic,0.21907151232893346,0.17282861477018024,0.21278829972006752,0.2962196983618051,0.24467929655689255,0.23699186403404895,0.2671845499755704,0.24842965696014913,0.20801896387999694,0.1756701298344902,0.24319137084661052,0.23663502771971442,0.1740371130905775,0.13197900724857808,0.16638753168596884,0.2747379449080595,0.17372389730306084,0.17165881976755337,0.2262445473993703,0.14388584476789018,0.11003163606240778,0.11203758556757469,1.0,0.3131694000472958,0.18693498142940518,0.26911782769154685,0.13104141443436898,0.2206439630587556,0.1442149304807688
GCA_014084005.1_ASM1408400v1_genomic,0.30661039570457305,0.29337253187456197,0.3302137320747237,0.3244498379575767,0.3263020154226904,0.28490134605414713,0.33346652661865067,0.308505369957072,0.27812189453647085,0.29738775428358544,0.3020385932766035,0.2820464315273458,0.2942725704095011,0.16121786148545308,0.1418361207478631,0.34574785750279136,0.15106568160612124,0.2898331772397197,0.2760874062152124,0.19006789713218383,0.024779703772220836,0.13182598249963945,0.3131694000472958,1.0,0.2575447847087596,0.28732285630184384,0.19616758411397617,0.21521304580637501,0.014952101624096574
GCA_014495905.1_ASM1449590v1_genomic,0.19495929566974787,0.3319794718134193,0.2617578744538774,0.1392751751597048,0.20864432908485478,0.24276182216505918,0.19692690715882358,0.23781208133795637,0.27969180477697236,0.34476361897161006,0.24368320114410177,0.2332846643074136,0.33799928658830847,0.09777836746714758,0.016017029505120062,0.1950892812701745,0.023719832017694793,0.33209832046802573,0.23083123711899506,0.13915909802465073,0.11468098046543607,0.10275592381699379,0.18693498142940518,0.2575447847087596,1.0,0.2078537209059606,0.18776860790295788,0.21384890951713628,0.10314957296745482
GCA_015832115.1_ASM1583211v1_genomic,0.19557833392385426,0.25012604684148304,0.21687209290957377,0.25292691515146687,0.2002534574906612,0.21663300833139684,0.23143529230823118,0.20172763875607722,0.15339101777816258,0.2567611288877086,0.18995396678945034,0.2110146570388666,0.25419561142309083,0.28415160392203953,0.24665019142631284,0.2437657973960386,0.2499585551429249,0.24961890773280326,0.20309130466868863,0.15696135410175174,0.22842827015555328,0.2116864041115028,0.26911782769154685,0.28732285630184384,0.2078537209059606,1.0,0.19398055806017062,0.168348352729434,0.2258310446707915
GCA_900000005.1_BVF60_genomic,0.17157434846724123,0.23235412444196749,0.1733857734916387,0.127151194388894,0.14849859489602793,0.1481511880250183,0.17710842901561127,0.1474148149263333,0.1875429354614672,0.24565392987157383,0.13746767453154096,0.13940215281519028,0.23992513605082544,0.25525130712626987,0.18140395895146308,0.17400455919880245,0.1953389882640765,0.2365381513366637,0.1408681881608034,0.15014722042041637,0.174751460682923,0.1725576129045714,0.13104141443436898,0.19616758411397617,0.18776860790295788,0.19398055806017062,1.0,0.10860430545932538,0.15774562651771873
GCA_900092405.1_10RB9215v1_genomic,0.21113918617697208,0.25921017276256103,0.2599502059137391,0.2148518291066015,0.23365294450052784,0.2629148766152256,0.22127616221988763,0.2557429274058611,0.2716463839758276,0.2677321400482444,0.2507997007084966,0.2596750948440582,0.26594172195938737,0.09163180383398481,0.081424215479022,0.22848613614480973,0.08373606015612821,0.2616100541946502,0.2637962465905191,0.1713536923124246,0.1520474688742763,0.1251991329122019,0.2206439630587556,0.21521304580637501,0.21384890951713628,0.168348352729434,0.10860430545932538,1.0,0.14798024398088327
GCA_900095155.1_BR141012304v1_genomic,0.07088953570951947,0.12195678232364773,0.08740919800705195,0.15073666104953845,0.08687786650439772,0.11481389600288555,0.08545690151780737,0.10292136404846645,0.12992841062430932,0.12808352262253114,0.10088239157719013,0.11358900797962149,0.1277647421403584,0.3957602998658935,0.39675064953298267,0.08530662746651511,0.40587856379445725,0.12456724502951799,0.10983206435657158,0.3979930792441991,0.5727253000925152,0.3658843956144807,0.1442149304807688,0.014952101624096574,0.10314957296745482,0.2258310446707915,0.15774562651771873,0.14798024398088327,1.0
