,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.4945093112063125,0.43994544135591274,0.4938385872486727,0.38836233617535454,0.3997477284180393,0.40582952010337336,0.3926923435251257,0.45060230307924987,0.49381945584113973,0.410204302593014,0.39446916968763035,0.48943954924758515,0.871123659797496,0.772566111851136,0.36711447648870044,0.7802232513055659,0.49359424127220575,0.3902868688691512,0.7069708853717918,0.8278809429711839,0.8378375595022514,0.5640983118375136,0.46402782231592377,0.5776131966477764,0.6182841705236202,0.7000384664171888,0.5728324693089117,0.8378944710058218
GCA_000158995.1_ASM15899v1_genomic,0.4945093112063125,0.0,0.24116774258545526,0.5203406685015878,0.3200258094296834,0.27806407961481205,0.38409680871648144,0.2827794462280371,0.2330813082984129,0.06863033253764761,0.2844328633999579,0.27898187630045124,0.07029123233513357,0.7411203543551028,0.9474514003802419,0.35551826192418545,0.9379110781469555,0.06882275669056592,0.28752101488278226,0.694510074219277,0.7783983496287775,0.7873153831765983,0.6188265521248331,0.4781963241755347,0.40195613243530115,0.5625088382922476,0.6405182592176213,0.5071960773570806,0.7835921979076976
GCA_000163135.1_ASM16313v1_genomic,0.43994544135591274,0.24116774258545526,0.0,0.36582510226486686,0.243558081154021,0.17050490972634524,0.301721730246852,0.17990520558432832,0.21984101748272855,0.2106323560594704,0.2016603103281165,0.17726699582618455,0.21030124090432933,0.82979626763951,0.7876532077454932,0.2709280584029561,0.7657942303331469,0.22729635254984715,0.18363689516448412,0.7216716597589246,0.8084730009972252,0.7671704495297106,0.5774273848150063,0.443638518603238,0.48667706973995206,0.5956060788403039,0.6987194443135267,0.5057779083316388,0.8117681445574275
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.4938385872486727,0.5203406685015878,0.36582510226486686,0.0,0.2543829509742287,0.30443782978341527,0.18514332625570962,0.28804555858599756,0.3311505456723326,0.5021351319389675,0.30290788276723446,0.32153317479237653,0.5162215789472271,0.6589523940046165,0.48442424325530886,0.1880376558350092,0.4195441447884537,0.5035215478470187,0.33111134025233635,0.6980042855856295,0.7731947411894182,0.7665093483175796,0.49454662291052076,0.4755479648784847,0.6536784843088452,0.5898917261641194,0.7616282300182797,0.5823955417899158,0.77372652047588
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.38836233617535454,0.3200258094296834,0.243558081154021,0.2543829509742287,0.0,0.12864545480423772,0.11202288490658618,0.10383898941291403,0.19324908879899372,0.3284223190243911,0.10131206884036836,0.125738410945483,0.326162877880929,0.8686799595797394,0.6902868769318014,0.08638724865845127,0.6642833421641863,0.31276449944429263,0.13707402431221694,0.6911498003328649,0.7973745705941792,0.7894100461958533,0.5210080427016186,0.4346576429007366,0.5440504829224957,0.6083618684113469,0.7226324803141264,0.5239277163644653,0.8048449563713571
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.3997477284180393,0.27806407961481205,0.17050490972634524,0.30443782978341527,0.12864545480423772,0.0,0.1736593772763818,0.05163725228797156,0.15514847003641363,0.20938909624276658,0.07485661399067489,0.05582246672109159,0.24517665755468332,0.9325748619704723,0.7397947565394173,0.1590118800053848,0.7219602116369526,0.259827576706816,0.07122401150824953,0.6745715350861963,0.764846468916403,0.7775963039875958,0.5419617398654067,0.48769532922703374,0.5091547099456325,0.5931244391664955,0.720764318510968,0.4997150649841219,0.7717438856952965
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.40582952010337336,0.38409680871648144,0.301721730246852,0.18514332625570962,0.11202288490658618,0.1736593772763818,0.0,0.15825641857807793,0.18406451206090257,0.36585439098217465,0.15735009614485485,0.19658622249117574,0.38301426183534704,0.8147818142717423,0.6497216842388196,0.05991071370731005,0.5740197593981926,0.36617879560464894,0.20422347439313182,0.7114190320849358,0.809046764514669,0.7995483810825512,0.5090651068232185,0.44351470309292396,0.5592082974131416,0.5883386398945064,0.6869904422250662,0.5506968556449368,0.8136538397721624
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.3926923435251257,0.2827794462280371,0.17990520558432832,0.28804555858599756,0.10383898941291403,0.05163725228797156,0.15825641857807793,0.0,0.14092582157680378,0.2366002331563064,0.03006032622390986,0.06572780097327391,0.2512158069548376,0.9159791055134053,0.7219693886117431,0.12978523621612104,0.7125043841040821,0.26045648390055365,0.07084501713085511,0.6609658694215315,0.7813364418297268,0.7593522954092266,0.526497962026403,0.46256379527366287,0.5158769319905345,0.6084246095140617,0.7216957450848602,0.5098490946819207,0.7851906554475495
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.45060230307924987,0.2330813082984129,0.21984101748272855,0.3311505456723326,0.19324908879899372,0.15514847003641363,0.18406451206090257,0.14092582157680378,0.0,0.19217365759397131,0.1383004849077426,0.19195421154193204,0.22809087895736158,0.835142422450356,0.7982764732752277,0.2198573433141937,0.7262186889938,0.22204449066788445,0.19357909591626188,0.6482675425024134,0.7617128448513227,0.7673969793842886,0.5808192957635605,0.5025146262317021,0.46598941524596205,0.676216529541982,0.6758941205590443,0.5005277178638192,0.7627958547657391
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.49381945584113973,0.06863033253764761,0.2106323560594704,0.5021351319389675,0.3284223190243911,0.20938909624276658,0.36585439098217465,0.2366002331563064,0.19217365759397131,0.0,0.2549779759471342,0.24660977844091336,0.042474258324844416,0.7483251957148596,0.9267413437359104,0.3581211932890409,0.9179893301539168,0.0644596837091409,0.2526698507284947,0.677202083681715,0.7700725092992413,0.7719463226317721,0.6215590357967293,0.48279975986024326,0.391792096835721,0.560819212793722,0.6262289221340487,0.5025489399095635,0.7750545939875713
