,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.46432514310314243,0.4139095678879714,0.46563414934267167,0.34832000383928785,0.3687724388723036,0.3656208608392806,0.361078756470815,0.41327770116880824,0.4685199371329778,0.3670579191380665,0.36435405961292044,0.46346613369561795,0.8654587872916605,0.7626430061453225,0.33293538387166255,0.7675197353319941,0.467752148496992,0.36469972672665085,0.7069009909046278,0.8118366518738526,0.8135693492438991,0.5002230650098418,0.42447530763558294,0.5251144519822466,0.6013573357637899,0.6919134888101766,0.5136010783045655,0.8223533606070194
GCA_000158995.1_ASM15899v1_genomic,0.46432514310314243,0.0,0.2320036786843248,0.5186224185207027,0.3165392950706998,0.27276878099055746,0.3797294504685522,0.2778158108493207,0.2274618355870779,0.0604072162336905,0.27586532603643754,0.2724508553197832,0.06284677107207448,0.737377652101394,0.946675538763068,0.3522057238391896,0.9378049843914908,0.06150198353647285,0.2758760997712696,0.6761867090560953,0.7717906062535567,0.7703287721700648,0.5894348171216728,0.4716509585944566,0.36762652101135107,0.5563442114045236,0.629405356977992,0.47263249767716753,0.7766288782868637
GCA_000163135.1_ASM16313v1_genomic,0.4139095678879714,0.2320036786843248,0.0,0.36047671932533976,0.2304499988516846,0.1666288322001691,0.2882170094916827,0.1757348791430826,0.2045638272059137,0.20811358103180344,0.18222757799717137,0.17482797781491255,0.2071386521053321,0.8294006584168763,0.7870959297887369,0.26592240447388094,0.7633743401665227,0.2240902877751224,0.18023556804829222,0.7086600347859786,0.8003089021527232,0.7452981752542898,0.5389263149402294,0.4297706143501274,0.45028092002321285,0.5948108074139256,0.6931795366251525,0.4642827941132658,0.8032894903685337
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.46563414934267167,0.5186224185207027,0.36047671932533976,0.0,0.24786140611115004,0.3018462607534421,0.1764046249091452,0.2856857035741017,0.3238184304094919,0.49954156384826476,0.29200425623217674,0.3178445268226875,0.5140960969481716,0.6552700007135707,0.478700096642358,0.1867819425183349,0.4184603747201151,0.5014119686355956,0.32263608086847695,0.6810961843006119,0.7655703040843574,0.7468867760993129,0.4534734493750693,0.4670432526160513,0.6324122206987413,0.5856128675294092,0.7551600628450443,0.5513945559024416,0.7655823240882011
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.34832000383928785,0.3165392950706998,0.2304499988516846,0.24786140611115004,0.0,0.1177205398603024,0.11029703389115186,0.09297808389613116,0.191492368388535,0.318988333825041,0.09522269079753842,0.11325495058399426,0.3172566063176754,0.866088479112737,0.6840787957991208,0.07695859897608204,0.6619824313764984,0.30378213495444917,0.1183997782635623,0.6708466266880492,0.7924229541927125,0.7738350175201091,0.4868896529111222,0.43050764613211734,0.5204624807593471,0.6007782538756855,0.712546721687527,0.4933009925998899,0.7996203495929839
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.3687724388723036,0.27276878099055746,0.1666288322001691,0.3018462607534421,0.1177205398603024,0.0,0.16165229202824372,0.051249812649918014,0.14266977360111255,0.20822490208291833,0.05683032710499436,0.054219066773109614,0.2446764404822892,0.9321016101496088,0.7378895894489926,0.157184735356653,0.7204012685301244,0.2594431708167083,0.0629780390297342,0.6576924048074622,0.7560055040073634,0.7579329381232459,0.5027486750981172,0.4774164537562219,0.47695485171004137,0.5904155363809938,0.7142765485875497,0.46042737942185896,0.7626157398382785
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.3656208608392806,0.3797294504685522,0.2882170094916827,0.1764046249091452,0.11029703389115186,0.16165229202824372,0.0,0.14637916108825977,0.1838743643773898,0.35567888676938,0.15329398450300302,0.18350802752073003,0.3736283703828722,0.8107523938730794,0.6419921785006921,0.04834379965225388,0.5702608952570867,0.35663030759237535,0.1853881962047561,0.6918118158685851,0.8047683004758085,0.7851702070173778,0.4751854094236794,0.44052295601971225,0.5373478024033094,0.5795359695254183,0.6749554137476113,0.5227766496222339,0.8090453323655826
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.361078756470815,0.2778158108493207,0.1757348791430826,0.2856857035741017,0.09297808389613116,0.051249812649918014,0.14637916108825977,0.0,0.1285981430759675,0.2351633131970844,0.011572660737670715,0.06375824171595323,0.25041328162841336,0.9153545606649132,0.71981845456022,0.1282513610145719,0.7110110978428394,0.2597699610866565,0.0622093234470702,0.6432278912211057,0.7732115072701276,0.7381920986849815,0.48618846477964595,0.4520089315773309,0.4843422383726137,0.6056554643108825,0.7151105886844903,0.4715896659266132,0.7766950595384269
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.41327770116880824,0.2274618355870779,0.2045638272059137,0.3238184304094919,0.191492368388535,0.14266977360111255,0.1838743643773898,0.1285981430759675,0.0,0.17901693491925308,0.1343553323378769,0.17860613767696598,0.21616282410779142,0.831515842725201,0.793775987409307,0.21007212064010095,0.7237379008733331,0.2101378352792298,0.17429496892390672,0.6242761977108829,0.756431838599737,0.7507747828011602,0.5520028613558006,0.49995720109047803,0.43964280553189483,0.6692142682850433,0.6633510222610348,0.4696210839206403,0.7569875947566554
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.4685199371329778,0.0604072162336905,0.20811358103180344,0.49954156384826476,0.318988333825041,0.20822490208291833,0.35567888676938,0.2351633131970844,0.17901693491925308,0.0,0.2393211755313549,0.24644025837835837,0.04169985166615864,0.7469334167955025,0.9263140964443596,0.3557773416947725,0.9174073834337905,0.06356887268937517,0.24715158073463495,0.6609834148928033,0.7610636191282958,0.7513862223025534,0.5885045620353211,0.47163026098523364,0.35087708397363115,0.5585486359975751,0.6181191928957601,0.4626327806276024,0.7657007022895884
