,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.378013976074756,0.418150465753322,0.37837939224947126,0.4608976031496717,0.45552996586188216,0.4479896274071049,0.46044422872125396,0.4164088151308638,0.38039505765119624,0.4469469969326804,0.4535854078919854,0.3792054012150325,0.07004625672766575,0.14623928729037658,0.47946471928031936,0.14385469790046845,0.37441547529650154,0.45518823911235096,0.20130099149019962,0.10289561209298038,0.09950547359956392,0.31866342647848556,0.397263893784275,0.3105767047763649,0.2708178608093646,0.2134447305223475,0.32162577288597627,0.09442673714366863
GCA_000158995.1_ASM15899v1_genomic,0.378013976074756,1.0,0.730659004616279,0.4522720069157408,0.6505505348165759,0.7071368885281456,0.590052711127603,0.6991422239916247,0.7551853850197219,0.9253213205149345,0.6979654250438805,0.6895247568609025,0.9020793009905133,0.21870371261589996,0.007922295284886346,0.6168964187895809,0.018959863957701276,0.9001025222801377,0.6790122783212673,0.21306014432049936,0.14050885834785373,0.1395976169252255,0.27640085645510415,0.3885163946521369,0.4499662219830588,0.31539702918647217,0.2635730701891649,0.37354568746665245,0.13547192770496688
GCA_000163135.1_ASM16313v1_genomic,0.418150465753322,0.730659004616279,1.0,0.5995301705519533,0.7226732299760524,0.7990635379664495,0.660912885100517,0.7923661986656987,0.7502698565914141,0.757990437061057,0.7704399287382308,0.7868430652622048,0.7530816249117842,0.12361358428246706,0.16448038242414043,0.6970681028077819,0.18783778056832046,0.733058603914396,0.7780443883200946,0.1882845815584721,0.11472534946466603,0.15226317812526732,0.3064698488445074,0.413979879338231,0.37973665631076897,0.28568938549143025,0.21633999967251671,0.37354290654600164,0.111368645855005
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.37837939224947126,0.4522720069157408,0.5995301705519533,1.0,0.7188433193923867,0.6719379429404736,0.7924527606459566,0.6929031655406998,0.6443654755816833,0.46425898414877154,0.6781728602806191,0.6475649722497916,0.4465313354552214,0.300101565047641,0.47798303364257516,0.7891244470388148,0.5550871448582873,0.45741594257080453,0.6349525570867309,0.21548030457910122,0.14822760721270148,0.1568156820542217,0.378103665558009,0.39154414728600073,0.24928390592924804,0.2961474016334732,0.1665824435108092,0.31523675142674235,0.14753192577575716
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.4608976031496717,0.6505505348165759,0.7226732299760524,0.7188433193923867,1.0,0.8478541386587373,0.8589262639579907,0.8749131915181799,0.7809859669749072,0.641104922103645,0.87691190483753,0.8427750529370993,0.6377752613571561,0.08762472766418167,0.267372304151775,0.8910561145108948,0.29623053203792726,0.6490599868679927,0.8286592021141698,0.216630320498995,0.12541533666772134,0.1360732477932893,0.3530930552427988,0.42199317825243604,0.3357813761062319,0.27792922747459364,0.1979815067344563,0.3591674250356129,0.11932247960607419
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.45552996586188216,0.7071368885281456,0.7990635379664495,0.6719379429404736,0.8478541386587373,1.0,0.8021327126250454,0.937309041015162,0.835501949772072,0.7762677918573093,0.913687156675199,0.9207789214450947,0.7253613984035586,0.020773144220353194,0.21764602131656618,0.8187794132042824,0.23670311896602372,0.7068177147609944,0.9015897793403395,0.2320431647965502,0.15322584081032534,0.14568655624862104,0.339995796707046,0.38326997599562723,0.36670642544739096,0.29203493316446627,0.1973573121815597,0.3835257713786977,0.1467836157537438
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.4479896274071049,0.590052711127603,0.660912885100517,0.7924527606459566,0.8589262639579907,0.8021327126250454,1.0,0.8211449844742559,0.7912600925556156,0.602100888719196,0.821899505757131,0.771500709078198,0.5808377248996845,0.14074185375285836,0.30789497404626265,0.9151980108153033,0.3913064789165765,0.5943020646165477,0.7598055728554762,0.20368772781621644,0.11860714787751558,0.12888627676471237,0.3644292551416845,0.4166212479630386,0.3244526535457773,0.2962309217653562,0.22649765111934786,0.3408969044426296,0.11457909191427311
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.46044422872125396,0.6991422239916247,0.7923661986656987,0.6929031655406998,0.8749131915181799,0.937309041015162,0.8211449844742559,1.0,0.8447278216079127,0.7425605617775386,0.9679400916429596,0.9107313199101722,0.7193973059038099,0.037316621926165305,0.23523756933436804,0.8508224001512259,0.2501457599684223,0.7067012449954709,0.9023973152844058,0.24241811017925918,0.1395757614233665,0.1606264013360965,0.3518116488676744,0.40326853763674436,0.3615051309436435,0.2790606730234746,0.19739718574933152,0.3750766104841905,0.13545312813884744
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.4164088151308638,0.7551853850197219,0.7502698565914141,0.6443654755816833,0.7809859669749072,0.835501949772072,0.7912600925556156,0.8447278216079127,1.0,0.7963713737139725,0.8472195447987013,0.7821392806918913,0.7444084866409354,0.12050840535132748,0.15810964954848106,0.7553875380058015,0.2331942854651648,0.7458371349370053,0.7761881359969386,0.2551146609708646,0.15656895015948427,0.1539714777659364,0.31051642367706916,0.37311933349320636,0.4006157391829193,0.22861399036350036,0.2370381454556308,0.3834629008851953,0.15458064144077122
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.38039505765119624,0.9253213205149345,0.757990437061057,0.46425898414877154,0.641104922103645,0.7762677918573093,0.602100888719196,0.7425605617775386,0.7963713737139725,1.0,0.724109992271094,0.7240115573800013,0.9330596945931579,0.2086754454698041,0.025567547043673408,0.6118703826546783,0.0305793149774582,0.9060706397382341,0.7151699565123142,0.22851210076908174,0.1479305870885067,0.1500989962080397,0.27637641273987773,0.3879565397213742,0.45946920157162224,0.3185266945003453,0.27212099021937763,0.38044953043588453,0.1425871784602394
