,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,1.0,0.5356748568968576,0.5860904321120286,0.5343658506573283,0.6516799961607121,0.6312275611276964,0.6343791391607194,0.638921243529185,0.5867222988311918,0.5314800628670222,0.6329420808619335,0.6356459403870796,0.536533866304382,0.1345412127083395,0.23735699385467743,0.6670646161283375,0.23248026466800586,0.532247851503008,0.6353002732733491,0.29309900909537223,0.18816334812614743,0.18643065075610085,0.49977693499015813,0.5755246923644171,0.47488554801775346,0.3986426642362101,0.3080865111898234,0.4863989216954345,0.17764663939298064
GCA_000158995.1_ASM15899v1_genomic,0.5356748568968576,1.0,0.7679963213156752,0.48137758147929727,0.6834607049293002,0.7272312190094425,0.6202705495314478,0.7221841891506793,0.7725381644129221,0.9395927837663095,0.7241346739635625,0.7275491446802168,0.9371532289279255,0.26262234789860595,0.05332446123693198,0.6477942761608104,0.06219501560850921,0.9384980164635272,0.7241239002287304,0.32381329094390465,0.22820939374644336,0.22967122782993524,0.41056518287832716,0.5283490414055434,0.6323734789886489,0.44365578859547644,0.3705946430220079,0.5273675023228325,0.22337112171313633
GCA_000163135.1_ASM16313v1_genomic,0.5860904321120286,0.7679963213156752,1.0,0.6395232806746602,0.7695500011483154,0.8333711677998309,0.7117829905083173,0.8242651208569174,0.7954361727940863,0.7918864189681966,0.8177724220028286,0.8251720221850875,0.7928613478946679,0.1705993415831238,0.21290407021126315,0.7340775955261191,0.23662565983347728,0.7759097122248776,0.8197644319517078,0.29133996521402133,0.19969109784727673,0.2547018247457103,0.46107368505977064,0.5702293856498726,0.5497190799767872,0.4051891925860744,0.3068204633748475,0.5357172058867342,0.19671050963146627
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.5343658506573283,0.48137758147929727,0.6395232806746602,1.0,0.75213859388885,0.6981537392465579,0.8235953750908548,0.7143142964258983,0.6761815695905081,0.5004584361517352,0.7079957437678233,0.6821554731773125,0.48590390305182835,0.34472999928642933,0.521299903357642,0.8132180574816651,0.5815396252798849,0.4985880313644044,0.677363919131523,0.3189038156993881,0.23442969591564258,0.25311322390068713,0.5465265506249307,0.5329567473839487,0.36758777930125874,0.4143871324705907,0.24483993715495572,0.4486054440975585,0.23441767591179888
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.6516799961607121,0.6834607049293002,0.7695500011483154,0.75213859388885,1.0,0.8822794601396976,0.8897029661088481,0.9070219161038688,0.808507631611465,0.681011666174959,0.9047773092024616,0.8867450494160057,0.6827433936823246,0.13391152088726305,0.31592120420087927,0.923041401023918,0.33801756862350163,0.6962178650455508,0.8816002217364377,0.3291533733119508,0.20757704580728756,0.22616498247989095,0.5131103470888778,0.5694923538678827,0.4795375192406529,0.3992217461243145,0.28745327831247297,0.5066990074001101,0.20037965040701616
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.6312275611276964,0.7272312190094425,0.8333711677998309,0.6981537392465579,0.8822794601396976,1.0,0.8383477079717563,0.948750187350082,0.8573302263988875,0.7917750979170817,0.9431696728950056,0.9457809332268904,0.7553235595177108,0.06789838985039118,0.26211041055100737,0.842815264643347,0.2795987314698755,0.7405568291832917,0.9370219609702658,0.3423075951925378,0.2439944959926366,0.24206706187675409,0.4972513249018828,0.5225835462437781,0.5230451482899586,0.4095844636190062,0.28572345141245026,0.539572620578141,0.23738426016172154
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.6343791391607194,0.6202705495314478,0.7117829905083173,0.8235953750908548,0.8897029661088481,0.8383477079717563,1.0,0.8536208389117402,0.8161256356226102,0.64432111323062,0.846706015496997,0.81649197247927,0.6263716296171278,0.18924760612692063,0.35800782149930793,0.9516562003477461,0.4297391047429133,0.6433696924076246,0.8146118037952439,0.3081881841314149,0.1952316995241915,0.21482979298262223,0.5248145905763206,0.5594770439802877,0.4626521975966907,0.42046403047458164,0.3250445862523888,0.4772233503777661,0.19095466763441743
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.638921243529185,0.7221841891506793,0.8242651208569174,0.7143142964258983,0.9070219161038688,0.948750187350082,0.8536208389117402,1.0,0.8714018569240325,0.7648366868029156,0.9884273392623293,0.9362417582840468,0.7495867183715866,0.0846454393350868,0.28018154543977997,0.8717486389854281,0.2889889021571605,0.7402300389133435,0.9377906765529298,0.3567721087788943,0.22678849272987245,0.2618079013150185,0.513811535220354,0.5479910684226691,0.5156577616273863,0.3943445356891176,0.2848894113155097,0.5284103340733868,0.22330494046157315
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.5867222988311918,0.7725381644129221,0.7954361727940863,0.6761815695905081,0.808507631611465,0.8573302263988875,0.8161256356226102,0.8714018569240325,1.0,0.8209830650807469,0.8656446676621231,0.821393862323034,0.7838371758922086,0.168484157274799,0.20622401259069303,0.789927879359899,0.27626209912666694,0.7898621647207702,0.8257050310760933,0.37572380228911706,0.24356816140026305,0.2492252171988398,0.4479971386441994,0.500042798909522,0.5603571944681052,0.3307857317149568,0.3366489777389651,0.5303789160793597,0.24301240524334453
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.5314800628670222,0.9395927837663095,0.7918864189681966,0.5004584361517352,0.681011666174959,0.7917750979170817,0.64432111323062,0.7648366868029156,0.8209830650807469,1.0,0.7606788244686451,0.7535597416216416,0.9583001483338414,0.2530665832044975,0.07368590355564042,0.6442226583052275,0.08259261656620953,0.9364311273106248,0.752848419265365,0.3390165851071967,0.23893638087170424,0.2486137776974466,0.41149543796467897,0.5283697390147664,0.6491229160263688,0.44145136400242485,0.3818808071042399,0.5373672193723976,0.23429929771041155
