,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.6219860239252439,0.5818495342466781,0.6216206077505287,0.5391023968503283,0.5444700341381179,0.5520103725928951,0.539555771278746,0.5835911848691362,0.6196049423488037,0.5530530030673195,0.5464145921080146,0.6207945987849675,0.9299537432723343,0.8537607127096234,0.5205352807196806,0.8561453020995315,0.6255845247034985,0.544811760887649,0.7986990085098004,0.8971043879070196,0.900494526400436,0.6813365735215144,0.602736106215725,0.6894232952236351,0.7291821391906355,0.7865552694776525,0.6783742271140237,0.9055732628563313
GCA_000158995.1_ASM15899v1_genomic,0.6219860239252439,0.0,0.269340995383721,0.5477279930842591,0.3494494651834241,0.2928631114718544,0.40994728887239695,0.30085777600837527,0.24481461498027812,0.07467867948506546,0.3020345749561195,0.31047524313909747,0.09792069900948674,0.7812962873841001,0.9920777047151137,0.3831035812104191,0.9810401360422987,0.09989747771986235,0.3209877216787327,0.7869398556795006,0.8594911416521462,0.8604023830747745,0.7235991435448959,0.6114836053478632,0.5500337780169412,0.6846029708135278,0.736426929810835,0.6264543125333475,0.8645280722950331
GCA_000163135.1_ASM16313v1_genomic,0.5818495342466781,0.269340995383721,0.0,0.40046982944804665,0.27732677002394757,0.20093646203355053,0.33908711489948296,0.20763380133430132,0.2497301434085859,0.24200956293894305,0.22956007126176925,0.21315693473779518,0.2469183750882158,0.876386415717533,0.8355196175758596,0.30293189719221814,0.8121622194316795,0.26694139608560397,0.2219556116799054,0.8117154184415278,0.8852746505353339,0.8477368218747326,0.6935301511554925,0.586020120661769,0.6202633436892311,0.7143106145085698,0.7836600003274833,0.6264570934539984,0.8886313541449951
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.6216206077505287,0.5477279930842591,0.40046982944804665,0.0,0.28115668060761334,0.3280620570595264,0.2075472393540434,0.30709683445930025,0.35563452441831667,0.5357410158512285,0.32182713971938093,0.3524350277502084,0.5534686645447786,0.6998984349523589,0.5220169663574248,0.2108755529611852,0.44491285514171275,0.5425840574291955,0.36504744291326907,0.7845196954208988,0.8517723927872985,0.8431843179457783,0.621896334441991,0.6084558527139993,0.750716094070752,0.7038525983665268,0.8334175564891908,0.6847632485732577,0.8524680742242429
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.5391023968503283,0.3494494651834241,0.27732677002394757,0.28115668060761334,0.0,0.15214586134126273,0.14107373604200935,0.12508680848182008,0.2190140330250928,0.358895077896355,0.12308809516246999,0.1572249470629007,0.3622247386428439,0.9123752723358183,0.732627695848225,0.10894388548910516,0.7037694679620727,0.3509400131320073,0.17134079788583023,0.783369679501005,0.8745846633322787,0.8639267522067107,0.6469069447572011,0.578006821747564,0.6642186238937682,0.7220707725254063,0.8020184932655436,0.6408325749643871,0.8806775203939258
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.5444700341381179,0.2928631114718544,0.20093646203355053,0.3280620570595264,0.15214586134126273,0.0,0.19786728737495463,0.06269095898483801,0.16449805022792796,0.22373220814269068,0.08631284332480105,0.07922107855490534,0.2746386015964414,0.9792268557796469,0.7823539786834338,0.18122058679571762,0.7632968810339763,0.2931822852390056,0.09841022065966054,0.7679568352034498,0.8467741591896747,0.854313443751379,0.6600042032929541,0.6167300240043727,0.633293574552609,0.7079650668355337,0.8026426878184403,0.6164742286213023,0.8532163842462562
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.5520103725928951,0.40994728887239695,0.33908711489948296,0.2075472393540434,0.14107373604200935,0.19786728737495463,0.0,0.17885501552574412,0.20873990744438442,0.397899111280804,0.178100494242869,0.228499290921802,0.41916227510031545,0.8592581462471416,0.6921050259537374,0.08480198918469672,0.6086935210834234,0.40569793538345233,0.24019442714452377,0.7963122721837835,0.8813928521224844,0.8711137232352877,0.6355707448583154,0.5833787520369613,0.6755473464542228,0.7037690782346437,0.7735023488806522,0.6591030955573705,0.8854209080857269
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.539555771278746,0.30085777600837527,0.20763380133430132,0.30709683445930025,0.12508680848182008,0.06269095898483801,0.17885501552574412,0.0,0.1552721783920873,0.2574394382224614,0.03205990835704042,0.0892686800898278,0.2806026940961901,0.9626833780738346,0.764762430665632,0.1491775998487741,0.7498542400315777,0.29329875500452907,0.09760268471559419,0.7575818898207408,0.8604242385766335,0.8393735986639035,0.6481883511323256,0.5967314623632556,0.6384948690563566,0.7209393269765254,0.8026028142506685,0.6249233895158095,0.8645468718611525
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.5835911848691362,0.24481461498027812,0.2497301434085859,0.35563452441831667,0.2190140330250928,0.16449805022792796,0.20873990744438442,0.1552721783920873,0.0,0.20362862628602751,0.15278045520129868,0.21786071930810869,0.2555915133590646,0.8794915946486725,0.8418903504515189,0.2446124619941985,0.7668057145348353,0.2541628650629947,0.2238118640030614,0.7448853390291355,0.8434310498405158,0.8460285222340636,0.6894835763229308,0.6268806665067936,0.5993842608170807,0.7713860096364996,0.7629618545443693,0.6165370991148047,0.8454193585592288
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.6196049423488037,0.07467867948506546,0.24200956293894305,0.5357410158512285,0.358895077896355,0.22373220814269068,0.397899111280804,0.2574394382224614,0.20362862628602751,0.0,0.27589000772890604,0.27598844261999866,0.06694030540684215,0.7913245545301959,0.9744324529563266,0.3881296173453217,0.9694206850225418,0.0939293602617659,0.2848300434876858,0.7714878992309182,0.8520694129114933,0.8499010037919603,0.7236235872601222,0.6120434602786258,0.5405307984283778,0.6814733054996547,0.7278790097806224,0.6195504695641154,0.8574128215397606
