,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,0.8261813022417668,0.7966547849599419,0.8091061765564855,0.764758399099323,0.7640148743508739,0.7641801198972877,0.7581849592911909,0.7867062969600966,0.8207695894441218,0.7718869123365495,0.772954607936317,0.8259815537350659,0.9546046769987818,0.9233308302505264,0.7432620774039289,0.9216487006921013,0.8309397279777823,0.774890897108715,0.902611234860224,0.9477739792345455,0.9467393356476977,0.8455031595319411,0.7903418035405043,0.8585012259389461,0.8644360495579865,0.8832142853185765,0.84507007389672,0.9548762031686181
GCA_000158995.1_ASM15899v1_genomic,0.8261813022417668,0.0,0.4079330511313173,0.6931290077020551,0.5065461200903703,0.4332852038552145,0.5678002439407286,0.4432866583099294,0.3336969142299986,0.13124132034615,0.43612874081986264,0.4772727515139502,0.19435516857351354,0.7702692002051632,0.9977187248443261,0.5452527923417182,0.9849909850449671,0.20881099750843013,0.49350424088512046,0.8863255545195523,0.9182698711741775,0.9141856093770075,0.883599629801088,0.8062034941192506,0.7715195403392249,0.8344036038905033,0.8435059525760839,0.8211174994176579,0.921705118585122
GCA_000163135.1_ASM16313v1_genomic,0.7966547849599419,0.4079330511313173,0.0,0.5385308485553776,0.4415580551056658,0.32944507378516685,0.4985304056578801,0.3307753066164675,0.3708180292130757,0.3675446270288716,0.3669416385534966,0.3625440414689066,0.3884806097674538,0.8727652837069022,0.8706082925106918,0.4602246677130094,0.8532638744446023,0.4221717401799696,0.37823474548754,0.9127340457903693,0.9432509965713675,0.9158701342460877,0.8604230966474754,0.7865431305643207,0.8237338491967544,0.8602106443577532,0.8864628957825587,0.8233591661424923,0.9461730559534559
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,0.8091061765564855,0.6931290077020551,0.5385308485553776,0.0,0.410256084626505,0.4580785716417093,0.3157588906644707,0.42547226326439,0.49171854476008425,0.6858456208405046,0.45407280847227016,0.5034712592055848,0.7141202041742152,0.661648850002807,0.5379073449682319,0.3109874468273328,0.4543174249251061,0.7019961311226742,0.523240283317479,0.8764547769047936,0.8961964634856556,0.8943808856609099,0.7979813906201592,0.7859928795139316,0.9051175174399257,0.8311904405677175,0.9157868815358131,0.8508696601706653,0.8987683573740576
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,0.764758399099323,0.5065461200903703,0.4415580551056658,0.410256084626505,0.0,0.26863169714693036,0.2473503739507732,0.2304574733017717,0.34510485792293677,0.5262985565725837,0.23679304496856712,0.29602438393615593,0.540704863298622,0.9200253202589893,0.7968991196185052,0.21227515924424678,0.7630391166709741,0.5245794684567098,0.32068235837814274,0.8974546912857592,0.9412768960737967,0.9304992454489351,0.8364671765482319,0.786901168152446,0.8583509908623219,0.8697955566673716,0.9022696582051292,0.8405692665589587,0.9453391168751626
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,0.7640148743508739,0.4332852038552145,0.32944507378516685,0.4580785716417093,0.26863169714693036,0.0,0.30493950732184893,0.1175361889832669,0.23289437830120507,0.3227425236939112,0.1629776274863678,0.17058179230253112,0.4208227340494446,0.9872257751720931,0.8373373942237415,0.29824330808962285,0.8214762558752091,0.45483546691365806,0.20896392424078347,0.8860391676318945,0.9209301153750405,0.9243186563496012,0.839660168840036,0.8118459610806458,0.8323909497034261,0.8572333060848666,0.9024029069794142,0.8172478251700463,0.9259641553337952
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,0.7641801198972877,0.5678002439407286,0.4985304056578801,0.3157588906644707,0.2473503739507732,0.30493950732184893,0.0,0.2758660531582343,0.33550813512833444,0.5560964168764397,0.29577150892749493,0.3650622307658392,0.593041464920129,0.8676376429501712,0.7501904053122622,0.16375891909136575,0.6757692594713532,0.5748997576280139,0.3885658548937164,0.9052697154976629,0.9428037863749301,0.9378142859543592,0.8216102199175881,0.7833157068119682,0.8665665670949226,0.8494041546844454,0.8827724300980586,0.8483992759642816,0.9460318013896908
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,0.7581849592911909,0.4432866583099294,0.3307753066164675,0.42547226326439,0.2304574733017717,0.1175361889832669,0.2758660531582343,0.0,0.2309689517500968,0.37722352002198856,0.06611186037896088,0.18311235090045508,0.4243534810709144,0.9743244003450986,0.820964915545795,0.24461808994363166,0.8031382048372325,0.44740908536670565,0.19617573162824387,0.8777271114856716,0.9304504625585335,0.9127377751794693,0.830589684728429,0.7949374313681133,0.8349456069939991,0.8666935613450824,0.9019196287695028,0.8215963130091242,0.9337343319593601
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,0.7867062969600966,0.3336969142299986,0.3708180292130757,0.49171854476008425,0.34510485792293677,0.23289437830120507,0.33550813512833444,0.2309689517500968,0.0,0.26813568807888966,0.24924061207631576,0.3418503290111118,0.3721929137210306,0.8867477244833194,0.8899423299955227,0.363558461310584,0.8293515050858734,0.38026973121586916,0.3578200393964355,0.8631209158307545,0.9137712311639377,0.9195678239827284,0.8591235747261623,0.8161717259454273,0.8076800771538358,0.8992768553920502,0.873388087008122,0.811671342390422,0.9157408643044831
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,0.8207695894441218,0.13124132034615,0.3675446270288716,0.6858456208405046,0.5262985565725837,0.3227425236939112,0.5560964168764397,0.37722352002198856,0.26813568807888966,0.0,0.4087721015100727,0.42436142139929645,0.1411356762703263,0.7772475591666385,0.9798988201369453,0.5489222609746176,0.9838860666155946,0.1934620505484833,0.4403331333865337,0.8779478815138546,0.9138541711890474,0.9102901860937442,0.8814430133353899,0.8030397417392747,0.7626313747933332,0.8294660273630632,0.8359302216733859,0.8148341131485006,0.9177859814628699
